"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":13648}]","13650","instructions","0","13668","0.0-0.0","A1302S9HB7AXAF","1641418286925","","","",""
"[{""page_index"":0,""viewing_time"":2056},{""page_index"":1,""viewing_time"":1136}]","3193","instructions","1","16865","0.0-1.0","A1302S9HB7AXAF","1641418286925","","","",""
"[{""page_index"":0,""viewing_time"":1253}]","1255","instructions","2","18121","0.0-2.0","A1302S9HB7AXAF","1641418286925","","","",""
"","8569","singlestim-multichoice-slider","3","26706","0.0-3.0-0.0","A1302S9HB7AXAF","1641418286925","img/10.png","2","10","80"
"","6120","singlestim-multichoice-slider","4","32840","0.0-3.0-0.1","A1302S9HB7AXAF","1641418286925","img/17.png","2","10","78"
"","5239","singlestim-multichoice-slider","5","38090","0.0-3.0-0.2","A1302S9HB7AXAF","1641418286925","img/06.png","2","10","86"
"","6051","singlestim-multichoice-slider","6","44161","0.0-3.0-0.3","A1302S9HB7AXAF","1641418286925","img/18.png","2","10","79"
"","5732","singlestim-multichoice-slider","7","49913","0.0-3.0-0.4","A1302S9HB7AXAF","1641418286925","img/15.png","2","10","93"
"","6726","singlestim-multichoice-slider","8","56656","0.0-3.0-0.5","A1302S9HB7AXAF","1641418286925","img/02.png","1","10","86"
"","6124","singlestim-multichoice-slider","9","62793","0.0-3.0-0.6","A1302S9HB7AXAF","1641418286925","img/01.png","1","10","88"
"","7236","singlestim-multichoice-slider","10","70041","0.0-3.0-0.7","A1302S9HB7AXAF","1641418286925","img/11.png","2","10","90"
"","6181","singlestim-multichoice-slider","11","76241","0.0-3.0-0.8","A1302S9HB7AXAF","1641418286925","img/05.png","2","10","77"
"","5444","singlestim-multichoice-slider","12","81705","0.0-3.0-0.9","A1302S9HB7AXAF","1641418286925","img/03.png","2","10","78"
"","6711","singlestim-multichoice-slider","13","88432","0.0-3.0-0.10","A1302S9HB7AXAF","1641418286925","img/07.png","1","10","79"
"","5560","singlestim-multichoice-slider","14","94000","0.0-3.0-0.11","A1302S9HB7AXAF","1641418286925","img/16.png","2","10","78"
"","4052","singlestim-multichoice-slider","15","98064","0.0-3.0-0.12","A1302S9HB7AXAF","1641418286925","img/12.png","2","10","81"
"","5001","singlestim-multichoice-slider","16","103081","0.0-3.0-0.13","A1302S9HB7AXAF","1641418286925","img/13.png","1","10","96"
"","3839","singlestim-multichoice-slider","17","106936","0.0-3.0-0.14","A1302S9HB7AXAF","1641418286925","img/14.png","1","10","89"
"","5616","singlestim-multichoice-slider","18","112560","0.0-3.0-0.15","A1302S9HB7AXAF","1641418286925","img/08.png","1","10","86"
"","4610","singlestim-multichoice-slider","19","117185","0.0-3.0-0.16","A1302S9HB7AXAF","1641418286925","img/09.png","2","10","79"
"","40273","singlestim-multichoice-slider","20","157473","0.0-3.0-0.17","A1302S9HB7AXAF","1641418286925","img/04.png","2","10","89"
"[{""page_index"":0,""viewing_time"":137998}]","137999","instructions","21","295473","0.0-4.0","A1302S9HB7AXAF","1641418286925","","","",""
