"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6234}]","6236","instructions","0","6240","0.0-0.0","A248QG4DPULP46","1641411470489","","","",""
"[{""page_index"":0,""viewing_time"":12924},{""page_index"":1,""viewing_time"":11702}]","24626","instructions","1","30868","0.0-1.0","A248QG4DPULP46","1641411470489","","","",""
"[{""page_index"":0,""viewing_time"":59467}]","59468","instructions","2","90338","0.0-2.0","A248QG4DPULP46","1641411470489","","","",""
"","58149","singlestim-multichoice-slider","3","148509","0.0-3.0-0.0","A248QG4DPULP46","1641411470489","img/09.png","2","10","86"
"","29415","singlestim-multichoice-slider","4","177941","0.0-3.0-0.1","A248QG4DPULP46","1641411470489","img/11.png","3","10","100"
"","54539","singlestim-multichoice-slider","5","232496","0.0-3.0-0.2","A248QG4DPULP46","1641411470489","img/05.png","3","10","32"
"","23389","singlestim-multichoice-slider","6","255891","0.0-3.0-0.3","A248QG4DPULP46","1641411470489","img/16.png","2","10","53"
"","23078","singlestim-multichoice-slider","7","278976","0.0-3.0-0.4","A248QG4DPULP46","1641411470489","img/13.png","3","10","87"
"","14949","singlestim-multichoice-slider","8","293937","0.0-3.0-0.5","A248QG4DPULP46","1641411470489","img/10.png","3","10","91"
"","18766","singlestim-multichoice-slider","9","312717","0.0-3.0-0.6","A248QG4DPULP46","1641411470489","img/17.png","3","10","81"
"","13336","singlestim-multichoice-slider","10","326069","0.0-3.0-0.7","A248QG4DPULP46","1641411470489","img/14.png","3","10","74"
"","12901","singlestim-multichoice-slider","11","338986","0.0-3.0-0.8","A248QG4DPULP46","1641411470489","img/04.png","1","10","59"
"","15398","singlestim-multichoice-slider","12","354393","0.0-3.0-0.9","A248QG4DPULP46","1641411470489","img/06.png","3","10","78"
"","13719","singlestim-multichoice-slider","13","368118","0.0-3.0-0.10","A248QG4DPULP46","1641411470489","img/08.png","1","10","83"
"","17626","singlestim-multichoice-slider","14","385750","0.0-3.0-0.11","A248QG4DPULP46","1641411470489","img/01.png","3","10","27"
"","15978","singlestim-multichoice-slider","15","401735","0.0-3.0-0.12","A248QG4DPULP46","1641411470489","img/15.png","1","10","60"
"","14313","singlestim-multichoice-slider","16","416063","0.0-3.0-0.13","A248QG4DPULP46","1641411470489","img/02.png","3","10","95"
"","17927","singlestim-multichoice-slider","17","434004","0.0-3.0-0.14","A248QG4DPULP46","1641411470489","img/12.png","3","10","75"
"","14415","singlestim-multichoice-slider","18","448429","0.0-3.0-0.15","A248QG4DPULP46","1641411470489","img/03.png","3","10","83"
"","104505","singlestim-multichoice-slider","19","552943","0.0-3.0-0.16","A248QG4DPULP46","1641411470489","img/07.png","1","10","52"
"","10015","singlestim-multichoice-slider","20","562972","0.0-3.0-0.17","A248QG4DPULP46","1641411470489","img/18.png","3","10","83"
"[{""page_index"":0,""viewing_time"":3832}]","3833","instructions","21","566806","0.0-4.0","A248QG4DPULP46","1641411470489","","","",""
