"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":5237}]","5238","instructions","0","5239","0.0-0.0","A2M183CETUMR96","1641408963139","","","",""
"[{""page_index"":0,""viewing_time"":4250},{""page_index"":1,""viewing_time"":4610}]","8860","instructions","1","14099","0.0-1.0","A2M183CETUMR96","1641408963139","","","",""
"[{""page_index"":0,""viewing_time"":36510}]","36510","instructions","2","50610","0.0-2.0","A2M183CETUMR96","1641408963139","","","",""
"","23707","singlestim-multichoice-slider","3","74318","0.0-3.0-0.0","A2M183CETUMR96","1641408963139","img/14.png","2","10","55"
"","13423","singlestim-multichoice-slider","4","87742","0.0-3.0-0.1","A2M183CETUMR96","1641408963139","img/11.png","3","10","5"
"","16287","singlestim-multichoice-slider","5","104030","0.0-3.0-0.2","A2M183CETUMR96","1641408963139","img/12.png","1","10","3"
"","20204","singlestim-multichoice-slider","6","124236","0.0-3.0-0.3","A2M183CETUMR96","1641408963139","img/13.png","3","10","21"
"","10093","singlestim-multichoice-slider","7","134331","0.0-3.0-0.4","A2M183CETUMR96","1641408963139","img/17.png","3","10","4"
"","10009","singlestim-multichoice-slider","8","144341","0.0-3.0-0.5","A2M183CETUMR96","1641408963139","img/10.png","3","10","4"
"","7420","singlestim-multichoice-slider","9","151762","0.0-3.0-0.6","A2M183CETUMR96","1641408963139","img/08.png","1","10","58"
"","4536","singlestim-multichoice-slider","10","156299","0.0-3.0-0.7","A2M183CETUMR96","1641408963139","img/03.png","3","10","16"
"","6567","singlestim-multichoice-slider","11","162868","0.0-3.0-0.8","A2M183CETUMR96","1641408963139","img/15.png","3","10","16"
"","13752","singlestim-multichoice-slider","12","176621","0.0-3.0-0.9","A2M183CETUMR96","1641408963139","img/18.png","1","10","24"
"","6973","singlestim-multichoice-slider","13","183596","0.0-3.0-0.10","A2M183CETUMR96","1641408963139","img/09.png","3","10","16"
"","7716","singlestim-multichoice-slider","14","191313","0.0-3.0-0.11","A2M183CETUMR96","1641408963139","img/04.png","1","10","60"
"","5836","singlestim-multichoice-slider","15","197151","0.0-3.0-0.12","A2M183CETUMR96","1641408963139","img/02.png","3","10","5"
"","9054","singlestim-multichoice-slider","16","206206","0.0-3.0-0.13","A2M183CETUMR96","1641408963139","img/01.png","3","10","4"
"","8109","singlestim-multichoice-slider","17","214316","0.0-3.0-0.14","A2M183CETUMR96","1641408963139","img/16.png","1","10","62"
"","11146","singlestim-multichoice-slider","18","225463","0.0-3.0-0.15","A2M183CETUMR96","1641408963139","img/05.png","3","10","14"
"","9816","singlestim-multichoice-slider","19","235280","0.0-3.0-0.16","A2M183CETUMR96","1641408963139","img/07.png","3","10","5"
"","12331","singlestim-multichoice-slider","20","247612","0.0-3.0-0.17","A2M183CETUMR96","1641408963139","img/06.png","1","10","15"
"[{""page_index"":0,""viewing_time"":3090}]","3090","instructions","21","250703","0.0-4.0","A2M183CETUMR96","1641408963139","","","",""
