"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":7521}]","7521","instructions","0","7522","0.0-0.0","A2NA2OJT15COZY","1641411473740","","","",""
"[{""page_index"":0,""viewing_time"":4342},{""page_index"":1,""viewing_time"":8226}]","12569","instructions","1","20091","0.0-1.0","A2NA2OJT15COZY","1641411473740","","","",""
"[{""page_index"":0,""viewing_time"":14405}]","14406","instructions","2","34497","0.0-2.0","A2NA2OJT15COZY","1641411473740","","","",""
"","9528","singlestim-multichoice-slider","3","44027","0.0-3.0-0.0","A2NA2OJT15COZY","1641411473740","img/14.png","2","10","81"
"","11397","singlestim-multichoice-slider","4","55425","0.0-3.0-0.1","A2NA2OJT15COZY","1641411473740","img/01.png","3","10","31"
"","6164","singlestim-multichoice-slider","5","61591","0.0-3.0-0.2","A2NA2OJT15COZY","1641411473740","img/04.png","1","10","72"
"","7007","singlestim-multichoice-slider","6","68599","0.0-3.0-0.3","A2NA2OJT15COZY","1641411473740","img/17.png","1","10","31"
"","6131","singlestim-multichoice-slider","7","74732","0.0-3.0-0.4","A2NA2OJT15COZY","1641411473740","img/02.png","3","10","38"
"","9873","singlestim-multichoice-slider","8","84607","0.0-3.0-0.5","A2NA2OJT15COZY","1641411473740","img/06.png","1","10","35"
"","5818","singlestim-multichoice-slider","9","90426","0.0-3.0-0.6","A2NA2OJT15COZY","1641411473740","img/16.png","1","10","81"
"","5173","singlestim-multichoice-slider","10","95601","0.0-3.0-0.7","A2NA2OJT15COZY","1641411473740","img/07.png","3","10","34"
"","4244","singlestim-multichoice-slider","11","99847","0.0-3.0-0.8","A2NA2OJT15COZY","1641411473740","img/15.png","3","10","37"
"","4380","singlestim-multichoice-slider","12","104228","0.0-3.0-0.9","A2NA2OJT15COZY","1641411473740","img/09.png","3","10","37"
"","5954","singlestim-multichoice-slider","13","110184","0.0-3.0-0.10","A2NA2OJT15COZY","1641411473740","img/12.png","1","10","35"
"","6027","singlestim-multichoice-slider","14","116212","0.0-3.0-0.11","A2NA2OJT15COZY","1641411473740","img/18.png","1","10","70"
"","4986","singlestim-multichoice-slider","15","121200","0.0-3.0-0.12","A2NA2OJT15COZY","1641411473740","img/03.png","3","10","39"
"","5183","singlestim-multichoice-slider","16","126384","0.0-3.0-0.13","A2NA2OJT15COZY","1641411473740","img/10.png","3","10","49"
"","5956","singlestim-multichoice-slider","17","132342","0.0-3.0-0.14","A2NA2OJT15COZY","1641411473740","img/13.png","3","10","37"
"","6684","singlestim-multichoice-slider","18","139028","0.0-3.0-0.15","A2NA2OJT15COZY","1641411473740","img/11.png","3","10","30"
"","6811","singlestim-multichoice-slider","19","145840","0.0-3.0-0.16","A2NA2OJT15COZY","1641411473740","img/08.png","1","10","35"
"","6349","singlestim-multichoice-slider","20","152191","0.0-3.0-0.17","A2NA2OJT15COZY","1641411473740","img/05.png","3","10","33"
"[{""page_index"":0,""viewing_time"":20555}]","20555","instructions","21","172746","0.0-4.0","A2NA2OJT15COZY","1641411473740","","","",""
