"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2087}]","2088","instructions","0","2090","0.0-0.0","A2R7PDGVB16KGY","1641411584084","","","",""
"[{""page_index"":0,""viewing_time"":1881},{""page_index"":1,""viewing_time"":1337}]","3218","instructions","1","5309","0.0-1.0","A2R7PDGVB16KGY","1641411584084","","","",""
"[{""page_index"":0,""viewing_time"":1247}]","1247","instructions","2","6557","0.0-2.0","A2R7PDGVB16KGY","1641411584084","","","",""
"","3543","singlestim-multichoice-slider","3","10110","0.0-3.0-0.0","A2R7PDGVB16KGY","1641411584084","img/13.png","2","10","41"
"","2631","singlestim-multichoice-slider","4","12749","0.0-3.0-0.1","A2R7PDGVB16KGY","1641411584084","img/15.png","3","10","75"
"","2773","singlestim-multichoice-slider","5","15528","0.0-3.0-0.2","A2R7PDGVB16KGY","1641411584084","img/16.png","2","10","30"
"","3494","singlestim-multichoice-slider","6","19029","0.0-3.0-0.3","A2R7PDGVB16KGY","1641411584084","img/08.png","3","10","76"
"","6300","singlestim-multichoice-slider","7","25339","0.0-3.0-0.4","A2R7PDGVB16KGY","1641411584084","img/09.png","2","10","84"
"","2570","singlestim-multichoice-slider","8","27915","0.0-3.0-0.5","A2R7PDGVB16KGY","1641411584084","img/10.png","3","10","42"
"","3139","singlestim-multichoice-slider","9","31059","0.0-3.0-0.6","A2R7PDGVB16KGY","1641411584084","img/06.png","2","10","75"
"","2494","singlestim-multichoice-slider","10","33559","0.0-3.0-0.7","A2R7PDGVB16KGY","1641411584084","img/05.png","3","10","48"
"","2639","singlestim-multichoice-slider","11","36203","0.0-3.0-0.8","A2R7PDGVB16KGY","1641411584084","img/02.png","2","10","86"
"","2619","singlestim-multichoice-slider","12","38828","0.0-3.0-0.9","A2R7PDGVB16KGY","1641411584084","img/04.png","1","10","42"
"","2575","singlestim-multichoice-slider","13","41411","0.0-3.0-0.10","A2R7PDGVB16KGY","1641411584084","img/17.png","2","10","59"
"","2219","singlestim-multichoice-slider","14","43635","0.0-3.0-0.11","A2R7PDGVB16KGY","1641411584084","img/11.png","3","10","66"
"","2750","singlestim-multichoice-slider","15","46396","0.0-3.0-0.12","A2R7PDGVB16KGY","1641411584084","img/18.png","2","10","97"
"","2599","singlestim-multichoice-slider","16","49002","0.0-3.0-0.13","A2R7PDGVB16KGY","1641411584084","img/14.png","1","10","31"
"","2417","singlestim-multichoice-slider","17","51425","0.0-3.0-0.14","A2R7PDGVB16KGY","1641411584084","img/03.png","2","10","66"
"","2465","singlestim-multichoice-slider","18","53897","0.0-3.0-0.15","A2R7PDGVB16KGY","1641411584084","img/01.png","3","10","35"
"","2137","singlestim-multichoice-slider","19","56041","0.0-3.0-0.16","A2R7PDGVB16KGY","1641411584084","img/07.png","2","10","67"
"","2331","singlestim-multichoice-slider","20","58379","0.0-3.0-0.17","A2R7PDGVB16KGY","1641411584084","img/12.png","1","10","30"
"[{""page_index"":0,""viewing_time"":1365}]","1366","instructions","21","59748","0.0-4.0","A2R7PDGVB16KGY","1641411584084","","","",""
