"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2565}]","2566","instructions","0","2568","0.0-0.0","A2WHTNOMVOM4DA","1641410880077","","","",""
"[{""page_index"":0,""viewing_time"":1903},{""page_index"":1,""viewing_time"":1296}]","3199","instructions","1","5768","0.0-1.0","A2WHTNOMVOM4DA","1641410880077","","","",""
"[{""page_index"":0,""viewing_time"":1255}]","1255","instructions","2","7024","0.0-2.0","A2WHTNOMVOM4DA","1641410880077","","","",""
"","3908","singlestim-multichoice-slider","3","10936","0.0-3.0-0.0","A2WHTNOMVOM4DA","1641410880077","img/01.png","2","10","43"
"","2757","singlestim-multichoice-slider","4","13697","0.0-3.0-0.1","A2WHTNOMVOM4DA","1641410880077","img/10.png","3","10","71"
"","2197","singlestim-multichoice-slider","5","15897","0.0-3.0-0.2","A2WHTNOMVOM4DA","1641410880077","img/17.png","2","10","55"
"","3699","singlestim-multichoice-slider","6","19600","0.0-3.0-0.3","A2WHTNOMVOM4DA","1641410880077","img/03.png","1","10","59"
"","2342","singlestim-multichoice-slider","7","21946","0.0-3.0-0.4","A2WHTNOMVOM4DA","1641410880077","img/05.png","3","10","71"
"","5578","singlestim-multichoice-slider","8","27528","0.0-3.0-0.5","A2WHTNOMVOM4DA","1641410880077","img/02.png","1","10","64"
"","2653","singlestim-multichoice-slider","9","30184","0.0-3.0-0.6","A2WHTNOMVOM4DA","1641410880077","img/13.png","2","10","56"
"","2260","singlestim-multichoice-slider","10","32447","0.0-3.0-0.7","A2WHTNOMVOM4DA","1641410880077","img/07.png","3","10","50"
"","2989","singlestim-multichoice-slider","11","35440","0.0-3.0-0.8","A2WHTNOMVOM4DA","1641410880077","img/18.png","2","10","45"
"","3228","singlestim-multichoice-slider","12","38671","0.0-3.0-0.9","A2WHTNOMVOM4DA","1641410880077","img/11.png","1","10","53"
"","2435","singlestim-multichoice-slider","13","41111","0.0-3.0-0.10","A2WHTNOMVOM4DA","1641410880077","img/08.png","2","10","22"
"","2971","singlestim-multichoice-slider","14","44087","0.0-3.0-0.11","A2WHTNOMVOM4DA","1641410880077","img/15.png","2","10","46"
"","3324","singlestim-multichoice-slider","15","47415","0.0-3.0-0.12","A2WHTNOMVOM4DA","1641410880077","img/14.png","2","10","50"
"","3092","singlestim-multichoice-slider","16","50511","0.0-3.0-0.13","A2WHTNOMVOM4DA","1641410880077","img/16.png","3","10","30"
"","3165","singlestim-multichoice-slider","17","53680","0.0-3.0-0.14","A2WHTNOMVOM4DA","1641410880077","img/12.png","2","10","47"
"","2898","singlestim-multichoice-slider","18","56582","0.0-3.0-0.15","A2WHTNOMVOM4DA","1641410880077","img/04.png","1","10","56"
"","2604","singlestim-multichoice-slider","19","59190","0.0-3.0-0.16","A2WHTNOMVOM4DA","1641410880077","img/06.png","2","10","52"
"","5481","singlestim-multichoice-slider","20","64675","0.0-3.0-0.17","A2WHTNOMVOM4DA","1641410880077","img/09.png","2","10","48"
"[{""page_index"":0,""viewing_time"":1411}]","1411","instructions","21","66086","0.0-4.0","A2WHTNOMVOM4DA","1641410880077","","","",""
