"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3424}]","3424","instructions","0","3426","0.0-0.0","A30HUZHJBOX1LK","1641414616487","","","",""
"[{""page_index"":0,""viewing_time"":2898},{""page_index"":1,""viewing_time"":2972}]","5870","instructions","1","9297","0.0-1.0","A30HUZHJBOX1LK","1641414616487","","","",""
"[{""page_index"":0,""viewing_time"":41561}]","41561","instructions","2","50859","0.0-2.0","A30HUZHJBOX1LK","1641414616487","","","",""
"","61705","singlestim-multichoice-slider","3","112569","0.0-3.0-0.0","A30HUZHJBOX1LK","1641414616487","img/11.png","2","10","32"
"","8693","singlestim-multichoice-slider","4","121266","0.0-3.0-0.1","A30HUZHJBOX1LK","1641414616487","img/07.png","1","10","32"
"","14163","singlestim-multichoice-slider","5","135432","0.0-3.0-0.2","A30HUZHJBOX1LK","1641414616487","img/15.png","2","10","50"
"","8223","singlestim-multichoice-slider","6","143658","0.0-3.0-0.3","A30HUZHJBOX1LK","1641414616487","img/08.png","1","10","41"
"","8577","singlestim-multichoice-slider","7","152238","0.0-3.0-0.4","A30HUZHJBOX1LK","1641414616487","img/04.png","1","10","54"
"","7629","singlestim-multichoice-slider","8","159876","0.0-3.0-0.5","A30HUZHJBOX1LK","1641414616487","img/05.png","2","10","32"
"","8381","singlestim-multichoice-slider","9","168262","0.0-3.0-0.6","A30HUZHJBOX1LK","1641414616487","img/03.png","1","10","30"
"","8393","singlestim-multichoice-slider","10","176658","0.0-3.0-0.7","A30HUZHJBOX1LK","1641414616487","img/02.png","3","10","32"
"","11908","singlestim-multichoice-slider","11","188570","0.0-3.0-0.8","A30HUZHJBOX1LK","1641414616487","img/01.png","3","10","52"
"","8749","singlestim-multichoice-slider","12","197322","0.0-3.0-0.9","A30HUZHJBOX1LK","1641414616487","img/10.png","3","10","51"
"","8097","singlestim-multichoice-slider","13","205424","0.0-3.0-0.10","A30HUZHJBOX1LK","1641414616487","img/13.png","2","10","33"
"","9306","singlestim-multichoice-slider","14","214732","0.0-3.0-0.11","A30HUZHJBOX1LK","1641414616487","img/12.png","1","10","32"
"","8323","singlestim-multichoice-slider","15","223059","0.0-3.0-0.12","A30HUZHJBOX1LK","1641414616487","img/17.png","2","10","35"
"","8609","singlestim-multichoice-slider","16","231673","0.0-3.0-0.13","A30HUZHJBOX1LK","1641414616487","img/06.png","2","10","37"
"","9022","singlestim-multichoice-slider","17","240699","0.0-3.0-0.14","A30HUZHJBOX1LK","1641414616487","img/16.png","1","10","32"
"","8316","singlestim-multichoice-slider","18","249018","0.0-3.0-0.15","A30HUZHJBOX1LK","1641414616487","img/18.png","1","10","44"
"","10516","singlestim-multichoice-slider","19","259538","0.0-3.0-0.16","A30HUZHJBOX1LK","1641414616487","img/09.png","3","10","29"
"","12946","singlestim-multichoice-slider","20","272488","0.0-3.0-0.17","A30HUZHJBOX1LK","1641414616487","img/14.png","2","10","39"
"[{""page_index"":0,""viewing_time"":4481}]","4482","instructions","21","276970","0.0-4.0","A30HUZHJBOX1LK","1641414616487","","","",""
