"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":5050}]","5052","instructions","0","5057","0.0-0.0","A35P5JYWFCCMDR","1641411619916","","","",""
"[{""page_index"":0,""viewing_time"":15077},{""page_index"":1,""viewing_time"":22996}]","38074","instructions","1","43133","0.0-1.0","A35P5JYWFCCMDR","1641411619916","","","",""
"[{""page_index"":0,""viewing_time"":25611}]","25612","instructions","2","68746","0.0-2.0","A35P5JYWFCCMDR","1641411619916","","","",""
"","23297","singlestim-multichoice-slider","3","92052","0.0-3.0-0.0","A35P5JYWFCCMDR","1641411619916","img/08.png","1","10","35"
"","13733","singlestim-multichoice-slider","4","105791","0.0-3.0-0.1","A35P5JYWFCCMDR","1641411619916","img/16.png","1","10","81"
"","8979","singlestim-multichoice-slider","5","114776","0.0-3.0-0.2","A35P5JYWFCCMDR","1641411619916","img/15.png","3","10","70"
"","4755","singlestim-multichoice-slider","6","119538","0.0-3.0-0.3","A35P5JYWFCCMDR","1641411619916","img/04.png","1","10","82"
"","20907","singlestim-multichoice-slider","7","140451","0.0-3.0-0.4","A35P5JYWFCCMDR","1641411619916","img/12.png","3","10","28"
"","6467","singlestim-multichoice-slider","8","146923","0.0-3.0-0.5","A35P5JYWFCCMDR","1641411619916","img/13.png","3","10","57"
"","25441","singlestim-multichoice-slider","9","172370","0.0-3.0-0.6","A35P5JYWFCCMDR","1641411619916","img/05.png","2","10","34"
"","12090","singlestim-multichoice-slider","10","184465","0.0-3.0-0.7","A35P5JYWFCCMDR","1641411619916","img/17.png","2","10","48"
"","15688","singlestim-multichoice-slider","11","200159","0.0-3.0-0.8","A35P5JYWFCCMDR","1641411619916","img/06.png","1","10","29"
"","5085","singlestim-multichoice-slider","12","205248","0.0-3.0-0.9","A35P5JYWFCCMDR","1641411619916","img/10.png","3","10","72"
"","8553","singlestim-multichoice-slider","13","213809","0.0-3.0-0.10","A35P5JYWFCCMDR","1641411619916","img/14.png","2","10","93"
"","7174","singlestim-multichoice-slider","14","220990","0.0-3.0-0.11","A35P5JYWFCCMDR","1641411619916","img/01.png","3","10","74"
"","9743","singlestim-multichoice-slider","15","230741","0.0-3.0-0.12","A35P5JYWFCCMDR","1641411619916","img/11.png","3","10","61"
"","7072","singlestim-multichoice-slider","16","237821","0.0-3.0-0.13","A35P5JYWFCCMDR","1641411619916","img/07.png","3","10","44"
"","6876","singlestim-multichoice-slider","17","244704","0.0-3.0-0.14","A35P5JYWFCCMDR","1641411619916","img/03.png","3","10","51"
"","5565","singlestim-multichoice-slider","18","250275","0.0-3.0-0.15","A35P5JYWFCCMDR","1641411619916","img/02.png","3","10","68"
"","6263","singlestim-multichoice-slider","19","256544","0.0-3.0-0.16","A35P5JYWFCCMDR","1641411619916","img/18.png","1","10","66"
"","6524","singlestim-multichoice-slider","20","263073","0.0-3.0-0.17","A35P5JYWFCCMDR","1641411619916","img/09.png","2","10","53"
"[{""page_index"":0,""viewing_time"":26283}]","26284","instructions","21","289358","0.0-4.0","A35P5JYWFCCMDR","1641411619916","","","",""
