"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6372}]","6372","instructions","0","6374","0.0-0.0","A708LKWZUX6N0","1641413030226","","","",""
"[{""page_index"":0,""viewing_time"":1927},{""page_index"":1,""viewing_time"":2472}]","4399","instructions","1","10773","0.0-1.0","A708LKWZUX6N0","1641413030226","","","",""
"[{""page_index"":0,""viewing_time"":23792}]","23792","instructions","2","34565","0.0-2.0","A708LKWZUX6N0","1641413030226","","","",""
"","12206","singlestim-multichoice-slider","3","46773","0.0-3.0-0.0","A708LKWZUX6N0","1641413030226","img/01.png","2","10","100"
"","26166","singlestim-multichoice-slider","4","72941","0.0-3.0-0.1","A708LKWZUX6N0","1641413030226","img/03.png","2","10","75"
"","9014","singlestim-multichoice-slider","5","81957","0.0-3.0-0.2","A708LKWZUX6N0","1641413030226","img/09.png","1","10","89"
"","5406","singlestim-multichoice-slider","6","87365","0.0-3.0-0.3","A708LKWZUX6N0","1641413030226","img/10.png","3","10","97"
"","13590","singlestim-multichoice-slider","7","100957","0.0-3.0-0.4","A708LKWZUX6N0","1641413030226","img/16.png","1","10","50"
"","19094","singlestim-multichoice-slider","8","120053","0.0-3.0-0.5","A708LKWZUX6N0","1641413030226","img/18.png","1","10","50"
"","10438","singlestim-multichoice-slider","9","130494","0.0-3.0-0.6","A708LKWZUX6N0","1641413030226","img/12.png","3","10","65"
"","13126","singlestim-multichoice-slider","10","143622","0.0-3.0-0.7","A708LKWZUX6N0","1641413030226","img/06.png","2","10","35"
"","19550","singlestim-multichoice-slider","11","163174","0.0-3.0-0.8","A708LKWZUX6N0","1641413030226","img/15.png","1","10","76"
"","10446","singlestim-multichoice-slider","12","173622","0.0-3.0-0.9","A708LKWZUX6N0","1641413030226","img/11.png","1","10","96"
"","12934","singlestim-multichoice-slider","13","186557","0.0-3.0-0.10","A708LKWZUX6N0","1641413030226","img/05.png","3","10","65"
"","6174","singlestim-multichoice-slider","14","192733","0.0-3.0-0.11","A708LKWZUX6N0","1641413030226","img/13.png","2","10","90"
"","14046","singlestim-multichoice-slider","15","206781","0.0-3.0-0.12","A708LKWZUX6N0","1641413030226","img/08.png","1","10","100"
"","16958","singlestim-multichoice-slider","16","223741","0.0-3.0-0.13","A708LKWZUX6N0","1641413030226","img/07.png","1","10","33"
"","6070","singlestim-multichoice-slider","17","229813","0.0-3.0-0.14","A708LKWZUX6N0","1641413030226","img/17.png","1","10","36"
"","8590","singlestim-multichoice-slider","18","238405","0.0-3.0-0.15","A708LKWZUX6N0","1641413030226","img/02.png","3","10","74"
"","5134","singlestim-multichoice-slider","19","243541","0.0-3.0-0.16","A708LKWZUX6N0","1641413030226","img/04.png","1","10","90"
"","5750","singlestim-multichoice-slider","20","249293","0.0-3.0-0.17","A708LKWZUX6N0","1641413030226","img/14.png","2","10","95"
"[{""page_index"":0,""viewing_time"":5120}]","5120","instructions","21","254414","0.0-4.0","A708LKWZUX6N0","1641413030226","","","",""
