"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":67289}]","67289","instructions","0","67288","0.0-0.0","ACKG8OU1KHKO2","1641418395091","","","",""
"[{""page_index"":0,""viewing_time"":1600},{""page_index"":1,""viewing_time"":13271}]","14872","instructions","1","82159","0.0-1.0","ACKG8OU1KHKO2","1641418395091","","","",""
"[{""page_index"":0,""viewing_time"":1387}]","1388","instructions","2","83547","0.0-2.0","ACKG8OU1KHKO2","1641418395091","","","",""
"","7406","singlestim-multichoice-slider","3","90955","0.0-3.0-0.0","ACKG8OU1KHKO2","1641418395091","img/18.png","1","10","48"
"","7929","singlestim-multichoice-slider","4","98886","0.0-3.0-0.1","ACKG8OU1KHKO2","1641418395091","img/10.png","3","10","48"
"","3396","singlestim-multichoice-slider","5","102285","0.0-3.0-0.2","ACKG8OU1KHKO2","1641418395091","img/11.png","2","10","43"
"","6597","singlestim-multichoice-slider","6","108897","0.0-3.0-0.3","ACKG8OU1KHKO2","1641418395091","img/07.png","1","10","52"
"","7089","singlestim-multichoice-slider","7","115999","0.0-3.0-0.4","ACKG8OU1KHKO2","1641418395091","img/08.png","1","10","44"
"","25941","singlestim-multichoice-slider","8","141956","0.0-3.0-0.5","ACKG8OU1KHKO2","1641418395091","img/16.png","3","10","55"
"","7654","singlestim-multichoice-slider","9","149614","0.0-3.0-0.6","ACKG8OU1KHKO2","1641418395091","img/06.png","2","10","46"
"","4702","singlestim-multichoice-slider","10","154319","0.0-3.0-0.7","ACKG8OU1KHKO2","1641418395091","img/05.png","1","10","42"
"","27084","singlestim-multichoice-slider","11","181407","0.0-3.0-0.8","ACKG8OU1KHKO2","1641418395091","img/02.png","3","10","48"
"","3918","singlestim-multichoice-slider","12","185327","0.0-3.0-0.9","ACKG8OU1KHKO2","1641418395091","img/03.png","1","10","46"
"","8530","singlestim-multichoice-slider","13","193860","0.0-3.0-0.10","ACKG8OU1KHKO2","1641418395091","img/17.png","2","10","46"
"","3503","singlestim-multichoice-slider","14","197365","0.0-3.0-0.11","ACKG8OU1KHKO2","1641418395091","img/12.png","3","10","43"
"","4251","singlestim-multichoice-slider","15","201619","0.0-3.0-0.12","ACKG8OU1KHKO2","1641418395091","img/15.png","3","10","47"
"","4179","singlestim-multichoice-slider","16","205800","0.0-3.0-0.13","ACKG8OU1KHKO2","1641418395091","img/04.png","1","10","45"
"","8509","singlestim-multichoice-slider","17","214312","0.0-3.0-0.14","ACKG8OU1KHKO2","1641418395091","img/13.png","3","10","46"
"","4888","singlestim-multichoice-slider","18","219203","0.0-3.0-0.15","ACKG8OU1KHKO2","1641418395091","img/01.png","3","10","44"
"","7139","singlestim-multichoice-slider","19","226345","0.0-3.0-0.16","ACKG8OU1KHKO2","1641418395091","img/09.png","2","10","49"
"","3159","singlestim-multichoice-slider","20","229507","0.0-3.0-0.17","ACKG8OU1KHKO2","1641418395091","img/14.png","3","10","44"
"[{""page_index"":0,""viewing_time"":2286}]","2287","instructions","21","231794","0.0-4.0","ACKG8OU1KHKO2","1641418395091","","","",""
