"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":5676}]","5676","instructions","0","5679","0.0-0.0","AI0TZEH5DNODH","1641411110396","","","",""
"[{""page_index"":0,""viewing_time"":60465},{""page_index"":1,""viewing_time"":1518}]","61984","instructions","1","67663","0.0-1.0","AI0TZEH5DNODH","1641411110396","","","",""
"[{""page_index"":0,""viewing_time"":1516}]","1517","instructions","2","69181","0.0-2.0","AI0TZEH5DNODH","1641411110396","","","",""
"","3693","singlestim-multichoice-slider","3","72881","0.0-3.0-0.0","AI0TZEH5DNODH","1641411110396","img/08.png","2","10","93"
"","3109","singlestim-multichoice-slider","4","75994","0.0-3.0-0.1","AI0TZEH5DNODH","1641411110396","img/07.png","1","10","99"
"","4034","singlestim-multichoice-slider","5","80032","0.0-3.0-0.2","AI0TZEH5DNODH","1641411110396","img/06.png","3","10","82"
"","3000","singlestim-multichoice-slider","6","83037","0.0-3.0-0.3","AI0TZEH5DNODH","1641411110396","img/11.png","2","10","77"
"","3812","singlestim-multichoice-slider","7","86854","0.0-3.0-0.4","AI0TZEH5DNODH","1641411110396","img/02.png","1","10","67"
"","2760","singlestim-multichoice-slider","8","89619","0.0-3.0-0.5","AI0TZEH5DNODH","1641411110396","img/12.png","3","10","70"
"","3113","singlestim-multichoice-slider","9","92737","0.0-3.0-0.6","AI0TZEH5DNODH","1641411110396","img/04.png","2","10","80"
"","4327","singlestim-multichoice-slider","10","97069","0.0-3.0-0.7","AI0TZEH5DNODH","1641411110396","img/10.png","3","10","59"
"","4290","singlestim-multichoice-slider","11","101365","0.0-3.0-0.8","AI0TZEH5DNODH","1641411110396","img/15.png","3","10","74"
"","3840","singlestim-multichoice-slider","12","105211","0.0-3.0-0.9","AI0TZEH5DNODH","1641411110396","img/01.png","3","10","72"
"","4505","singlestim-multichoice-slider","13","109723","0.0-3.0-0.10","AI0TZEH5DNODH","1641411110396","img/16.png","3","10","67"
"","3783","singlestim-multichoice-slider","14","113512","0.0-3.0-0.11","AI0TZEH5DNODH","1641411110396","img/18.png","2","10","61"
"","3473","singlestim-multichoice-slider","15","116991","0.0-3.0-0.12","AI0TZEH5DNODH","1641411110396","img/13.png","3","10","95"
"","3151","singlestim-multichoice-slider","16","120149","0.0-3.0-0.13","AI0TZEH5DNODH","1641411110396","img/14.png","2","10","41"
"","3573","singlestim-multichoice-slider","17","123726","0.0-3.0-0.14","AI0TZEH5DNODH","1641411110396","img/03.png","1","10","59"
"","4646","singlestim-multichoice-slider","18","128376","0.0-3.0-0.15","AI0TZEH5DNODH","1641411110396","img/09.png","2","10","64"
"","4780","singlestim-multichoice-slider","19","133160","0.0-3.0-0.16","AI0TZEH5DNODH","1641411110396","img/17.png","3","10","67"
"","6465","singlestim-multichoice-slider","20","139630","0.0-3.0-0.17","AI0TZEH5DNODH","1641411110396","img/05.png","2","10","53"
"[{""page_index"":0,""viewing_time"":3060}]","3061","instructions","21","142692","0.0-4.0","AI0TZEH5DNODH","1641411110396","","","",""
