"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3617}]","3618","instructions","0","3629","0.0-0.0","AO32GL5867YY7","1641412117827","","","",""
"[{""page_index"":0,""viewing_time"":10324},{""page_index"":1,""viewing_time"":6902}]","17227","instructions","1","20858","0.0-1.0","AO32GL5867YY7","1641412117827","","","",""
"[{""page_index"":0,""viewing_time"":1420}]","1421","instructions","2","22281","0.0-2.0","AO32GL5867YY7","1641412117827","","","",""
"","21777","singlestim-multichoice-slider","3","44074","0.0-3.0-0.0","AO32GL5867YY7","1641412117827","img/14.png","2","10","100"
"","22876","singlestim-multichoice-slider","4","66962","0.0-3.0-0.1","AO32GL5867YY7","1641412117827","img/15.png","2","10","59"
"","8863","singlestim-multichoice-slider","5","75837","0.0-3.0-0.2","AO32GL5867YY7","1641412117827","img/13.png","2","10","45"
"","8684","singlestim-multichoice-slider","6","84533","0.0-3.0-0.3","AO32GL5867YY7","1641412117827","img/07.png","1","10","100"
"","13220","singlestim-multichoice-slider","7","97766","0.0-3.0-0.4","AO32GL5867YY7","1641412117827","img/10.png","3","10","44"
"","14046","singlestim-multichoice-slider","8","111827","0.0-3.0-0.5","AO32GL5867YY7","1641412117827","img/18.png","3","10","36"
"","41067","singlestim-multichoice-slider","9","152912","0.0-3.0-0.6","AO32GL5867YY7","1641412117827","img/05.png","2","10","39"
"","3735","singlestim-multichoice-slider","10","156666","0.0-3.0-0.7","AO32GL5867YY7","1641412117827","img/04.png","3","10","39"
"","17338","singlestim-multichoice-slider","11","174022","0.0-3.0-0.8","AO32GL5867YY7","1641412117827","img/06.png","3","10","78"
"","4400","singlestim-multichoice-slider","12","178433","0.0-3.0-0.9","AO32GL5867YY7","1641412117827","img/08.png","3","10","56"
"","6679","singlestim-multichoice-slider","13","185124","0.0-3.0-0.10","AO32GL5867YY7","1641412117827","img/12.png","3","10","52"
"","14827","singlestim-multichoice-slider","14","199965","0.0-3.0-0.11","AO32GL5867YY7","1641412117827","img/03.png","3","10","66"
"","8829","singlestim-multichoice-slider","15","208812","0.0-3.0-0.12","AO32GL5867YY7","1641412117827","img/16.png","3","10","61"
"","9619","singlestim-multichoice-slider","16","218448","0.0-3.0-0.13","AO32GL5867YY7","1641412117827","img/09.png","2","10","55"
"","4611","singlestim-multichoice-slider","17","223069","0.0-3.0-0.14","AO32GL5867YY7","1641412117827","img/02.png","3","10","51"
"","4300","singlestim-multichoice-slider","18","227380","0.0-3.0-0.15","AO32GL5867YY7","1641412117827","img/11.png","2","10","52"
"","6745","singlestim-multichoice-slider","19","234139","0.0-3.0-0.16","AO32GL5867YY7","1641412117827","img/17.png","1","10","53"
"","4715","singlestim-multichoice-slider","20","238869","0.0-3.0-0.17","AO32GL5867YY7","1641412117827","img/01.png","3","10","29"
"[{""page_index"":0,""viewing_time"":1468}]","1469","instructions","21","240339","0.0-4.0","AO32GL5867YY7","1641412117827","","","",""
