"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6880}]","6881","instructions","0","6882","0.0-0.0","AUQ79MANVDU9B","1641414357448","","","",""
"[{""page_index"":0,""viewing_time"":3275},{""page_index"":1,""viewing_time"":7471}]","10746","instructions","1","17628","0.0-1.0","AUQ79MANVDU9B","1641414357448","","","",""
"[{""page_index"":0,""viewing_time"":3609}]","3610","instructions","2","21238","0.0-2.0","AUQ79MANVDU9B","1641414357448","","","",""
"","14657","singlestim-multichoice-slider","3","35898","0.0-3.0-0.0","AUQ79MANVDU9B","1641414357448","img/16.png","3","10","30"
"","9137","singlestim-multichoice-slider","4","45036","0.0-3.0-0.1","AUQ79MANVDU9B","1641414357448","img/17.png","2","10","28"
"","8688","singlestim-multichoice-slider","5","53727","0.0-3.0-0.2","AUQ79MANVDU9B","1641414357448","img/15.png","1","10","45"
"","9090","singlestim-multichoice-slider","6","62821","0.0-3.0-0.3","AUQ79MANVDU9B","1641414357448","img/02.png","3","10","100"
"","5231","singlestim-multichoice-slider","7","68056","0.0-3.0-0.4","AUQ79MANVDU9B","1641414357448","img/10.png","3","10","100"
"","10634","singlestim-multichoice-slider","8","78692","0.0-3.0-0.5","AUQ79MANVDU9B","1641414357448","img/09.png","2","10","29"
"","6312","singlestim-multichoice-slider","9","85006","0.0-3.0-0.6","AUQ79MANVDU9B","1641414357448","img/11.png","2","10","22"
"","9721","singlestim-multichoice-slider","10","94730","0.0-3.0-0.7","AUQ79MANVDU9B","1641414357448","img/08.png","1","10","43"
"","2930","singlestim-multichoice-slider","11","97662","0.0-3.0-0.8","AUQ79MANVDU9B","1641414357448","img/03.png","3","10","48"
"","6231","singlestim-multichoice-slider","12","103896","0.0-3.0-0.9","AUQ79MANVDU9B","1641414357448","img/18.png","1","10","38"
"","5046","singlestim-multichoice-slider","13","108945","0.0-3.0-0.10","AUQ79MANVDU9B","1641414357448","img/04.png","1","10","31"
"","9402","singlestim-multichoice-slider","14","118349","0.0-3.0-0.11","AUQ79MANVDU9B","1641414357448","img/06.png","3","10","16"
"","4331","singlestim-multichoice-slider","15","122683","0.0-3.0-0.12","AUQ79MANVDU9B","1641414357448","img/01.png","3","10","35"
"","2631","singlestim-multichoice-slider","16","125319","0.0-3.0-0.13","AUQ79MANVDU9B","1641414357448","img/13.png","1","10","31"
"","3710","singlestim-multichoice-slider","17","129032","0.0-3.0-0.14","AUQ79MANVDU9B","1641414357448","img/07.png","3","10","20"
"","3726","singlestim-multichoice-slider","18","132760","0.0-3.0-0.15","AUQ79MANVDU9B","1641414357448","img/14.png","2","10","33"
"","7791","singlestim-multichoice-slider","19","140554","0.0-3.0-0.16","AUQ79MANVDU9B","1641414357448","img/12.png","3","10","27"
"","2716","singlestim-multichoice-slider","20","143273","0.0-3.0-0.17","AUQ79MANVDU9B","1641414357448","img/05.png","2","10","27"
"[{""page_index"":0,""viewing_time"":2515}]","2516","instructions","21","145789","0.0-4.0","AUQ79MANVDU9B","1641414357448","","","",""
