"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":20615}]","20616","instructions","0","20619","0.0-0.0","AUXALPJUVBAEF","1641413380659","","","",""
"[{""page_index"":0,""viewing_time"":15941},{""page_index"":1,""viewing_time"":32823}]","48764","instructions","1","69384","0.0-1.0","AUXALPJUVBAEF","1641413380659","","","",""
"[{""page_index"":0,""viewing_time"":58720}]","58721","instructions","2","128106","0.0-2.0","AUXALPJUVBAEF","1641413380659","","","",""
"","42672","singlestim-multichoice-slider","3","170785","0.0-3.0-0.0","AUXALPJUVBAEF","1641413380659","img/08.png","1","10","71"
"","18890","singlestim-multichoice-slider","4","189680","0.0-3.0-0.1","AUXALPJUVBAEF","1641413380659","img/06.png","3","10","78"
"","31071","singlestim-multichoice-slider","5","220759","0.0-3.0-0.2","AUXALPJUVBAEF","1641413380659","img/07.png","3","10","77"
"","29684","singlestim-multichoice-slider","6","250449","0.0-3.0-0.3","AUXALPJUVBAEF","1641413380659","img/14.png","2","10","100"
"","15030","singlestim-multichoice-slider","7","265487","0.0-3.0-0.4","AUXALPJUVBAEF","1641413380659","img/10.png","3","10","93"
"","53756","singlestim-multichoice-slider","8","319248","0.0-3.0-0.5","AUXALPJUVBAEF","1641413380659","img/05.png","2","10","71"
"","18218","singlestim-multichoice-slider","9","337472","0.0-3.0-0.6","AUXALPJUVBAEF","1641413380659","img/03.png","3","10","86"
"","16649","singlestim-multichoice-slider","10","354127","0.0-3.0-0.7","AUXALPJUVBAEF","1641413380659","img/09.png","3","10","83"
"","18589","singlestim-multichoice-slider","11","372726","0.0-3.0-0.8","AUXALPJUVBAEF","1641413380659","img/17.png","1","10","86"
"","9500","singlestim-multichoice-slider","12","382229","0.0-3.0-0.9","AUXALPJUVBAEF","1641413380659","img/13.png","3","10","80"
"","11036","singlestim-multichoice-slider","13","393271","0.0-3.0-0.10","AUXALPJUVBAEF","1641413380659","img/18.png","1","10","80"
"","8058","singlestim-multichoice-slider","14","401334","0.0-3.0-0.11","AUXALPJUVBAEF","1641413380659","img/02.png","3","10","97"
"","8293","singlestim-multichoice-slider","15","409632","0.0-3.0-0.12","AUXALPJUVBAEF","1641413380659","img/04.png","1","10","87"
"","14792","singlestim-multichoice-slider","16","424430","0.0-3.0-0.13","AUXALPJUVBAEF","1641413380659","img/12.png","3","10","74"
"","30939","singlestim-multichoice-slider","17","455377","0.0-3.0-0.14","AUXALPJUVBAEF","1641413380659","img/11.png","2","10","70"
"","12194","singlestim-multichoice-slider","18","467584","0.0-3.0-0.15","AUXALPJUVBAEF","1641413380659","img/01.png","2","10","82"
"","13133","singlestim-multichoice-slider","19","480725","0.0-3.0-0.16","AUXALPJUVBAEF","1641413380659","img/15.png","1","10","77"
"","5578","singlestim-multichoice-slider","20","486310","0.0-3.0-0.17","AUXALPJUVBAEF","1641413380659","img/16.png","1","10","89"
"[{""page_index"":0,""viewing_time"":14598}]","14600","instructions","21","500912","0.0-4.0","AUXALPJUVBAEF","1641413380659","","","",""
