"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":20756}]","20757","instructions","0","20760","0.0-0.0","A1302S9HB7AXAF","1641417066359","","","",""
"[{""page_index"":0,""viewing_time"":2218},{""page_index"":1,""viewing_time"":1146}]","3366","instructions","1","24128","0.0-1.0","A1302S9HB7AXAF","1641417066359","","","",""
"[{""page_index"":0,""viewing_time"":1163}]","1164","instructions","2","25294","0.0-2.0","A1302S9HB7AXAF","1641417066359","","","",""
"","40505","singlestim-multichoice-slider","3","65822","0.0-3.0-0.0","A1302S9HB7AXAF","1641417066359","img/03.png","2","10","85"
"","8218","singlestim-multichoice-slider","4","74056","0.0-3.0-0.1","A1302S9HB7AXAF","1641417066359","img/13.png","1","10","84"
"","8265","singlestim-multichoice-slider","5","82352","0.0-3.0-0.2","A1302S9HB7AXAF","1641417066359","img/04.png","2","10","79"
"","29975","singlestim-multichoice-slider","6","112366","0.0-3.0-0.3","A1302S9HB7AXAF","1641417066359","img/18.png","2","10","71"
"","7376","singlestim-multichoice-slider","7","119758","0.0-3.0-0.4","A1302S9HB7AXAF","1641417066359","img/08.png","2","10","82"
"","5272","singlestim-multichoice-slider","8","125045","0.0-3.0-0.5","A1302S9HB7AXAF","1641417066359","img/05.png","1","10","81"
"","6948","singlestim-multichoice-slider","9","132005","0.0-3.0-0.6","A1302S9HB7AXAF","1641417066359","img/11.png","2","10","74"
"","4205","singlestim-multichoice-slider","10","136220","0.0-3.0-0.7","A1302S9HB7AXAF","1641417066359","img/17.png","1","10","94"
"","5367","singlestim-multichoice-slider","11","141600","0.0-3.0-0.8","A1302S9HB7AXAF","1641417066359","img/10.png","1","10","86"
"","4194","singlestim-multichoice-slider","12","145822","0.0-3.0-0.9","A1302S9HB7AXAF","1641417066359","img/09.png","1","10","86"
"","7346","singlestim-multichoice-slider","13","153181","0.0-3.0-0.10","A1302S9HB7AXAF","1641417066359","img/16.png","2","10","88"
"","4516","singlestim-multichoice-slider","14","157708","0.0-3.0-0.11","A1302S9HB7AXAF","1641417066359","img/02.png","1","10","82"
"","5308","singlestim-multichoice-slider","15","163028","0.0-3.0-0.12","A1302S9HB7AXAF","1641417066359","img/14.png","1","10","94"
"","5390","singlestim-multichoice-slider","16","168431","0.0-3.0-0.13","A1302S9HB7AXAF","1641417066359","img/12.png","3","10","90"
"","13058","singlestim-multichoice-slider","17","181517","0.0-3.0-0.14","A1302S9HB7AXAF","1641417066359","img/01.png","1","10","88"
"","12109","singlestim-multichoice-slider","18","193637","0.0-3.0-0.15","A1302S9HB7AXAF","1641417066359","img/07.png","2","10","90"
"","17093","singlestim-multichoice-slider","19","210741","0.0-3.0-0.16","A1302S9HB7AXAF","1641417066359","img/15.png","1","10","89"
"","9487","singlestim-multichoice-slider","20","220240","0.0-3.0-0.17","A1302S9HB7AXAF","1641417066359","img/06.png","3","10","77"
"[{""page_index"":0,""viewing_time"":4332}]","4334","instructions","21","224576","0.0-4.0","A1302S9HB7AXAF","1641417066359","","","",""
