"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1261}]","1262","instructions","0","1262","0.0-0.0","A1I4PJCY0ISS1T","1641411223918","","","",""
"[{""page_index"":0,""viewing_time"":14142},{""page_index"":1,""viewing_time"":34279}]","48421","instructions","1","49685","0.0-1.0","A1I4PJCY0ISS1T","1641411223918","","","",""
"[{""page_index"":0,""viewing_time"":16830}]","16830","instructions","2","66515","0.0-2.0","A1I4PJCY0ISS1T","1641411223918","","","",""
"","122500","singlestim-multichoice-slider","3","189020","0.0-3.0-0.0","A1I4PJCY0ISS1T","1641411223918","img/04.png","3","10","64"
"","47204","singlestim-multichoice-slider","4","236226","0.0-3.0-0.1","A1I4PJCY0ISS1T","1641411223918","img/11.png","2","10","77"
"","13582","singlestim-multichoice-slider","5","249810","0.0-3.0-0.2","A1I4PJCY0ISS1T","1641411223918","img/15.png","1","10","76"
"","14814","singlestim-multichoice-slider","6","264626","0.0-3.0-0.3","A1I4PJCY0ISS1T","1641411223918","img/17.png","1","10","85"
"","10965","singlestim-multichoice-slider","7","275594","0.0-3.0-0.4","A1I4PJCY0ISS1T","1641411223918","img/09.png","2","10","75"
"","35783","singlestim-multichoice-slider","8","311379","0.0-3.0-0.5","A1I4PJCY0ISS1T","1641411223918","img/03.png","3","10","76"
"","18621","singlestim-multichoice-slider","9","330002","0.0-3.0-0.6","A1I4PJCY0ISS1T","1641411223918","img/10.png","3","10","62"
"","25741","singlestim-multichoice-slider","10","355746","0.0-3.0-0.7","A1I4PJCY0ISS1T","1641411223918","img/14.png","3","10","68"
"","15125","singlestim-multichoice-slider","11","370874","0.0-3.0-0.8","A1I4PJCY0ISS1T","1641411223918","img/08.png","1","10","63"
"","10245","singlestim-multichoice-slider","12","381122","0.0-3.0-0.9","A1I4PJCY0ISS1T","1641411223918","img/01.png","3","10","85"
"","21068","singlestim-multichoice-slider","13","402193","0.0-3.0-0.10","A1I4PJCY0ISS1T","1641411223918","img/05.png","2","10","74"
"","11646","singlestim-multichoice-slider","14","413842","0.0-3.0-0.11","A1I4PJCY0ISS1T","1641411223918","img/13.png","2","10","78"
"","15947","singlestim-multichoice-slider","15","429794","0.0-3.0-0.12","A1I4PJCY0ISS1T","1641411223918","img/16.png","3","10","72"
"","18170","singlestim-multichoice-slider","16","447969","0.0-3.0-0.13","A1I4PJCY0ISS1T","1641411223918","img/18.png","2","10","79"
"","13621","singlestim-multichoice-slider","17","461593","0.0-3.0-0.14","A1I4PJCY0ISS1T","1641411223918","img/12.png","3","10","84"
"","9358","singlestim-multichoice-slider","18","470955","0.0-3.0-0.15","A1I4PJCY0ISS1T","1641411223918","img/06.png","2","10","78"
"","7971","singlestim-multichoice-slider","19","478929","0.0-3.0-0.16","A1I4PJCY0ISS1T","1641411223918","img/07.png","3","10","76"
"","7630","singlestim-multichoice-slider","20","486562","0.0-3.0-0.17","A1I4PJCY0ISS1T","1641411223918","img/02.png","3","10","79"
"[{""page_index"":0,""viewing_time"":50744}]","50745","instructions","21","537307","0.0-4.0","A1I4PJCY0ISS1T","1641411223918","","","",""
