"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":5200}]","5202","instructions","0","5206","0.0-0.0","A2CF3XEO0CURQ0","1641410934064","","","",""
"[{""page_index"":0,""viewing_time"":12103},{""page_index"":1,""viewing_time"":4148}]","16251","instructions","1","21457","0.0-1.0","A2CF3XEO0CURQ0","1641410934064","","","",""
"[{""page_index"":0,""viewing_time"":1855}]","1856","instructions","2","23314","0.0-2.0","A2CF3XEO0CURQ0","1641410934064","","","",""
"","25059","singlestim-multichoice-slider","3","48384","0.0-3.0-0.0","A2CF3XEO0CURQ0","1641410934064","img/18.png","2","10","75"
"","8863","singlestim-multichoice-slider","4","57253","0.0-3.0-0.1","A2CF3XEO0CURQ0","1641410934064","img/17.png","1","10","91"
"","7056","singlestim-multichoice-slider","5","64316","0.0-3.0-0.2","A2CF3XEO0CURQ0","1641410934064","img/06.png","1","10","91"
"","4967","singlestim-multichoice-slider","6","69291","0.0-3.0-0.3","A2CF3XEO0CURQ0","1641410934064","img/15.png","2","10","84"
"","6880","singlestim-multichoice-slider","7","76179","0.0-3.0-0.4","A2CF3XEO0CURQ0","1641410934064","img/10.png","1","10","81"
"","5454","singlestim-multichoice-slider","8","81641","0.0-3.0-0.5","A2CF3XEO0CURQ0","1641410934064","img/13.png","1","10","86"
"","5067","singlestim-multichoice-slider","9","86715","0.0-3.0-0.6","A2CF3XEO0CURQ0","1641410934064","img/02.png","2","10","85"
"","6183","singlestim-multichoice-slider","10","92904","0.0-3.0-0.7","A2CF3XEO0CURQ0","1641410934064","img/07.png","2","10","88"
"","7955","singlestim-multichoice-slider","11","100871","0.0-3.0-0.8","A2CF3XEO0CURQ0","1641410934064","img/16.png","1","10","90"
"","5541","singlestim-multichoice-slider","12","106422","0.0-3.0-0.9","A2CF3XEO0CURQ0","1641410934064","img/08.png","2","10","94"
"","4678","singlestim-multichoice-slider","13","111110","0.0-3.0-0.10","A2CF3XEO0CURQ0","1641410934064","img/04.png","1","10","88"
"","5087","singlestim-multichoice-slider","14","116205","0.0-3.0-0.11","A2CF3XEO0CURQ0","1641410934064","img/03.png","2","10","87"
"","5914","singlestim-multichoice-slider","15","122132","0.0-3.0-0.12","A2CF3XEO0CURQ0","1641410934064","img/12.png","3","10","67"
"","4674","singlestim-multichoice-slider","16","126812","0.0-3.0-0.13","A2CF3XEO0CURQ0","1641410934064","img/01.png","1","10","83"
"","17392","singlestim-multichoice-slider","17","144209","0.0-3.0-0.14","A2CF3XEO0CURQ0","1641410934064","img/14.png","3","10","86"
"","7486","singlestim-multichoice-slider","18","151704","0.0-3.0-0.15","A2CF3XEO0CURQ0","1641410934064","img/09.png","3","10","82"
"","9207","singlestim-multichoice-slider","19","160919","0.0-3.0-0.16","A2CF3XEO0CURQ0","1641410934064","img/11.png","2","10","90"
"","21043","singlestim-multichoice-slider","20","181974","0.0-3.0-0.17","A2CF3XEO0CURQ0","1641410934064","img/05.png","2","10","85"
"[{""page_index"":0,""viewing_time"":1725}]","1725","instructions","21","183700","0.0-4.0","A2CF3XEO0CURQ0","1641410934064","","","",""
