"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1018}]","1018","instructions","0","1019","0.0-0.0","A2I6ZALE49CVSC","1641410795670","","","",""
"[{""page_index"":0,""viewing_time"":1294},{""page_index"":1,""viewing_time"":2714}]","4009","instructions","1","5028","0.0-1.0","A2I6ZALE49CVSC","1641410795670","","","",""
"[{""page_index"":0,""viewing_time"":993}]","994","instructions","2","6022","0.0-2.0","A2I6ZALE49CVSC","1641410795670","","","",""
"","7607","singlestim-multichoice-slider","3","13633","0.0-3.0-0.0","A2I6ZALE49CVSC","1641410795670","img/08.png","3","10","64"
"","2721","singlestim-multichoice-slider","4","16356","0.0-3.0-0.1","A2I6ZALE49CVSC","1641410795670","img/02.png","3","10","91"
"","5122","singlestim-multichoice-slider","5","21480","0.0-3.0-0.2","A2I6ZALE49CVSC","1641410795670","img/10.png","1","10","61"
"","3574","singlestim-multichoice-slider","6","25055","0.0-3.0-0.3","A2I6ZALE49CVSC","1641410795670","img/18.png","2","10","70"
"","4431","singlestim-multichoice-slider","7","29488","0.0-3.0-0.4","A2I6ZALE49CVSC","1641410795670","img/05.png","1","10","16"
"","4539","singlestim-multichoice-slider","8","34029","0.0-3.0-0.5","A2I6ZALE49CVSC","1641410795670","img/07.png","3","10","70"
"","5733","singlestim-multichoice-slider","9","39765","0.0-3.0-0.6","A2I6ZALE49CVSC","1641410795670","img/11.png","2","10","67"
"","3477","singlestim-multichoice-slider","10","43244","0.0-3.0-0.7","A2I6ZALE49CVSC","1641410795670","img/14.png","2","10","63"
"","4160","singlestim-multichoice-slider","11","47406","0.0-3.0-0.8","A2I6ZALE49CVSC","1641410795670","img/17.png","3","10","79"
"","3322","singlestim-multichoice-slider","12","50731","0.0-3.0-0.9","A2I6ZALE49CVSC","1641410795670","img/06.png","1","10","72"
"","3703","singlestim-multichoice-slider","13","54437","0.0-3.0-0.10","A2I6ZALE49CVSC","1641410795670","img/12.png","2","10","81"
"","3609","singlestim-multichoice-slider","14","58049","0.0-3.0-0.11","A2I6ZALE49CVSC","1641410795670","img/03.png","3","10","69"
"","3409","singlestim-multichoice-slider","15","61460","0.0-3.0-0.12","A2I6ZALE49CVSC","1641410795670","img/16.png","2","10","76"
"","7733","singlestim-multichoice-slider","16","69195","0.0-3.0-0.13","A2I6ZALE49CVSC","1641410795670","img/01.png","1","10","66"
"","4727","singlestim-multichoice-slider","17","73925","0.0-3.0-0.14","A2I6ZALE49CVSC","1641410795670","img/13.png","3","10","72"
"","3410","singlestim-multichoice-slider","18","77337","0.0-3.0-0.15","A2I6ZALE49CVSC","1641410795670","img/15.png","3","10","42"
"","5655","singlestim-multichoice-slider","19","82994","0.0-3.0-0.16","A2I6ZALE49CVSC","1641410795670","img/09.png","2","10","79"
"","8357","singlestim-multichoice-slider","20","91353","0.0-3.0-0.17","A2I6ZALE49CVSC","1641410795670","img/04.png","2","10","64"
"[{""page_index"":0,""viewing_time"":1324}]","1324","instructions","21","92677","0.0-4.0","A2I6ZALE49CVSC","1641410795670","","","",""
