"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2530}]","2531","instructions","0","2538","0.0-0.0","A2JRWH2JOX3JOX","1641424003156","","","",""
"[{""page_index"":0,""viewing_time"":9810},{""page_index"":1,""viewing_time"":1896}]","11707","instructions","1","14247","0.0-1.0","A2JRWH2JOX3JOX","1641424003156","","","",""
"[{""page_index"":0,""viewing_time"":1810}]","1811","instructions","2","16061","0.0-2.0","A2JRWH2JOX3JOX","1641424003156","","","",""
"","40299","singlestim-multichoice-slider","3","56389","0.0-3.0-0.0","A2JRWH2JOX3JOX","1641424003156","img/06.png","1","10","88"
"","4209","singlestim-multichoice-slider","4","60609","0.0-3.0-0.1","A2JRWH2JOX3JOX","1641424003156","img/16.png","2","10","98"
"","5548","singlestim-multichoice-slider","5","66174","0.0-3.0-0.2","A2JRWH2JOX3JOX","1641424003156","img/11.png","3","10","75"
"","5471","singlestim-multichoice-slider","6","71663","0.0-3.0-0.3","A2JRWH2JOX3JOX","1641424003156","img/15.png","1","10","82"
"","3637","singlestim-multichoice-slider","7","75319","0.0-3.0-0.4","A2JRWH2JOX3JOX","1641424003156","img/13.png","2","10","73"
"","4117","singlestim-multichoice-slider","8","79455","0.0-3.0-0.5","A2JRWH2JOX3JOX","1641424003156","img/03.png","3","10","91"
"","4151","singlestim-multichoice-slider","9","83626","0.0-3.0-0.6","A2JRWH2JOX3JOX","1641424003156","img/01.png","1","10","100"
"","4257","singlestim-multichoice-slider","10","87909","0.0-3.0-0.7","A2JRWH2JOX3JOX","1641424003156","img/17.png","1","10","79"
"","5973","singlestim-multichoice-slider","11","93902","0.0-3.0-0.8","A2JRWH2JOX3JOX","1641424003156","img/02.png","2","10","51"
"","3958","singlestim-multichoice-slider","12","97872","0.0-3.0-0.9","A2JRWH2JOX3JOX","1641424003156","img/12.png","2","10","76"
"","3516","singlestim-multichoice-slider","13","101409","0.0-3.0-0.10","A2JRWH2JOX3JOX","1641424003156","img/09.png","1","10","65"
"","4892","singlestim-multichoice-slider","14","106318","0.0-3.0-0.11","A2JRWH2JOX3JOX","1641424003156","img/04.png","2","10","64"
"","4602","singlestim-multichoice-slider","15","110934","0.0-3.0-0.12","A2JRWH2JOX3JOX","1641424003156","img/07.png","3","10","56"
"","4216","singlestim-multichoice-slider","16","115158","0.0-3.0-0.13","A2JRWH2JOX3JOX","1641424003156","img/18.png","1","10","81"
"","4496","singlestim-multichoice-slider","17","119670","0.0-3.0-0.14","A2JRWH2JOX3JOX","1641424003156","img/08.png","2","10","74"
"","8488","singlestim-multichoice-slider","18","128173","0.0-3.0-0.15","A2JRWH2JOX3JOX","1641424003156","img/10.png","3","10","46"
"","4439","singlestim-multichoice-slider","19","132630","0.0-3.0-0.16","A2JRWH2JOX3JOX","1641424003156","img/05.png","2","10","73"
"","3038","singlestim-multichoice-slider","20","135687","0.0-3.0-0.17","A2JRWH2JOX3JOX","1641424003156","img/14.png","2","10","77"
"[{""page_index"":0,""viewing_time"":7451}]","7454","instructions","21","143143","0.0-4.0","A2JRWH2JOX3JOX","1641424003156","","","",""
