"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":47486}]","47487","instructions","0","47488","0.0-0.0","A2LT6KC1X51FVW","1641415349173","","","",""
"[{""page_index"":0,""viewing_time"":5330},{""page_index"":1,""viewing_time"":20138}]","25468","instructions","1","72957","0.0-1.0","A2LT6KC1X51FVW","1641415349173","","","",""
"[{""page_index"":0,""viewing_time"":26816}]","26816","instructions","2","99773","0.0-2.0","A2LT6KC1X51FVW","1641415349173","","","",""
"","68834","singlestim-multichoice-slider","3","168610","0.0-3.0-0.0","A2LT6KC1X51FVW","1641415349173","img/07.png","2","10","4"
"","11278","singlestim-multichoice-slider","4","179891","0.0-3.0-0.1","A2LT6KC1X51FVW","1641415349173","img/01.png","1","10","4"
"","71296","singlestim-multichoice-slider","5","251190","0.0-3.0-0.2","A2LT6KC1X51FVW","1641415349173","img/02.png","3","10","11"
"","6784","singlestim-multichoice-slider","6","257976","0.0-3.0-0.3","A2LT6KC1X51FVW","1641415349173","img/08.png","1","10","68"
"","6153","singlestim-multichoice-slider","7","264131","0.0-3.0-0.4","A2LT6KC1X51FVW","1641415349173","img/16.png","3","10","66"
"","13060","singlestim-multichoice-slider","8","277194","0.0-3.0-0.5","A2LT6KC1X51FVW","1641415349173","img/18.png","1","10","89"
"","12020","singlestim-multichoice-slider","9","289216","0.0-3.0-0.6","A2LT6KC1X51FVW","1641415349173","img/12.png","2","10","2"
"","6038","singlestim-multichoice-slider","10","295257","0.0-3.0-0.7","A2LT6KC1X51FVW","1641415349173","img/10.png","3","10","69"
"","6470","singlestim-multichoice-slider","11","301729","0.0-3.0-0.8","A2LT6KC1X51FVW","1641415349173","img/09.png","3","10","51"
"","9712","singlestim-multichoice-slider","12","311443","0.0-3.0-0.9","A2LT6KC1X51FVW","1641415349173","img/17.png","1","10","50"
"","6081","singlestim-multichoice-slider","13","317526","0.0-3.0-0.10","A2LT6KC1X51FVW","1641415349173","img/05.png","1","10","50"
"","5588","singlestim-multichoice-slider","14","323116","0.0-3.0-0.11","A2LT6KC1X51FVW","1641415349173","img/11.png","2","10","52"
"","14895","singlestim-multichoice-slider","15","338014","0.0-3.0-0.12","A2LT6KC1X51FVW","1641415349173","img/06.png","1","10","19"
"","4291","singlestim-multichoice-slider","16","342307","0.0-3.0-0.13","A2LT6KC1X51FVW","1641415349173","img/04.png","1","10","76"
"","6161","singlestim-multichoice-slider","17","348470","0.0-3.0-0.14","A2LT6KC1X51FVW","1641415349173","img/13.png","3","10","54"
"","6199","singlestim-multichoice-slider","18","354672","0.0-3.0-0.15","A2LT6KC1X51FVW","1641415349173","img/15.png","3","10","56"
"","6930","singlestim-multichoice-slider","19","361606","0.0-3.0-0.16","A2LT6KC1X51FVW","1641415349173","img/03.png","3","10","48"
"","7383","singlestim-multichoice-slider","20","368991","0.0-3.0-0.17","A2LT6KC1X51FVW","1641415349173","img/14.png","2","10","84"
"[{""page_index"":0,""viewing_time"":6769}]","6769","instructions","21","375760","0.0-4.0","A2LT6KC1X51FVW","1641415349173","","","",""
