"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":69208}]","69210","instructions","0","69219","0.0-0.0","A2MGFNV12QTF4Q","1641418171923","","","",""
"[{""page_index"":0,""viewing_time"":7151},{""page_index"":1,""viewing_time"":2087}]","9239","instructions","1","78463","0.0-1.0","A2MGFNV12QTF4Q","1641418171923","","","",""
"[{""page_index"":0,""viewing_time"":2640}]","2640","instructions","2","81104","0.0-2.0","A2MGFNV12QTF4Q","1641418171923","","","",""
"","26020","singlestim-multichoice-slider","3","107156","0.0-3.0-0.0","A2MGFNV12QTF4Q","1641418171923","img/18.png","2","10","64"
"","16066","singlestim-multichoice-slider","4","123232","0.0-3.0-0.1","A2MGFNV12QTF4Q","1641418171923","img/10.png","3","10","62"
"","9642","singlestim-multichoice-slider","5","132882","0.0-3.0-0.2","A2MGFNV12QTF4Q","1641418171923","img/08.png","3","10","47"
"","15392","singlestim-multichoice-slider","6","148299","0.0-3.0-0.3","A2MGFNV12QTF4Q","1641418171923","img/12.png","2","10","55"
"","68011","singlestim-multichoice-slider","7","216324","0.0-3.0-0.4","A2MGFNV12QTF4Q","1641418171923","img/02.png","2","10","67"
"","3551","singlestim-multichoice-slider","8","219894","0.0-3.0-0.5","A2MGFNV12QTF4Q","1641418171923","img/11.png","2","10","72"
"","6555","singlestim-multichoice-slider","9","226467","0.0-3.0-0.6","A2MGFNV12QTF4Q","1641418171923","img/15.png","1","10","82"
"","4116","singlestim-multichoice-slider","10","230594","0.0-3.0-0.7","A2MGFNV12QTF4Q","1641418171923","img/01.png","3","10","59"
"","11746","singlestim-multichoice-slider","11","242352","0.0-3.0-0.8","A2MGFNV12QTF4Q","1641418171923","img/04.png","1","10","64"
"","23100","singlestim-multichoice-slider","12","265462","0.0-3.0-0.9","A2MGFNV12QTF4Q","1641418171923","img/17.png","3","10","56"
"","8618","singlestim-multichoice-slider","13","274095","0.0-3.0-0.10","A2MGFNV12QTF4Q","1641418171923","img/07.png","2","10","71"
"","10010","singlestim-multichoice-slider","14","284115","0.0-3.0-0.11","A2MGFNV12QTF4Q","1641418171923","img/13.png","2","10","73"
"","3617","singlestim-multichoice-slider","15","287746","0.0-3.0-0.12","A2MGFNV12QTF4Q","1641418171923","img/03.png","1","10","66"
"","4196","singlestim-multichoice-slider","16","291968","0.0-3.0-0.13","A2MGFNV12QTF4Q","1641418171923","img/09.png","2","10","79"
"","5435","singlestim-multichoice-slider","17","297416","0.0-3.0-0.14","A2MGFNV12QTF4Q","1641418171923","img/05.png","1","10","73"
"","36609","singlestim-multichoice-slider","18","334051","0.0-3.0-0.15","A2MGFNV12QTF4Q","1641418171923","img/16.png","2","10","45"
"","7999","singlestim-multichoice-slider","19","342073","0.0-3.0-0.16","A2MGFNV12QTF4Q","1641418171923","img/06.png","3","10","60"
"","3851","singlestim-multichoice-slider","20","345949","0.0-3.0-0.17","A2MGFNV12QTF4Q","1641418171923","img/14.png","2","10","64"
"[{""page_index"":0,""viewing_time"":10456}]","10456","instructions","21","356406","0.0-4.0","A2MGFNV12QTF4Q","1641418171923","","","",""
