"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2441}]","2442","instructions","0","2445","0.0-0.0","A2X1FM7UB1FOVM","1641416486124","","","",""
"[{""page_index"":0,""viewing_time"":3196},{""page_index"":1,""viewing_time"":2068}]","5264","instructions","1","7710","0.0-1.0","A2X1FM7UB1FOVM","1641416486124","","","",""
"[{""page_index"":0,""viewing_time"":3481}]","3482","instructions","2","11192","0.0-2.0","A2X1FM7UB1FOVM","1641416486124","","","",""
"","8967","singlestim-multichoice-slider","3","20169","0.0-3.0-0.0","A2X1FM7UB1FOVM","1641416486124","img/04.png","1","10","53"
"","6934","singlestim-multichoice-slider","4","27109","0.0-3.0-0.1","A2X1FM7UB1FOVM","1641416486124","img/08.png","1","10","90"
"","14942","singlestim-multichoice-slider","5","42054","0.0-3.0-0.2","A2X1FM7UB1FOVM","1641416486124","img/06.png","3","10","40"
"","6462","singlestim-multichoice-slider","6","48524","0.0-3.0-0.3","A2X1FM7UB1FOVM","1641416486124","img/03.png","3","10","55"
"","16007","singlestim-multichoice-slider","7","64537","0.0-3.0-0.4","A2X1FM7UB1FOVM","1641416486124","img/11.png","1","10","55"
"","7528","singlestim-multichoice-slider","8","72069","0.0-3.0-0.5","A2X1FM7UB1FOVM","1641416486124","img/05.png","2","10","68"
"","10466","singlestim-multichoice-slider","9","82543","0.0-3.0-0.6","A2X1FM7UB1FOVM","1641416486124","img/15.png","3","10","36"
"","10676","singlestim-multichoice-slider","10","93223","0.0-3.0-0.7","A2X1FM7UB1FOVM","1641416486124","img/12.png","3","10","20"
"","5743","singlestim-multichoice-slider","11","98971","0.0-3.0-0.8","A2X1FM7UB1FOVM","1641416486124","img/02.png","3","10","27"
"","5216","singlestim-multichoice-slider","12","104191","0.0-3.0-0.9","A2X1FM7UB1FOVM","1641416486124","img/10.png","3","10","30"
"","5793","singlestim-multichoice-slider","13","109990","0.0-3.0-0.10","A2X1FM7UB1FOVM","1641416486124","img/16.png","1","10","48"
"","6510","singlestim-multichoice-slider","14","116503","0.0-3.0-0.11","A2X1FM7UB1FOVM","1641416486124","img/09.png","3","10","35"
"","5457","singlestim-multichoice-slider","15","121966","0.0-3.0-0.12","A2X1FM7UB1FOVM","1641416486124","img/01.png","3","10","22"
"","9258","singlestim-multichoice-slider","16","131227","0.0-3.0-0.13","A2X1FM7UB1FOVM","1641416486124","img/13.png","2","10","61"
"","6157","singlestim-multichoice-slider","17","137387","0.0-3.0-0.14","A2X1FM7UB1FOVM","1641416486124","img/07.png","1","10","53"
"","8476","singlestim-multichoice-slider","18","145866","0.0-3.0-0.15","A2X1FM7UB1FOVM","1641416486124","img/14.png","2","10","67"
"","5323","singlestim-multichoice-slider","19","151193","0.0-3.0-0.16","A2X1FM7UB1FOVM","1641416486124","img/18.png","1","10","79"
"","8452","singlestim-multichoice-slider","20","159648","0.0-3.0-0.17","A2X1FM7UB1FOVM","1641416486124","img/17.png","2","10","45"
"[{""page_index"":0,""viewing_time"":2099}]","2100","instructions","21","161749","0.0-4.0","A2X1FM7UB1FOVM","1641416486124","","","",""
