"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2032}]","2033","instructions","0","2045","0.0-0.0","A31SXIXOSI9KF6","1641411080591","","","",""
"[{""page_index"":0,""viewing_time"":1563},{""page_index"":1,""viewing_time"":1401}]","2964","instructions","1","5011","0.0-1.0","A31SXIXOSI9KF6","1641411080591","","","",""
"[{""page_index"":0,""viewing_time"":1197}]","1198","instructions","2","6210","0.0-2.0","A31SXIXOSI9KF6","1641411080591","","","",""
"","3369","singlestim-multichoice-slider","3","9600","0.0-3.0-0.0","A31SXIXOSI9KF6","1641411080591","img/11.png","2","10","32"
"","2817","singlestim-multichoice-slider","4","12426","0.0-3.0-0.1","A31SXIXOSI9KF6","1641411080591","img/16.png","1","10","19"
"","2618","singlestim-multichoice-slider","5","15052","0.0-3.0-0.2","A31SXIXOSI9KF6","1641411080591","img/05.png","2","10","73"
"","2995","singlestim-multichoice-slider","6","18052","0.0-3.0-0.3","A31SXIXOSI9KF6","1641411080591","img/12.png","3","10","48"
"","2517","singlestim-multichoice-slider","7","20578","0.0-3.0-0.4","A31SXIXOSI9KF6","1641411080591","img/07.png","2","10","42"
"","3236","singlestim-multichoice-slider","8","23820","0.0-3.0-0.5","A31SXIXOSI9KF6","1641411080591","img/02.png","1","10","45"
"","2559","singlestim-multichoice-slider","9","26387","0.0-3.0-0.6","A31SXIXOSI9KF6","1641411080591","img/17.png","2","10","27"
"","3648","singlestim-multichoice-slider","10","30042","0.0-3.0-0.7","A31SXIXOSI9KF6","1641411080591","img/14.png","1","10","35"
"","6675","singlestim-multichoice-slider","11","36726","0.0-3.0-0.8","A31SXIXOSI9KF6","1641411080591","img/08.png","1","10","88"
"","2409","singlestim-multichoice-slider","12","39145","0.0-3.0-0.9","A31SXIXOSI9KF6","1641411080591","img/09.png","2","10","49"
"","2834","singlestim-multichoice-slider","13","41991","0.0-3.0-0.10","A31SXIXOSI9KF6","1641411080591","img/03.png","1","10","40"
"","2351","singlestim-multichoice-slider","14","44353","0.0-3.0-0.11","A31SXIXOSI9KF6","1641411080591","img/15.png","2","10","63"
"","2433","singlestim-multichoice-slider","15","46794","0.0-3.0-0.12","A31SXIXOSI9KF6","1641411080591","img/10.png","3","10","42"
"","2757","singlestim-multichoice-slider","16","49561","0.0-3.0-0.13","A31SXIXOSI9KF6","1641411080591","img/13.png","2","10","81"
"","2407","singlestim-multichoice-slider","17","51975","0.0-3.0-0.14","A31SXIXOSI9KF6","1641411080591","img/06.png","1","10","51"
"","3370","singlestim-multichoice-slider","18","55355","0.0-3.0-0.15","A31SXIXOSI9KF6","1641411080591","img/04.png","2","10","50"
"","3449","singlestim-multichoice-slider","19","58812","0.0-3.0-0.16","A31SXIXOSI9KF6","1641411080591","img/01.png","1","10","83"
"","3024","singlestim-multichoice-slider","20","61844","0.0-3.0-0.17","A31SXIXOSI9KF6","1641411080591","img/18.png","2","10","33"
"[{""page_index"":0,""viewing_time"":1359}]","1360","instructions","21","63205","0.0-4.0","A31SXIXOSI9KF6","1641411080591","","","",""
