"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":4192}]","4194","instructions","0","4197","0.0-0.0","A35P5JYWFCCMDR","1641411818139","","","",""
"[{""page_index"":0,""viewing_time"":2887},{""page_index"":1,""viewing_time"":4005}]","6893","instructions","1","11092","0.0-1.0","A35P5JYWFCCMDR","1641411818139","","","",""
"[{""page_index"":0,""viewing_time"":2972}]","2973","instructions","2","14066","0.0-2.0","A35P5JYWFCCMDR","1641411818139","","","",""
"","19927","singlestim-multichoice-slider","3","34002","0.0-3.0-0.0","A35P5JYWFCCMDR","1641411818139","img/17.png","2","10","62"
"","12473","singlestim-multichoice-slider","4","46481","0.0-3.0-0.1","A35P5JYWFCCMDR","1641411818139","img/11.png","2","10","36"
"","7086","singlestim-multichoice-slider","5","53572","0.0-3.0-0.2","A35P5JYWFCCMDR","1641411818139","img/13.png","3","10","53"
"","4649","singlestim-multichoice-slider","6","58228","0.0-3.0-0.3","A35P5JYWFCCMDR","1641411818139","img/18.png","1","10","86"
"","5962","singlestim-multichoice-slider","7","64196","0.0-3.0-0.4","A35P5JYWFCCMDR","1641411818139","img/01.png","3","10","52"
"","8928","singlestim-multichoice-slider","8","73131","0.0-3.0-0.5","A35P5JYWFCCMDR","1641411818139","img/06.png","2","10","57"
"","7471","singlestim-multichoice-slider","9","80610","0.0-3.0-0.6","A35P5JYWFCCMDR","1641411818139","img/03.png","3","10","67"
"","5669","singlestim-multichoice-slider","10","86285","0.0-3.0-0.7","A35P5JYWFCCMDR","1641411818139","img/08.png","3","10","62"
"","10332","singlestim-multichoice-slider","11","96622","0.0-3.0-0.8","A35P5JYWFCCMDR","1641411818139","img/04.png","3","10","47"
"","4687","singlestim-multichoice-slider","12","101315","0.0-3.0-0.9","A35P5JYWFCCMDR","1641411818139","img/09.png","2","10","52"
"","9080","singlestim-multichoice-slider","13","110403","0.0-3.0-0.10","A35P5JYWFCCMDR","1641411818139","img/12.png","1","10","62"
"","4711","singlestim-multichoice-slider","14","115119","0.0-3.0-0.11","A35P5JYWFCCMDR","1641411818139","img/14.png","2","10","68"
"","6831","singlestim-multichoice-slider","15","121956","0.0-3.0-0.12","A35P5JYWFCCMDR","1641411818139","img/05.png","1","10","61"
"","7059","singlestim-multichoice-slider","16","129021","0.0-3.0-0.13","A35P5JYWFCCMDR","1641411818139","img/10.png","3","10","93"
"","5374","singlestim-multichoice-slider","17","134401","0.0-3.0-0.14","A35P5JYWFCCMDR","1641411818139","img/15.png","3","10","45"
"","4619","singlestim-multichoice-slider","18","139025","0.0-3.0-0.15","A35P5JYWFCCMDR","1641411818139","img/07.png","3","10","62"
"","4426","singlestim-multichoice-slider","19","143456","0.0-3.0-0.16","A35P5JYWFCCMDR","1641411818139","img/16.png","1","10","98"
"","5850","singlestim-multichoice-slider","20","149312","0.0-3.0-0.17","A35P5JYWFCCMDR","1641411818139","img/02.png","2","10","80"
"[{""page_index"":0,""viewing_time"":4428}]","4429","instructions","21","153741","0.0-4.0","A35P5JYWFCCMDR","1641411818139","","","",""
