"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1670}]","1670","instructions","0","1671","0.0-0.0","A3K9GTQBOI7O5A","1641411175746","","","",""
"[{""page_index"":0,""viewing_time"":3371},{""page_index"":1,""viewing_time"":1819}]","5190","instructions","1","6862","0.0-1.0","A3K9GTQBOI7O5A","1641411175746","","","",""
"[{""page_index"":0,""viewing_time"":1559}]","1559","instructions","2","8423","0.0-2.0","A3K9GTQBOI7O5A","1641411175746","","","",""
"","6049","singlestim-multichoice-slider","3","14478","0.0-3.0-0.0","A3K9GTQBOI7O5A","1641411175746","img/02.png","3","10","47"
"","5216","singlestim-multichoice-slider","4","19699","0.0-3.0-0.1","A3K9GTQBOI7O5A","1641411175746","img/04.png","1","10","61"
"","13280","singlestim-multichoice-slider","5","32984","0.0-3.0-0.2","A3K9GTQBOI7O5A","1641411175746","img/06.png","3","10","54"
"","7755","singlestim-multichoice-slider","6","40749","0.0-3.0-0.3","A3K9GTQBOI7O5A","1641411175746","img/07.png","1","10","65"
"","6019","singlestim-multichoice-slider","7","46772","0.0-3.0-0.4","A3K9GTQBOI7O5A","1641411175746","img/01.png","2","10","58"
"","5083","singlestim-multichoice-slider","8","51857","0.0-3.0-0.5","A3K9GTQBOI7O5A","1641411175746","img/10.png","3","10","70"
"","18970","singlestim-multichoice-slider","9","70832","0.0-3.0-0.6","A3K9GTQBOI7O5A","1641411175746","img/03.png","3","10","67"
"","6003","singlestim-multichoice-slider","10","76839","0.0-3.0-0.7","A3K9GTQBOI7O5A","1641411175746","img/11.png","1","10","64"
"","26169","singlestim-multichoice-slider","11","103018","0.0-3.0-0.8","A3K9GTQBOI7O5A","1641411175746","img/16.png","3","10","67"
"","8044","singlestim-multichoice-slider","12","111068","0.0-3.0-0.9","A3K9GTQBOI7O5A","1641411175746","img/09.png","3","10","79"
"","10246","singlestim-multichoice-slider","13","121321","0.0-3.0-0.10","A3K9GTQBOI7O5A","1641411175746","img/13.png","3","10","73"
"","4818","singlestim-multichoice-slider","14","126146","0.0-3.0-0.11","A3K9GTQBOI7O5A","1641411175746","img/15.png","3","10","66"
"","5633","singlestim-multichoice-slider","15","131784","0.0-3.0-0.12","A3K9GTQBOI7O5A","1641411175746","img/08.png","1","10","72"
"","5237","singlestim-multichoice-slider","16","137030","0.0-3.0-0.13","A3K9GTQBOI7O5A","1641411175746","img/05.png","2","10","54"
"","6359","singlestim-multichoice-slider","17","143398","0.0-3.0-0.14","A3K9GTQBOI7O5A","1641411175746","img/17.png","1","10","62"
"","8806","singlestim-multichoice-slider","18","152214","0.0-3.0-0.15","A3K9GTQBOI7O5A","1641411175746","img/18.png","1","10","70"
"","6403","singlestim-multichoice-slider","19","158626","0.0-3.0-0.16","A3K9GTQBOI7O5A","1641411175746","img/12.png","3","10","67"
"","5056","singlestim-multichoice-slider","20","163688","0.0-3.0-0.17","A3K9GTQBOI7O5A","1641411175746","img/14.png","3","10","81"
"[{""page_index"":0,""viewing_time"":2675}]","2676","instructions","21","166365","0.0-4.0","A3K9GTQBOI7O5A","1641411175746","","","",""
