"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2577}]","2577","instructions","0","2579","0.0-0.0","A5WHZOYBX91NJ","1641407564632","","","",""
"[{""page_index"":0,""viewing_time"":3029},{""page_index"":1,""viewing_time"":1727}]","4757","instructions","1","7337","0.0-1.0","A5WHZOYBX91NJ","1641407564632","","","",""
"[{""page_index"":0,""viewing_time"":1473}]","1473","instructions","2","8811","0.0-2.0","A5WHZOYBX91NJ","1641407564632","","","",""
"","20201","singlestim-multichoice-slider","3","29018","0.0-3.0-0.0","A5WHZOYBX91NJ","1641407564632","img/11.png","2","10","100"
"","11078","singlestim-multichoice-slider","4","40100","0.0-3.0-0.1","A5WHZOYBX91NJ","1641407564632","img/12.png","1","10","93"
"","20457","singlestim-multichoice-slider","5","60562","0.0-3.0-0.2","A5WHZOYBX91NJ","1641407564632","img/18.png","3","10","53"
"","3634","singlestim-multichoice-slider","6","64201","0.0-3.0-0.3","A5WHZOYBX91NJ","1641407564632","img/06.png","1","10","91"
"","6004","singlestim-multichoice-slider","7","70211","0.0-3.0-0.4","A5WHZOYBX91NJ","1641407564632","img/01.png","3","10","62"
"","4865","singlestim-multichoice-slider","8","75082","0.0-3.0-0.5","A5WHZOYBX91NJ","1641407564632","img/17.png","2","10","95"
"","5395","singlestim-multichoice-slider","9","80481","0.0-3.0-0.6","A5WHZOYBX91NJ","1641407564632","img/08.png","3","10","84"
"","3808","singlestim-multichoice-slider","10","84297","0.0-3.0-0.7","A5WHZOYBX91NJ","1641407564632","img/05.png","1","10","80"
"","5060","singlestim-multichoice-slider","11","89371","0.0-3.0-0.8","A5WHZOYBX91NJ","1641407564632","img/15.png","3","10","64"
"","3669","singlestim-multichoice-slider","12","93053","0.0-3.0-0.9","A5WHZOYBX91NJ","1641407564632","img/07.png","3","10","66"
"","6605","singlestim-multichoice-slider","13","99673","0.0-3.0-0.10","A5WHZOYBX91NJ","1641407564632","img/10.png","3","10","50"
"","4768","singlestim-multichoice-slider","14","104449","0.0-3.0-0.11","A5WHZOYBX91NJ","1641407564632","img/03.png","3","10","60"
"","4604","singlestim-multichoice-slider","15","109057","0.0-3.0-0.12","A5WHZOYBX91NJ","1641407564632","img/16.png","3","10","77"
"","7302","singlestim-multichoice-slider","16","116363","0.0-3.0-0.13","A5WHZOYBX91NJ","1641407564632","img/09.png","3","10","65"
"","16648","singlestim-multichoice-slider","17","133026","0.0-3.0-0.14","A5WHZOYBX91NJ","1641407564632","img/02.png","3","10","62"
"","19748","singlestim-multichoice-slider","18","152778","0.0-3.0-0.15","A5WHZOYBX91NJ","1641407564632","img/13.png","3","10","62"
"","5167","singlestim-multichoice-slider","19","157953","0.0-3.0-0.16","A5WHZOYBX91NJ","1641407564632","img/04.png","3","10","70"
"","26233","singlestim-multichoice-slider","20","184195","0.0-3.0-0.17","A5WHZOYBX91NJ","1641407564632","img/14.png","3","10","82"
"[{""page_index"":0,""viewing_time"":161991}]","162000","instructions","21","346198","0.0-4.0","A5WHZOYBX91NJ","1641407564632","","","",""
