"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1669}]","1669","instructions","0","1671","0.0-0.0","A72LC42LU78IP","1641411406371","","","",""
"[{""page_index"":0,""viewing_time"":2527},{""page_index"":1,""viewing_time"":1607}]","4134","instructions","1","5806","0.0-1.0","A72LC42LU78IP","1641411406371","","","",""
"[{""page_index"":0,""viewing_time"":1311}]","1311","instructions","2","7118","0.0-2.0","A72LC42LU78IP","1641411406371","","","",""
"","38209","singlestim-multichoice-slider","3","45334","0.0-3.0-0.0","A72LC42LU78IP","1641411406371","img/17.png","3","10","31"
"","49582","singlestim-multichoice-slider","4","94922","0.0-3.0-0.1","A72LC42LU78IP","1641411406371","img/11.png","3","10","36"
"","8445","singlestim-multichoice-slider","5","103381","0.0-3.0-0.2","A72LC42LU78IP","1641411406371","img/16.png","1","10","84"
"","38105","singlestim-multichoice-slider","6","141494","0.0-3.0-0.3","A72LC42LU78IP","1641411406371","img/03.png","3","10","79"
"","17483","singlestim-multichoice-slider","7","158983","0.0-3.0-0.4","A72LC42LU78IP","1641411406371","img/09.png","3","10","73"
"","7047","singlestim-multichoice-slider","8","166033","0.0-3.0-0.5","A72LC42LU78IP","1641411406371","img/08.png","1","10","99"
"","10914","singlestim-multichoice-slider","9","176952","0.0-3.0-0.6","A72LC42LU78IP","1641411406371","img/06.png","3","10","94"
"","5278","singlestim-multichoice-slider","10","182235","0.0-3.0-0.7","A72LC42LU78IP","1641411406371","img/04.png","1","10","100"
"","18956","singlestim-multichoice-slider","11","201202","0.0-3.0-0.8","A72LC42LU78IP","1641411406371","img/10.png","3","10","28"
"","15126","singlestim-multichoice-slider","12","216341","0.0-3.0-0.9","A72LC42LU78IP","1641411406371","img/07.png","3","10","25"
"","5056","singlestim-multichoice-slider","13","221405","0.0-3.0-0.10","A72LC42LU78IP","1641411406371","img/02.png","3","10","62"
"","5042","singlestim-multichoice-slider","14","226453","0.0-3.0-0.11","A72LC42LU78IP","1641411406371","img/14.png","2","10","85"
"","7466","singlestim-multichoice-slider","15","233923","0.0-3.0-0.12","A72LC42LU78IP","1641411406371","img/18.png","1","10","75"
"","13434","singlestim-multichoice-slider","16","247362","0.0-3.0-0.13","A72LC42LU78IP","1641411406371","img/13.png","3","10","34"
"","8916","singlestim-multichoice-slider","17","256296","0.0-3.0-0.14","A72LC42LU78IP","1641411406371","img/12.png","3","10","37"
"","8732","singlestim-multichoice-slider","18","265031","0.0-3.0-0.15","A72LC42LU78IP","1641411406371","img/05.png","3","10","77"
"","4537","singlestim-multichoice-slider","19","269572","0.0-3.0-0.16","A72LC42LU78IP","1641411406371","img/01.png","3","10","49"
"","6297","singlestim-multichoice-slider","20","275874","0.0-3.0-0.17","A72LC42LU78IP","1641411406371","img/15.png","3","10","37"
"[{""page_index"":0,""viewing_time"":2530}]","2531","instructions","21","278406","0.0-4.0","A72LC42LU78IP","1641411406371","","","",""
