"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2086}]","2086","instructions","0","2087","0.0-0.0","AAQREZOK13OV7","1641408110344","","","",""
"[{""page_index"":0,""viewing_time"":2564},{""page_index"":1,""viewing_time"":6239}]","8803","instructions","1","10891","0.0-1.0","AAQREZOK13OV7","1641408110344","","","",""
"[{""page_index"":0,""viewing_time"":11025}]","11025","instructions","2","21916","0.0-2.0","AAQREZOK13OV7","1641408110344","","","",""
"","10801","singlestim-multichoice-slider","3","32720","0.0-3.0-0.0","AAQREZOK13OV7","1641408110344","img/14.png","2","10","93"
"","7163","singlestim-multichoice-slider","4","39885","0.0-3.0-0.1","AAQREZOK13OV7","1641408110344","img/01.png","3","10","30"
"","7789","singlestim-multichoice-slider","5","47676","0.0-3.0-0.2","AAQREZOK13OV7","1641408110344","img/02.png","3","10","31"
"","8394","singlestim-multichoice-slider","6","56072","0.0-3.0-0.3","AAQREZOK13OV7","1641408110344","img/07.png","3","10","36"
"","4123","singlestim-multichoice-slider","7","60197","0.0-3.0-0.4","AAQREZOK13OV7","1641408110344","img/04.png","1","10","91"
"","18031","singlestim-multichoice-slider","8","78230","0.0-3.0-0.5","AAQREZOK13OV7","1641408110344","img/13.png","2","10","21"
"","5780","singlestim-multichoice-slider","9","84012","0.0-3.0-0.6","AAQREZOK13OV7","1641408110344","img/18.png","1","10","87"
"","4516","singlestim-multichoice-slider","10","88531","0.0-3.0-0.7","AAQREZOK13OV7","1641408110344","img/17.png","3","10","35"
"","13326","singlestim-multichoice-slider","11","101859","0.0-3.0-0.8","AAQREZOK13OV7","1641408110344","img/05.png","1","10","22"
"","5804","singlestim-multichoice-slider","12","107665","0.0-3.0-0.9","AAQREZOK13OV7","1641408110344","img/10.png","3","10","50"
"","6175","singlestim-multichoice-slider","13","113842","0.0-3.0-0.10","AAQREZOK13OV7","1641408110344","img/16.png","1","10","85"
"","4848","singlestim-multichoice-slider","14","118692","0.0-3.0-0.11","AAQREZOK13OV7","1641408110344","img/15.png","3","10","30"
"","6797","singlestim-multichoice-slider","15","125491","0.0-3.0-0.12","AAQREZOK13OV7","1641408110344","img/03.png","3","10","28"
"","14967","singlestim-multichoice-slider","16","140459","0.0-3.0-0.13","AAQREZOK13OV7","1641408110344","img/11.png","1","10","37"
"","4795","singlestim-multichoice-slider","17","145256","0.0-3.0-0.14","AAQREZOK13OV7","1641408110344","img/08.png","1","10","91"
"","9057","singlestim-multichoice-slider","18","154315","0.0-3.0-0.15","AAQREZOK13OV7","1641408110344","img/06.png","3","10","48"
"","10243","singlestim-multichoice-slider","19","164560","0.0-3.0-0.16","AAQREZOK13OV7","1641408110344","img/12.png","3","10","43"
"","8166","singlestim-multichoice-slider","20","172728","0.0-3.0-0.17","AAQREZOK13OV7","1641408110344","img/09.png","3","10","71"
"[{""page_index"":0,""viewing_time"":3201}]","3202","instructions","21","175930","0.0-4.0","AAQREZOK13OV7","1641408110344","","","",""
