"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":10804}]","10807","instructions","0","10815","0.0-0.0","ACJNWSBIVI46H","1641412137071","","","",""
"[{""page_index"":0,""viewing_time"":15202},{""page_index"":1,""viewing_time"":20512}]","35714","instructions","1","46531","0.0-1.0","ACJNWSBIVI46H","1641412137071","","","",""
"[{""page_index"":0,""viewing_time"":45091}]","45092","instructions","2","91624","0.0-2.0","ACJNWSBIVI46H","1641412137071","","","",""
"","50017","singlestim-multichoice-slider","3","141662","0.0-3.0-0.0","ACJNWSBIVI46H","1641412137071","img/12.png","3","10","86"
"","45354","singlestim-multichoice-slider","4","187029","0.0-3.0-0.1","ACJNWSBIVI46H","1641412137071","img/06.png","3","10","75"
"","17080","singlestim-multichoice-slider","5","204129","0.0-3.0-0.2","ACJNWSBIVI46H","1641412137071","img/11.png","2","10","59"
"","26095","singlestim-multichoice-slider","6","230236","0.0-3.0-0.3","ACJNWSBIVI46H","1641412137071","img/17.png","1","10","41"
"","7393","singlestim-multichoice-slider","7","237645","0.0-3.0-0.4","ACJNWSBIVI46H","1641412137071","img/07.png","3","10","81"
"","7063","singlestim-multichoice-slider","8","244725","0.0-3.0-0.5","ACJNWSBIVI46H","1641412137071","img/04.png","1","10","70"
"","6269","singlestim-multichoice-slider","9","251013","0.0-3.0-0.6","ACJNWSBIVI46H","1641412137071","img/03.png","3","10","74"
"","8154","singlestim-multichoice-slider","10","259176","0.0-3.0-0.7","ACJNWSBIVI46H","1641412137071","img/15.png","3","10","69"
"","13458","singlestim-multichoice-slider","11","272646","0.0-3.0-0.8","ACJNWSBIVI46H","1641412137071","img/13.png","2","10","84"
"","9394","singlestim-multichoice-slider","12","282053","0.0-3.0-0.9","ACJNWSBIVI46H","1641412137071","img/02.png","3","10","90"
"","5878","singlestim-multichoice-slider","13","287946","0.0-3.0-0.10","ACJNWSBIVI46H","1641412137071","img/10.png","3","10","78"
"","12447","singlestim-multichoice-slider","14","300409","0.0-3.0-0.11","ACJNWSBIVI46H","1641412137071","img/05.png","2","10","59"
"","10357","singlestim-multichoice-slider","15","310775","0.0-3.0-0.12","ACJNWSBIVI46H","1641412137071","img/18.png","1","10","32"
"","8822","singlestim-multichoice-slider","16","319608","0.0-3.0-0.13","ACJNWSBIVI46H","1641412137071","img/16.png","1","10","41"
"","5869","singlestim-multichoice-slider","17","325490","0.0-3.0-0.14","ACJNWSBIVI46H","1641412137071","img/14.png","2","10","51"
"","5974","singlestim-multichoice-slider","18","331478","0.0-3.0-0.15","ACJNWSBIVI46H","1641412137071","img/09.png","3","10","77"
"","6997","singlestim-multichoice-slider","19","338490","0.0-3.0-0.16","ACJNWSBIVI46H","1641412137071","img/01.png","3","10","58"
"","9834","singlestim-multichoice-slider","20","348341","0.0-3.0-0.17","ACJNWSBIVI46H","1641412137071","img/08.png","1","10","71"
"[{""page_index"":0,""viewing_time"":7129}]","7131","instructions","21","355475","0.0-4.0","ACJNWSBIVI46H","1641412137071","","","",""
