"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":11323}]","11324","instructions","0","11327","0.0-0.0","AFZCVCIXY8LIV","1641410818100","","","",""
"[{""page_index"":0,""viewing_time"":5156},{""page_index"":1,""viewing_time"":2928}]","8085","instructions","1","19413","0.0-1.0","AFZCVCIXY8LIV","1641410818100","","","",""
"[{""page_index"":0,""viewing_time"":3150}]","3150","instructions","2","22565","0.0-2.0","AFZCVCIXY8LIV","1641410818100","","","",""
"","22641","singlestim-multichoice-slider","3","45215","0.0-3.0-0.0","AFZCVCIXY8LIV","1641410818100","img/06.png","3","10","32"
"","13137","singlestim-multichoice-slider","4","58358","0.0-3.0-0.1","AFZCVCIXY8LIV","1641410818100","img/11.png","2","10","100"
"","9863","singlestim-multichoice-slider","5","68230","0.0-3.0-0.2","AFZCVCIXY8LIV","1641410818100","img/17.png","2","10","100"
"","6802","singlestim-multichoice-slider","6","75038","0.0-3.0-0.3","AFZCVCIXY8LIV","1641410818100","img/05.png","2","10","100"
"","5057","singlestim-multichoice-slider","7","80101","0.0-3.0-0.4","AFZCVCIXY8LIV","1641410818100","img/12.png","3","10","100"
"","8227","singlestim-multichoice-slider","8","88334","0.0-3.0-0.5","AFZCVCIXY8LIV","1641410818100","img/16.png","1","10","100"
"","7956","singlestim-multichoice-slider","9","96298","0.0-3.0-0.6","AFZCVCIXY8LIV","1641410818100","img/10.png","3","10","100"
"","9011","singlestim-multichoice-slider","10","105329","0.0-3.0-0.7","AFZCVCIXY8LIV","1641410818100","img/03.png","3","10","100"
"","4326","singlestim-multichoice-slider","11","109662","0.0-3.0-0.8","AFZCVCIXY8LIV","1641410818100","img/14.png","2","10","100"
"","4273","singlestim-multichoice-slider","12","113943","0.0-3.0-0.9","AFZCVCIXY8LIV","1641410818100","img/18.png","1","10","100"
"","10138","singlestim-multichoice-slider","13","124087","0.0-3.0-0.10","AFZCVCIXY8LIV","1641410818100","img/08.png","3","10","100"
"","9691","singlestim-multichoice-slider","14","133784","0.0-3.0-0.11","AFZCVCIXY8LIV","1641410818100","img/01.png","3","10","100"
"","29747","singlestim-multichoice-slider","15","163543","0.0-3.0-0.12","AFZCVCIXY8LIV","1641410818100","img/04.png","1","10","100"
"","5950","singlestim-multichoice-slider","16","169503","0.0-3.0-0.13","AFZCVCIXY8LIV","1641410818100","img/02.png","2","10","100"
"","5122","singlestim-multichoice-slider","17","174632","0.0-3.0-0.14","AFZCVCIXY8LIV","1641410818100","img/09.png","2","10","100"
"","5073","singlestim-multichoice-slider","18","179712","0.0-3.0-0.15","AFZCVCIXY8LIV","1641410818100","img/15.png","3","10","100"
"","4556","singlestim-multichoice-slider","19","184279","0.0-3.0-0.16","AFZCVCIXY8LIV","1641410818100","img/13.png","2","10","100"
"","4753","singlestim-multichoice-slider","20","189040","0.0-3.0-0.17","AFZCVCIXY8LIV","1641410818100","img/07.png","3","10","100"
"[{""page_index"":0,""viewing_time"":22615}]","22615","instructions","21","211657","0.0-4.0","AFZCVCIXY8LIV","1641410818100","","","",""
