"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2541}]","2541","instructions","0","2545","0.0-0.0","AL1U6BGXX0WD5","1641412431942","","","",""
"[{""page_index"":0,""viewing_time"":3179},{""page_index"":1,""viewing_time"":1938}]","5117","instructions","1","7664","0.0-1.0","AL1U6BGXX0WD5","1641412431942","","","",""
"[{""page_index"":0,""viewing_time"":1776}]","1776","instructions","2","9441","0.0-2.0","AL1U6BGXX0WD5","1641412431942","","","",""
"","7784","singlestim-multichoice-slider","3","17239","0.0-3.0-0.0","AL1U6BGXX0WD5","1641412431942","img/17.png","3","10","54"
"","4113","singlestim-multichoice-slider","4","21365","0.0-3.0-0.1","AL1U6BGXX0WD5","1641412431942","img/12.png","2","10","46"
"","3627","singlestim-multichoice-slider","5","24997","0.0-3.0-0.2","AL1U6BGXX0WD5","1641412431942","img/16.png","1","10","53"
"","2404","singlestim-multichoice-slider","6","27406","0.0-3.0-0.3","AL1U6BGXX0WD5","1641412431942","img/15.png","2","10","30"
"","6275","singlestim-multichoice-slider","7","33687","0.0-3.0-0.4","AL1U6BGXX0WD5","1641412431942","img/04.png","3","10","52"
"","9574","singlestim-multichoice-slider","8","43267","0.0-3.0-0.5","AL1U6BGXX0WD5","1641412431942","img/06.png","2","10","59"
"","4976","singlestim-multichoice-slider","9","48249","0.0-3.0-0.6","AL1U6BGXX0WD5","1641412431942","img/10.png","2","10","50"
"","6568","singlestim-multichoice-slider","10","54826","0.0-3.0-0.7","AL1U6BGXX0WD5","1641412431942","img/07.png","2","10","49"
"","3580","singlestim-multichoice-slider","11","58412","0.0-3.0-0.8","AL1U6BGXX0WD5","1641412431942","img/03.png","2","10","58"
"","2733","singlestim-multichoice-slider","12","61151","0.0-3.0-0.9","AL1U6BGXX0WD5","1641412431942","img/11.png","3","10","51"
"","3354","singlestim-multichoice-slider","13","64512","0.0-3.0-0.10","AL1U6BGXX0WD5","1641412431942","img/09.png","1","10","56"
"","3624","singlestim-multichoice-slider","14","68141","0.0-3.0-0.11","AL1U6BGXX0WD5","1641412431942","img/18.png","2","10","50"
"","2704","singlestim-multichoice-slider","15","70854","0.0-3.0-0.12","AL1U6BGXX0WD5","1641412431942","img/13.png","3","10","53"
"","2819","singlestim-multichoice-slider","16","73683","0.0-3.0-0.13","AL1U6BGXX0WD5","1641412431942","img/14.png","2","10","55"
"","3178","singlestim-multichoice-slider","17","76868","0.0-3.0-0.14","AL1U6BGXX0WD5","1641412431942","img/02.png","3","10","47"
"","5318","singlestim-multichoice-slider","18","82194","0.0-3.0-0.15","AL1U6BGXX0WD5","1641412431942","img/05.png","2","10","59"
"","4630","singlestim-multichoice-slider","19","87035","0.0-3.0-0.16","AL1U6BGXX0WD5","1641412431942","img/01.png","2","10","52"
"","4585","singlestim-multichoice-slider","20","91626","0.0-3.0-0.17","AL1U6BGXX0WD5","1641412431942","img/08.png","2","10","50"
"[{""page_index"":0,""viewing_time"":2192}]","2193","instructions","21","93820","0.0-4.0","AL1U6BGXX0WD5","1641412431942","","","",""
