"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":29585}]","29586","instructions","0","29590","0.0-0.0","AZ48SUGZL150M","1641410818553","","","",""
"[{""page_index"":0,""viewing_time"":11193},{""page_index"":1,""viewing_time"":1758}]","12951","instructions","1","42542","0.0-1.0","AZ48SUGZL150M","1641410818553","","","",""
"[{""page_index"":0,""viewing_time"":1596}]","1597","instructions","2","44140","0.0-2.0","AZ48SUGZL150M","1641410818553","","","",""
"","5351","singlestim-multichoice-slider","3","49501","0.0-3.0-0.0","AZ48SUGZL150M","1641410818553","img/02.png","2","10","100"
"","3004","singlestim-multichoice-slider","4","52511","0.0-3.0-0.1","AZ48SUGZL150M","1641410818553","img/09.png","1","10","100"
"","3337","singlestim-multichoice-slider","5","55854","0.0-3.0-0.2","AZ48SUGZL150M","1641410818553","img/10.png","2","10","76"
"","3670","singlestim-multichoice-slider","6","59530","0.0-3.0-0.3","AZ48SUGZL150M","1641410818553","img/14.png","3","10","64"
"","5002","singlestim-multichoice-slider","7","64539","0.0-3.0-0.4","AZ48SUGZL150M","1641410818553","img/04.png","1","10","66"
"","3307","singlestim-multichoice-slider","8","67854","0.0-3.0-0.5","AZ48SUGZL150M","1641410818553","img/15.png","2","10","60"
"","104937","singlestim-multichoice-slider","9","172799","0.0-3.0-0.6","AZ48SUGZL150M","1641410818553","img/16.png","2","10","49"
"","2926","singlestim-multichoice-slider","10","175731","0.0-3.0-0.7","AZ48SUGZL150M","1641410818553","img/01.png","3","10","42"
"","2445","singlestim-multichoice-slider","11","178185","0.0-3.0-0.8","AZ48SUGZL150M","1641410818553","img/07.png","1","10","56"
"","2154","singlestim-multichoice-slider","12","180352","0.0-3.0-0.9","AZ48SUGZL150M","1641410818553","img/13.png","3","10","69"
"","2475","singlestim-multichoice-slider","13","182833","0.0-3.0-0.10","AZ48SUGZL150M","1641410818553","img/05.png","3","10","30"
"","2435","singlestim-multichoice-slider","14","185274","0.0-3.0-0.11","AZ48SUGZL150M","1641410818553","img/18.png","2","10","61"
"","2783","singlestim-multichoice-slider","15","188063","0.0-3.0-0.12","AZ48SUGZL150M","1641410818553","img/06.png","1","10","63"
"","2954","singlestim-multichoice-slider","16","191025","0.0-3.0-0.13","AZ48SUGZL150M","1641410818553","img/12.png","2","10","75"
"","2235","singlestim-multichoice-slider","17","193266","0.0-3.0-0.14","AZ48SUGZL150M","1641410818553","img/11.png","2","10","64"
"","2487","singlestim-multichoice-slider","18","195760","0.0-3.0-0.15","AZ48SUGZL150M","1641410818553","img/08.png","3","10","64"
"","2776","singlestim-multichoice-slider","19","198543","0.0-3.0-0.16","AZ48SUGZL150M","1641410818553","img/17.png","1","10","70"
"","3536","singlestim-multichoice-slider","20","202085","0.0-3.0-0.17","AZ48SUGZL150M","1641410818553","img/03.png","2","10","73"
"[{""page_index"":0,""viewing_time"":1947}]","1948","instructions","21","204034","0.0-4.0","AZ48SUGZL150M","1641410818553","","","",""
