"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2417}]","2418","instructions","0","2419","0.0-0.0","A1JWFOVVJHWSIH","1641412140639","","","",""
"[{""page_index"":0,""viewing_time"":3646},{""page_index"":1,""viewing_time"":1915}]","5561","instructions","1","7980","0.0-1.0","A1JWFOVVJHWSIH","1641412140639","","","",""
"[{""page_index"":0,""viewing_time"":1600}]","1600","instructions","2","9581","0.0-2.0","A1JWFOVVJHWSIH","1641412140639","","","",""
"","6060","singlestim-multichoice-slider","3","15648","0.0-3.0-0.0","A1JWFOVVJHWSIH","1641412140639","img/04.png","1","10","50"
"","13674","singlestim-multichoice-slider","4","29325","0.0-3.0-0.1","A1JWFOVVJHWSIH","1641412140639","img/12.png","1","10","82"
"","3716","singlestim-multichoice-slider","5","33048","0.0-3.0-0.2","A1JWFOVVJHWSIH","1641412140639","img/16.png","2","10","66"
"","28221","singlestim-multichoice-slider","6","61275","0.0-3.0-0.3","A1JWFOVVJHWSIH","1641412140639","img/03.png","3","10","66"
"","6090","singlestim-multichoice-slider","7","67372","0.0-3.0-0.4","A1JWFOVVJHWSIH","1641412140639","img/06.png","2","10","55"
"","5269","singlestim-multichoice-slider","8","72645","0.0-3.0-0.5","A1JWFOVVJHWSIH","1641412140639","img/18.png","1","10","49"
"","4280","singlestim-multichoice-slider","9","76932","0.0-3.0-0.6","A1JWFOVVJHWSIH","1641412140639","img/11.png","1","10","53"
"","3829","singlestim-multichoice-slider","10","80766","0.0-3.0-0.7","A1JWFOVVJHWSIH","1641412140639","img/14.png","1","10","69"
"","33375","singlestim-multichoice-slider","11","114146","0.0-3.0-0.8","A1JWFOVVJHWSIH","1641412140639","img/01.png","2","10","84"
"","12996","singlestim-multichoice-slider","12","127146","0.0-3.0-0.9","A1JWFOVVJHWSIH","1641412140639","img/08.png","1","10","75"
"","17683","singlestim-multichoice-slider","13","144834","0.0-3.0-0.10","A1JWFOVVJHWSIH","1641412140639","img/10.png","1","10","52"
"","14619","singlestim-multichoice-slider","14","159462","0.0-3.0-0.11","A1JWFOVVJHWSIH","1641412140639","img/09.png","2","10","88"
"","5291","singlestim-multichoice-slider","15","164757","0.0-3.0-0.12","A1JWFOVVJHWSIH","1641412140639","img/05.png","1","10","65"
"","11626","singlestim-multichoice-slider","16","176387","0.0-3.0-0.13","A1JWFOVVJHWSIH","1641412140639","img/07.png","1","10","73"
"","3134","singlestim-multichoice-slider","17","179528","0.0-3.0-0.14","A1JWFOVVJHWSIH","1641412140639","img/17.png","3","10","62"
"","5547","singlestim-multichoice-slider","18","185084","0.0-3.0-0.15","A1JWFOVVJHWSIH","1641412140639","img/02.png","2","10","70"
"","3523","singlestim-multichoice-slider","19","188615","0.0-3.0-0.16","A1JWFOVVJHWSIH","1641412140639","img/15.png","1","10","70"
"","4077","singlestim-multichoice-slider","20","192695","0.0-3.0-0.17","A1JWFOVVJHWSIH","1641412140639","img/13.png","3","10","69"
"[{""page_index"":0,""viewing_time"":3692}]","3693","instructions","21","196388","0.0-4.0","A1JWFOVVJHWSIH","1641412140639","","","",""
