"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":30865}]","30865","instructions","0","30870","0.0-0.0","A1S9I3WF8GG4RG","1641411087734","","","",""
"[{""page_index"":0,""viewing_time"":13926},{""page_index"":1,""viewing_time"":36734}]","50660","instructions","1","81533","0.0-1.0","A1S9I3WF8GG4RG","1641411087734","","","",""
"[{""page_index"":0,""viewing_time"":10343}]","10343","instructions","2","91880","0.0-2.0","A1S9I3WF8GG4RG","1641411087734","","","",""
"","19541","singlestim-multichoice-slider","3","111438","0.0-3.0-0.0","A1S9I3WF8GG4RG","1641411087734","img/18.png","1","10","99"
"","13332","singlestim-multichoice-slider","4","124781","0.0-3.0-0.1","A1S9I3WF8GG4RG","1641411087734","img/03.png","1","10","78"
"","13399","singlestim-multichoice-slider","5","138192","0.0-3.0-0.2","A1S9I3WF8GG4RG","1641411087734","img/16.png","2","10","73"
"","10402","singlestim-multichoice-slider","6","148603","0.0-3.0-0.3","A1S9I3WF8GG4RG","1641411087734","img/15.png","1","10","100"
"","9353","singlestim-multichoice-slider","7","157966","0.0-3.0-0.4","A1S9I3WF8GG4RG","1641411087734","img/04.png","2","10","93"
"","8652","singlestim-multichoice-slider","8","166633","0.0-3.0-0.5","A1S9I3WF8GG4RG","1641411087734","img/17.png","2","10","100"
"","6641","singlestim-multichoice-slider","9","173288","0.0-3.0-0.6","A1S9I3WF8GG4RG","1641411087734","img/06.png","3","10","78"
"","5836","singlestim-multichoice-slider","10","179135","0.0-3.0-0.7","A1S9I3WF8GG4RG","1641411087734","img/14.png","2","10","85"
"","5316","singlestim-multichoice-slider","11","184463","0.0-3.0-0.8","A1S9I3WF8GG4RG","1641411087734","img/13.png","2","10","91"
"","5565","singlestim-multichoice-slider","12","190036","0.0-3.0-0.9","A1S9I3WF8GG4RG","1641411087734","img/08.png","3","10","83"
"","7583","singlestim-multichoice-slider","13","197626","0.0-3.0-0.10","A1S9I3WF8GG4RG","1641411087734","img/01.png","3","10","85"
"","5180","singlestim-multichoice-slider","14","202816","0.0-3.0-0.11","A1S9I3WF8GG4RG","1641411087734","img/05.png","2","10","89"
"","5380","singlestim-multichoice-slider","15","208208","0.0-3.0-0.12","A1S9I3WF8GG4RG","1641411087734","img/09.png","2","10","96"
"","5003","singlestim-multichoice-slider","16","213220","0.0-3.0-0.13","A1S9I3WF8GG4RG","1641411087734","img/07.png","1","10","73"
"","27015","singlestim-multichoice-slider","17","240253","0.0-3.0-0.14","A1S9I3WF8GG4RG","1641411087734","img/12.png","1","10","100"
"","12706","singlestim-multichoice-slider","18","252974","0.0-3.0-0.15","A1S9I3WF8GG4RG","1641411087734","img/02.png","1","10","100"
"","12491","singlestim-multichoice-slider","19","265481","0.0-3.0-0.16","A1S9I3WF8GG4RG","1641411087734","img/11.png","2","10","100"
"","11484","singlestim-multichoice-slider","20","276977","0.0-3.0-0.17","A1S9I3WF8GG4RG","1641411087734","img/10.png","3","10","92"
"[{""page_index"":0,""viewing_time"":9559}]","9560","instructions","21","286537","0.0-4.0","A1S9I3WF8GG4RG","1641411087734","","","",""
