"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2185}]","2186","instructions","0","2190","0.0-0.0","A20LKUNLGTTANZ","1641411505394","","","",""
"[{""page_index"":0,""viewing_time"":2261},{""page_index"":1,""viewing_time"":1584}]","3845","instructions","1","6036","0.0-1.0","A20LKUNLGTTANZ","1641411505394","","","",""
"[{""page_index"":0,""viewing_time"":943}]","943","instructions","2","6981","0.0-2.0","A20LKUNLGTTANZ","1641411505394","","","",""
"","3193","singlestim-multichoice-slider","3","10181","0.0-3.0-0.0","A20LKUNLGTTANZ","1641411505394","img/14.png","2","10","49"
"","3070","singlestim-multichoice-slider","4","13257","0.0-3.0-0.1","A20LKUNLGTTANZ","1641411505394","img/10.png","1","10","36"
"","2565","singlestim-multichoice-slider","5","15829","0.0-3.0-0.2","A20LKUNLGTTANZ","1641411505394","img/08.png","2","10","56"
"","2311","singlestim-multichoice-slider","6","18146","0.0-3.0-0.3","A20LKUNLGTTANZ","1641411505394","img/09.png","3","10","70"
"","2094","singlestim-multichoice-slider","7","20245","0.0-3.0-0.4","A20LKUNLGTTANZ","1641411505394","img/04.png","2","10","35"
"","2959","singlestim-multichoice-slider","8","23208","0.0-3.0-0.5","A20LKUNLGTTANZ","1641411505394","img/01.png","3","10","74"
"","3312","singlestim-multichoice-slider","9","26524","0.0-3.0-0.6","A20LKUNLGTTANZ","1641411505394","img/03.png","1","10","41"
"","2778","singlestim-multichoice-slider","10","29308","0.0-3.0-0.7","A20LKUNLGTTANZ","1641411505394","img/12.png","2","10","40"
"","3250","singlestim-multichoice-slider","11","32565","0.0-3.0-0.8","A20LKUNLGTTANZ","1641411505394","img/13.png","3","10","35"
"","3385","singlestim-multichoice-slider","12","35955","0.0-3.0-0.9","A20LKUNLGTTANZ","1641411505394","img/11.png","2","10","58"
"","4418","singlestim-multichoice-slider","13","40378","0.0-3.0-0.10","A20LKUNLGTTANZ","1641411505394","img/18.png","1","10","35"
"","3319","singlestim-multichoice-slider","14","43702","0.0-3.0-0.11","A20LKUNLGTTANZ","1641411505394","img/16.png","3","10","37"
"","2350","singlestim-multichoice-slider","15","46061","0.0-3.0-0.12","A20LKUNLGTTANZ","1641411505394","img/06.png","2","10","65"
"","4809","singlestim-multichoice-slider","16","50876","0.0-3.0-0.13","A20LKUNLGTTANZ","1641411505394","img/05.png","1","10","73"
"","5362","singlestim-multichoice-slider","17","56245","0.0-3.0-0.14","A20LKUNLGTTANZ","1641411505394","img/02.png","2","10","62"
"","2928","singlestim-multichoice-slider","18","59180","0.0-3.0-0.15","A20LKUNLGTTANZ","1641411505394","img/15.png","3","10","43"
"","2828","singlestim-multichoice-slider","19","62014","0.0-3.0-0.16","A20LKUNLGTTANZ","1641411505394","img/07.png","2","10","92"
"","4071","singlestim-multichoice-slider","20","66092","0.0-3.0-0.17","A20LKUNLGTTANZ","1641411505394","img/17.png","1","10","51"
"[{""page_index"":0,""viewing_time"":1401}]","1401","instructions","21","67493","0.0-4.0","A20LKUNLGTTANZ","1641411505394","","","",""
