"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":35893}]","35895","instructions","0","35899","0.0-0.0","A20N1NK5X5S88F","1641411381291","","","",""
"[{""page_index"":0,""viewing_time"":3348},{""page_index"":1,""viewing_time"":5194}]","8544","instructions","1","44444","0.0-1.0","A20N1NK5X5S88F","1641411381291","","","",""
"[{""page_index"":0,""viewing_time"":31343}]","31344","instructions","2","75789","0.0-2.0","A20N1NK5X5S88F","1641411381291","","","",""
"","107955","singlestim-multichoice-slider","3","183756","0.0-3.0-0.0","A20N1NK5X5S88F","1641411381291","img/12.png","3","10","85"
"","40760","singlestim-multichoice-slider","4","224537","0.0-3.0-0.1","A20N1NK5X5S88F","1641411381291","img/07.png","3","10","99"
"","6029","singlestim-multichoice-slider","5","230587","0.0-3.0-0.2","A20N1NK5X5S88F","1641411381291","img/01.png","3","10","87"
"","5508","singlestim-multichoice-slider","6","236112","0.0-3.0-0.3","A20N1NK5X5S88F","1641411381291","img/06.png","3","10","98"
"","7327","singlestim-multichoice-slider","7","243455","0.0-3.0-0.4","A20N1NK5X5S88F","1641411381291","img/08.png","1","10","98"
"","4766","singlestim-multichoice-slider","8","248237","0.0-3.0-0.5","A20N1NK5X5S88F","1641411381291","img/10.png","3","10","90"
"","105332","singlestim-multichoice-slider","9","353586","0.0-3.0-0.6","A20N1NK5X5S88F","1641411381291","img/02.png","3","10","85"
"","4641","singlestim-multichoice-slider","10","358248","0.0-3.0-0.7","A20N1NK5X5S88F","1641411381291","img/16.png","3","10","93"
"","4147","singlestim-multichoice-slider","11","362417","0.0-3.0-0.8","A20N1NK5X5S88F","1641411381291","img/17.png","2","10","88"
"","3764","singlestim-multichoice-slider","12","366202","0.0-3.0-0.9","A20N1NK5X5S88F","1641411381291","img/14.png","3","10","94"
"","6707","singlestim-multichoice-slider","13","372922","0.0-3.0-0.10","A20N1NK5X5S88F","1641411381291","img/04.png","3","10","88"
"","5037","singlestim-multichoice-slider","14","377974","0.0-3.0-0.11","A20N1NK5X5S88F","1641411381291","img/18.png","3","10","95"
"","6666","singlestim-multichoice-slider","15","384654","0.0-3.0-0.12","A20N1NK5X5S88F","1641411381291","img/03.png","3","10","100"
"","8391","singlestim-multichoice-slider","16","393064","0.0-3.0-0.13","A20N1NK5X5S88F","1641411381291","img/13.png","3","10","100"
"","3745","singlestim-multichoice-slider","17","396831","0.0-3.0-0.14","A20N1NK5X5S88F","1641411381291","img/05.png","3","10","92"
"","5859","singlestim-multichoice-slider","18","402708","0.0-3.0-0.15","A20N1NK5X5S88F","1641411381291","img/15.png","3","10","100"
"","46835","singlestim-multichoice-slider","19","449563","0.0-3.0-0.16","A20N1NK5X5S88F","1641411381291","img/11.png","2","10","92"
"","4308","singlestim-multichoice-slider","20","453883","0.0-3.0-0.17","A20N1NK5X5S88F","1641411381291","img/09.png","3","10","94"
"[{""page_index"":0,""viewing_time"":2218}]","2220","instructions","21","456103","0.0-4.0","A20N1NK5X5S88F","1641411381291","","","",""
