"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2909}]","2909","instructions","0","2910","0.0-0.0","A2PSR3CMNR1R9X","1641416799888","","","",""
"[{""page_index"":0,""viewing_time"":2519},{""page_index"":1,""viewing_time"":3110}]","5629","instructions","1","8540","0.0-1.0","A2PSR3CMNR1R9X","1641416799888","","","",""
"[{""page_index"":0,""viewing_time"":3713}]","3714","instructions","2","12254","0.0-2.0","A2PSR3CMNR1R9X","1641416799888","","","",""
"","5483","singlestim-multichoice-slider","3","17740","0.0-3.0-0.0","A2PSR3CMNR1R9X","1641416799888","img/09.png","2","10","38"
"","6343","singlestim-multichoice-slider","4","24086","0.0-3.0-0.1","A2PSR3CMNR1R9X","1641416799888","img/03.png","1","10","19"
"","6734","singlestim-multichoice-slider","5","30822","0.0-3.0-0.2","A2PSR3CMNR1R9X","1641416799888","img/18.png","3","10","22"
"","6812","singlestim-multichoice-slider","6","37636","0.0-3.0-0.3","A2PSR3CMNR1R9X","1641416799888","img/13.png","2","10","26"
"","4769","singlestim-multichoice-slider","7","42408","0.0-3.0-0.4","A2PSR3CMNR1R9X","1641416799888","img/04.png","1","10","31"
"","10975","singlestim-multichoice-slider","8","53386","0.0-3.0-0.5","A2PSR3CMNR1R9X","1641416799888","img/12.png","3","10","17"
"","6901","singlestim-multichoice-slider","9","60290","0.0-3.0-0.6","A2PSR3CMNR1R9X","1641416799888","img/01.png","2","10","34"
"","7883","singlestim-multichoice-slider","10","68176","0.0-3.0-0.7","A2PSR3CMNR1R9X","1641416799888","img/06.png","3","10","17"
"","6597","singlestim-multichoice-slider","11","74776","0.0-3.0-0.8","A2PSR3CMNR1R9X","1641416799888","img/08.png","1","10","32"
"","8854","singlestim-multichoice-slider","12","83634","0.0-3.0-0.9","A2PSR3CMNR1R9X","1641416799888","img/16.png","1","10","37"
"","5194","singlestim-multichoice-slider","13","88832","0.0-3.0-0.10","A2PSR3CMNR1R9X","1641416799888","img/14.png","2","10","33"
"","7705","singlestim-multichoice-slider","14","96542","0.0-3.0-0.11","A2PSR3CMNR1R9X","1641416799888","img/10.png","3","10","42"
"","4459","singlestim-multichoice-slider","15","101006","0.0-3.0-0.12","A2PSR3CMNR1R9X","1641416799888","img/05.png","3","10","32"
"","5413","singlestim-multichoice-slider","16","106422","0.0-3.0-0.13","A2PSR3CMNR1R9X","1641416799888","img/11.png","3","10","33"
"","4519","singlestim-multichoice-slider","17","110944","0.0-3.0-0.14","A2PSR3CMNR1R9X","1641416799888","img/07.png","1","10","33"
"","5819","singlestim-multichoice-slider","18","116766","0.0-3.0-0.15","A2PSR3CMNR1R9X","1641416799888","img/15.png","1","10","35"
"","6160","singlestim-multichoice-slider","19","122930","0.0-3.0-0.16","A2PSR3CMNR1R9X","1641416799888","img/02.png","3","10","42"
"","5236","singlestim-multichoice-slider","20","128170","0.0-3.0-0.17","A2PSR3CMNR1R9X","1641416799888","img/17.png","2","10","33"
"[{""page_index"":0,""viewing_time"":3303}]","3304","instructions","21","131474","0.0-4.0","A2PSR3CMNR1R9X","1641416799888","","","",""
