"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":19129}]","19130","instructions","0","19132","0.0-0.0","A2R7PDGVB16KGY","1641411679769","","","",""
"[{""page_index"":0,""viewing_time"":1446},{""page_index"":1,""viewing_time"":1302}]","2749","instructions","1","21882","0.0-1.0","A2R7PDGVB16KGY","1641411679769","","","",""
"[{""page_index"":0,""viewing_time"":1113}]","1113","instructions","2","22996","0.0-2.0","A2R7PDGVB16KGY","1641411679769","","","",""
"","2882","singlestim-multichoice-slider","3","25931","0.0-3.0-0.0","A2R7PDGVB16KGY","1641411679769","img/07.png","2","10","37"
"","2488","singlestim-multichoice-slider","4","28425","0.0-3.0-0.1","A2R7PDGVB16KGY","1641411679769","img/16.png","3","10","83"
"","2648","singlestim-multichoice-slider","5","31083","0.0-3.0-0.2","A2R7PDGVB16KGY","1641411679769","img/13.png","2","10","31"
"","2432","singlestim-multichoice-slider","6","33523","0.0-3.0-0.3","A2R7PDGVB16KGY","1641411679769","img/12.png","1","10","67"
"","2310","singlestim-multichoice-slider","7","35838","0.0-3.0-0.4","A2R7PDGVB16KGY","1641411679769","img/01.png","3","10","35"
"","2459","singlestim-multichoice-slider","8","38307","0.0-3.0-0.5","A2R7PDGVB16KGY","1641411679769","img/08.png","2","10","63"
"","2975","singlestim-multichoice-slider","9","41293","0.0-3.0-0.6","A2R7PDGVB16KGY","1641411679769","img/03.png","3","10","36"
"","2902","singlestim-multichoice-slider","10","44203","0.0-3.0-0.7","A2R7PDGVB16KGY","1641411679769","img/18.png","2","10","63"
"","3464","singlestim-multichoice-slider","11","47675","0.0-3.0-0.8","A2R7PDGVB16KGY","1641411679769","img/05.png","1","10","31"
"","2521","singlestim-multichoice-slider","12","50201","0.0-3.0-0.9","A2R7PDGVB16KGY","1641411679769","img/09.png","3","10","31"
"","2575","singlestim-multichoice-slider","13","52784","0.0-3.0-0.10","A2R7PDGVB16KGY","1641411679769","img/02.png","2","10","73"
"","3229","singlestim-multichoice-slider","14","56025","0.0-3.0-0.11","A2R7PDGVB16KGY","1641411679769","img/11.png","1","10","31"
"","4593","singlestim-multichoice-slider","15","60628","0.0-3.0-0.12","A2R7PDGVB16KGY","1641411679769","img/17.png","2","10","60"
"","5452","singlestim-multichoice-slider","16","66091","0.0-3.0-0.13","A2R7PDGVB16KGY","1641411679769","img/15.png","2","10","80"
"","3216","singlestim-multichoice-slider","17","69316","0.0-3.0-0.14","A2R7PDGVB16KGY","1641411679769","img/14.png","1","10","39"
"","2589","singlestim-multichoice-slider","18","71916","0.0-3.0-0.15","A2R7PDGVB16KGY","1641411679769","img/04.png","2","10","55"
"","4166","singlestim-multichoice-slider","19","76091","0.0-3.0-0.16","A2R7PDGVB16KGY","1641411679769","img/06.png","2","10","62"
"","2160","singlestim-multichoice-slider","20","78259","0.0-3.0-0.17","A2R7PDGVB16KGY","1641411679769","img/10.png","3","10","57"
"[{""page_index"":0,""viewing_time"":1349}]","1350","instructions","21","79610","0.0-4.0","A2R7PDGVB16KGY","1641411679769","","","",""
