"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":8319}]","8321","instructions","0","8323","0.0-0.0","AC5G82UYGO4SY","1641414498715","","","",""
"[{""page_index"":0,""viewing_time"":7963},{""page_index"":1,""viewing_time"":1897}]","9860","instructions","1","18185","0.0-1.0","AC5G82UYGO4SY","1641414498715","","","",""
"[{""page_index"":0,""viewing_time"":4008}]","4008","instructions","2","22194","0.0-2.0","AC5G82UYGO4SY","1641414498715","","","",""
"","14587","singlestim-multichoice-slider","3","36798","0.0-3.0-0.0","AC5G82UYGO4SY","1641414498715","img/14.png","1","10","59"
"","3968","singlestim-multichoice-slider","4","40772","0.0-3.0-0.1","AC5G82UYGO4SY","1641414498715","img/18.png","2","10","67"
"","5308","singlestim-multichoice-slider","5","46086","0.0-3.0-0.2","AC5G82UYGO4SY","1641414498715","img/08.png","1","10","56"
"","12086","singlestim-multichoice-slider","6","58180","0.0-3.0-0.3","AC5G82UYGO4SY","1641414498715","img/12.png","2","10","67"
"","9420","singlestim-multichoice-slider","7","67605","0.0-3.0-0.4","AC5G82UYGO4SY","1641414498715","img/05.png","1","10","64"
"","6817","singlestim-multichoice-slider","8","74436","0.0-3.0-0.5","AC5G82UYGO4SY","1641414498715","img/16.png","1","10","82"
"","7951","singlestim-multichoice-slider","9","82412","0.0-3.0-0.6","AC5G82UYGO4SY","1641414498715","img/07.png","2","10","85"
"","7640","singlestim-multichoice-slider","10","90056","0.0-3.0-0.7","AC5G82UYGO4SY","1641414498715","img/15.png","1","10","82"
"","5113","singlestim-multichoice-slider","11","95177","0.0-3.0-0.8","AC5G82UYGO4SY","1641414498715","img/02.png","1","10","75"
"","4686","singlestim-multichoice-slider","12","99874","0.0-3.0-0.9","AC5G82UYGO4SY","1641414498715","img/04.png","1","10","52"
"","4885","singlestim-multichoice-slider","13","104762","0.0-3.0-0.10","AC5G82UYGO4SY","1641414498715","img/01.png","1","10","79"
"","6050","singlestim-multichoice-slider","14","110816","0.0-3.0-0.11","AC5G82UYGO4SY","1641414498715","img/10.png","2","10","78"
"","18026","singlestim-multichoice-slider","15","128849","0.0-3.0-0.12","AC5G82UYGO4SY","1641414498715","img/03.png","1","10","80"
"","4667","singlestim-multichoice-slider","16","133521","0.0-3.0-0.13","AC5G82UYGO4SY","1641414498715","img/09.png","2","10","76"
"","4980","singlestim-multichoice-slider","17","138509","0.0-3.0-0.14","AC5G82UYGO4SY","1641414498715","img/13.png","1","10","71"
"","3957","singlestim-multichoice-slider","18","142471","0.0-3.0-0.15","AC5G82UYGO4SY","1641414498715","img/11.png","2","10","68"
"","6815","singlestim-multichoice-slider","19","149292","0.0-3.0-0.16","AC5G82UYGO4SY","1641414498715","img/06.png","1","10","42"
"","13313","singlestim-multichoice-slider","20","162623","0.0-3.0-0.17","AC5G82UYGO4SY","1641414498715","img/17.png","1","10","58"
"[{""page_index"":0,""viewing_time"":5961}]","5962","instructions","21","168586","0.0-4.0","AC5G82UYGO4SY","1641414498715","","","",""
