"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3978}]","3978","instructions","0","3981","0.0-0.0","ACKG8OU1KHKO2","1641417217015","","","",""
"[{""page_index"":0,""viewing_time"":2421},{""page_index"":1,""viewing_time"":61876}]","64297","instructions","1","68275","0.0-1.0","ACKG8OU1KHKO2","1641417217015","","","",""
"[{""page_index"":0,""viewing_time"":61865}]","61865","instructions","2","130138","0.0-2.0","ACKG8OU1KHKO2","1641417217015","","","",""
"","14352","singlestim-multichoice-slider","3","144492","0.0-3.0-0.0","ACKG8OU1KHKO2","1641417217015","img/03.png","1","10","53"
"","8229","singlestim-multichoice-slider","4","152724","0.0-3.0-0.1","ACKG8OU1KHKO2","1641417217015","img/13.png","2","10","49"
"","11365","singlestim-multichoice-slider","5","164092","0.0-3.0-0.2","ACKG8OU1KHKO2","1641417217015","img/02.png","2","10","39"
"","10013","singlestim-multichoice-slider","6","174108","0.0-3.0-0.3","ACKG8OU1KHKO2","1641417217015","img/06.png","2","10","47"
"","4155","singlestim-multichoice-slider","7","178266","0.0-3.0-0.4","ACKG8OU1KHKO2","1641417217015","img/07.png","1","10","48"
"","3400","singlestim-multichoice-slider","8","181669","0.0-3.0-0.5","ACKG8OU1KHKO2","1641417217015","img/18.png","2","10","55"
"","5406","singlestim-multichoice-slider","9","187078","0.0-3.0-0.6","ACKG8OU1KHKO2","1641417217015","img/11.png","2","10","46"
"","3570","singlestim-multichoice-slider","10","190650","0.0-3.0-0.7","ACKG8OU1KHKO2","1641417217015","img/12.png","1","10","53"
"","6494","singlestim-multichoice-slider","11","197147","0.0-3.0-0.8","ACKG8OU1KHKO2","1641417217015","img/09.png","2","10","54"
"","21638","singlestim-multichoice-slider","12","218787","0.0-3.0-0.9","ACKG8OU1KHKO2","1641417217015","img/08.png","1","10","38"
"","4592","singlestim-multichoice-slider","13","223382","0.0-3.0-0.10","ACKG8OU1KHKO2","1641417217015","img/16.png","1","10","38"
"","3893","singlestim-multichoice-slider","14","227277","0.0-3.0-0.11","ACKG8OU1KHKO2","1641417217015","img/01.png","3","10","47"
"","3864","singlestim-multichoice-slider","15","231143","0.0-3.0-0.12","ACKG8OU1KHKO2","1641417217015","img/05.png","1","10","46"
"","3763","singlestim-multichoice-slider","16","234909","0.0-3.0-0.13","ACKG8OU1KHKO2","1641417217015","img/15.png","1","10","53"
"","3906","singlestim-multichoice-slider","17","238818","0.0-3.0-0.14","ACKG8OU1KHKO2","1641417217015","img/04.png","1","10","41"
"","13419","singlestim-multichoice-slider","18","252240","0.0-3.0-0.15","ACKG8OU1KHKO2","1641417217015","img/14.png","2","10","44"
"","4080","singlestim-multichoice-slider","19","256323","0.0-3.0-0.16","ACKG8OU1KHKO2","1641417217015","img/10.png","2","10","47"
"","14029","singlestim-multichoice-slider","20","270355","0.0-3.0-0.17","ACKG8OU1KHKO2","1641417217015","img/17.png","2","10","46"
"[{""page_index"":0,""viewing_time"":11793}]","11793","instructions","21","282148","0.0-4.0","ACKG8OU1KHKO2","1641417217015","","","",""
