"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":36292}]","36293","instructions","0","36293","0.0-0.0","ACM3TPZKLE7WC","1641413403004","","","",""
"[{""page_index"":0,""viewing_time"":1571},{""page_index"":1,""viewing_time"":21437}]","23008","instructions","1","59297","0.0-1.0","ACM3TPZKLE7WC","1641413403004","","","",""
"[{""page_index"":0,""viewing_time"":11586}]","11587","instructions","2","70884","0.0-2.0","ACM3TPZKLE7WC","1641413403004","","","",""
"","28599","singlestim-multichoice-slider","3","99486","0.0-3.0-0.0","ACM3TPZKLE7WC","1641413403004","img/01.png","2","10","30"
"","31013","singlestim-multichoice-slider","4","130498","0.0-3.0-0.1","ACM3TPZKLE7WC","1641413403004","img/12.png","3","10","57"
"","10778","singlestim-multichoice-slider","5","141278","0.0-3.0-0.2","ACM3TPZKLE7WC","1641413403004","img/13.png","2","10","81"
"","6082","singlestim-multichoice-slider","6","147362","0.0-3.0-0.3","ACM3TPZKLE7WC","1641413403004","img/17.png","2","10","63"
"","11976","singlestim-multichoice-slider","7","159340","0.0-3.0-0.4","ACM3TPZKLE7WC","1641413403004","img/18.png","1","10","100"
"","6199","singlestim-multichoice-slider","8","165541","0.0-3.0-0.5","ACM3TPZKLE7WC","1641413403004","img/10.png","2","10","40"
"","5259","singlestim-multichoice-slider","9","170802","0.0-3.0-0.6","ACM3TPZKLE7WC","1641413403004","img/04.png","1","10","38"
"","15166","singlestim-multichoice-slider","10","185965","0.0-3.0-0.7","ACM3TPZKLE7WC","1641413403004","img/05.png","3","10","27"
"","6623","singlestim-multichoice-slider","11","192590","0.0-3.0-0.8","ACM3TPZKLE7WC","1641413403004","img/07.png","1","10","79"
"","9758","singlestim-multichoice-slider","12","202350","0.0-3.0-0.9","ACM3TPZKLE7WC","1641413403004","img/14.png","2","10","62"
"","21318","singlestim-multichoice-slider","13","223672","0.0-3.0-0.10","ACM3TPZKLE7WC","1641413403004","img/09.png","3","10","58"
"","4608","singlestim-multichoice-slider","14","228282","0.0-3.0-0.11","ACM3TPZKLE7WC","1641413403004","img/02.png","3","10","35"
"","17602","singlestim-multichoice-slider","15","245882","0.0-3.0-0.12","ACM3TPZKLE7WC","1641413403004","img/06.png","2","10","0"
"","5880","singlestim-multichoice-slider","16","251764","0.0-3.0-0.13","ACM3TPZKLE7WC","1641413403004","img/08.png","1","10","100"
"","5294","singlestim-multichoice-slider","17","257059","0.0-3.0-0.14","ACM3TPZKLE7WC","1641413403004","img/15.png","3","10","0"
"","7745","singlestim-multichoice-slider","18","264807","0.0-3.0-0.15","ACM3TPZKLE7WC","1641413403004","img/03.png","3","10","0"
"","8830","singlestim-multichoice-slider","19","273639","0.0-3.0-0.16","ACM3TPZKLE7WC","1641413403004","img/11.png","3","10","0"
"","6410","singlestim-multichoice-slider","20","280050","0.0-3.0-0.17","ACM3TPZKLE7WC","1641413403004","img/16.png","3","10","5"
"[{""page_index"":0,""viewing_time"":5020}]","5020","instructions","21","285071","0.0-4.0","ACM3TPZKLE7WC","1641413403004","","","",""
