"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2048}]","2049","instructions","0","2050","0.0-0.0","AJGSPCI3LVFM1","1641411101522","","","",""
"[{""page_index"":0,""viewing_time"":7221},{""page_index"":1,""viewing_time"":1823}]","9045","instructions","1","11096","0.0-1.0","AJGSPCI3LVFM1","1641411101522","","","",""
"[{""page_index"":0,""viewing_time"":1407}]","1408","instructions","2","12504","0.0-2.0","AJGSPCI3LVFM1","1641411101522","","","",""
"","7615","singlestim-multichoice-slider","3","20128","0.0-3.0-0.0","AJGSPCI3LVFM1","1641411101522","img/03.png","1","10","91"
"","56500","singlestim-multichoice-slider","4","76633","0.0-3.0-0.1","AJGSPCI3LVFM1","1641411101522","img/06.png","3","10","99"
"","5401","singlestim-multichoice-slider","5","82039","0.0-3.0-0.2","AJGSPCI3LVFM1","1641411101522","img/01.png","2","10","92"
"","5896","singlestim-multichoice-slider","6","87943","0.0-3.0-0.3","AJGSPCI3LVFM1","1641411101522","img/07.png","1","10","92"
"","6907","singlestim-multichoice-slider","7","94855","0.0-3.0-0.4","AJGSPCI3LVFM1","1641411101522","img/02.png","2","10","85"
"","7659","singlestim-multichoice-slider","8","102519","0.0-3.0-0.5","AJGSPCI3LVFM1","1641411101522","img/15.png","1","10","90"
"","84786","singlestim-multichoice-slider","9","187311","0.0-3.0-0.6","AJGSPCI3LVFM1","1641411101522","img/09.png","2","10","94"
"","11613","singlestim-multichoice-slider","10","198929","0.0-3.0-0.7","AJGSPCI3LVFM1","1641411101522","img/14.png","2","10","90"
"","5263","singlestim-multichoice-slider","11","204198","0.0-3.0-0.8","AJGSPCI3LVFM1","1641411101522","img/10.png","2","10","89"
"","8202","singlestim-multichoice-slider","12","212405","0.0-3.0-0.9","AJGSPCI3LVFM1","1641411101522","img/16.png","3","10","85"
"","8602","singlestim-multichoice-slider","13","221012","0.0-3.0-0.10","AJGSPCI3LVFM1","1641411101522","img/04.png","3","10","84"
"","8712","singlestim-multichoice-slider","14","229730","0.0-3.0-0.11","AJGSPCI3LVFM1","1641411101522","img/13.png","1","10","92"
"","13400","singlestim-multichoice-slider","15","243134","0.0-3.0-0.12","AJGSPCI3LVFM1","1641411101522","img/18.png","2","10","95"
"","9898","singlestim-multichoice-slider","16","253037","0.0-3.0-0.13","AJGSPCI3LVFM1","1641411101522","img/05.png","2","10","88"
"","6180","singlestim-multichoice-slider","17","259228","0.0-3.0-0.14","AJGSPCI3LVFM1","1641411101522","img/17.png","1","10","91"
"","5191","singlestim-multichoice-slider","18","264424","0.0-3.0-0.15","AJGSPCI3LVFM1","1641411101522","img/11.png","2","10","95"
"","7422","singlestim-multichoice-slider","19","271852","0.0-3.0-0.16","AJGSPCI3LVFM1","1641411101522","img/12.png","3","10","87"
"","70132","singlestim-multichoice-slider","20","341989","0.0-3.0-0.17","AJGSPCI3LVFM1","1641411101522","img/08.png","1","10","92"
"[{""page_index"":0,""viewing_time"":1942}]","1943","instructions","21","343933","0.0-4.0","AJGSPCI3LVFM1","1641411101522","","","",""
