"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":5214}]","5215","instructions","0","5216","0.0-0.0","A1CMWA0L8FTSXA","1641416058752","","","",""
"[{""page_index"":0,""viewing_time"":2318},{""page_index"":1,""viewing_time"":11746}]","14063","instructions","1","19280","0.0-1.0","A1CMWA0L8FTSXA","1641416058752","","","",""
"[{""page_index"":0,""viewing_time"":25906}]","25906","instructions","2","45187","0.0-2.0","A1CMWA0L8FTSXA","1641416058752","","","",""
"","28953","singlestim-multichoice-slider","3","74142","0.0-3.0-0.0","A1CMWA0L8FTSXA","1641416058752","img/17.png","1","10","67"
"","14775","singlestim-multichoice-slider","4","88919","0.0-3.0-0.1","A1CMWA0L8FTSXA","1641416058752","img/06.png","3","10","70"
"","9199","singlestim-multichoice-slider","5","98120","0.0-3.0-0.2","A1CMWA0L8FTSXA","1641416058752","img/14.png","2","10","66"
"","19601","singlestim-multichoice-slider","6","117723","0.0-3.0-0.3","A1CMWA0L8FTSXA","1641416058752","img/13.png","2","10","33"
"","8558","singlestim-multichoice-slider","7","126284","0.0-3.0-0.4","A1CMWA0L8FTSXA","1641416058752","img/02.png","3","10","55"
"","9302","singlestim-multichoice-slider","8","135589","0.0-3.0-0.5","A1CMWA0L8FTSXA","1641416058752","img/01.png","2","10","58"
"","12205","singlestim-multichoice-slider","9","147798","0.0-3.0-0.6","A1CMWA0L8FTSXA","1641416058752","img/12.png","2","10","28"
"","14277","singlestim-multichoice-slider","10","162079","0.0-3.0-0.7","A1CMWA0L8FTSXA","1641416058752","img/04.png","1","10","50"
"","6663","singlestim-multichoice-slider","11","168744","0.0-3.0-0.8","A1CMWA0L8FTSXA","1641416058752","img/10.png","3","10","54"
"","15160","singlestim-multichoice-slider","12","183905","0.0-3.0-0.9","A1CMWA0L8FTSXA","1641416058752","img/15.png","1","10","30"
"","9687","singlestim-multichoice-slider","13","193594","0.0-3.0-0.10","A1CMWA0L8FTSXA","1641416058752","img/08.png","1","10","74"
"","5205","singlestim-multichoice-slider","14","198803","0.0-3.0-0.11","A1CMWA0L8FTSXA","1641416058752","img/07.png","2","10","37"
"","5829","singlestim-multichoice-slider","15","204635","0.0-3.0-0.12","A1CMWA0L8FTSXA","1641416058752","img/09.png","1","10","34"
"","5164","singlestim-multichoice-slider","16","209804","0.0-3.0-0.13","A1CMWA0L8FTSXA","1641416058752","img/11.png","2","10","27"
"","9701","singlestim-multichoice-slider","17","219509","0.0-3.0-0.14","A1CMWA0L8FTSXA","1641416058752","img/03.png","3","10","36"
"","5511","singlestim-multichoice-slider","18","225021","0.0-3.0-0.15","A1CMWA0L8FTSXA","1641416058752","img/16.png","1","10","75"
"","4471","singlestim-multichoice-slider","19","229493","0.0-3.0-0.16","A1CMWA0L8FTSXA","1641416058752","img/05.png","1","10","28"
"","10767","singlestim-multichoice-slider","20","240263","0.0-3.0-0.17","A1CMWA0L8FTSXA","1641416058752","img/18.png","1","10","56"
"[{""page_index"":0,""viewing_time"":6296}]","6297","instructions","21","246559","0.0-4.0","A1CMWA0L8FTSXA","1641416058752","","","",""
