"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":18536}]","18538","instructions","0","18541","0.0-0.0","A1J19UOHNI0UOC","1641411353855","","","",""
"[{""page_index"":0,""viewing_time"":15948},{""page_index"":1,""viewing_time"":36160}]","52108","instructions","1","70650","0.0-1.0","A1J19UOHNI0UOC","1641411353855","","","",""
"[{""page_index"":0,""viewing_time"":57823}]","57823","instructions","2","128473","0.0-2.0","A1J19UOHNI0UOC","1641411353855","","","",""
"","61427","singlestim-multichoice-slider","3","189906","0.0-3.0-0.0","A1J19UOHNI0UOC","1641411353855","img/13.png","2","10","75"
"","45196","singlestim-multichoice-slider","4","235104","0.0-3.0-0.1","A1J19UOHNI0UOC","1641411353855","img/05.png","2","10","100"
"","73462","singlestim-multichoice-slider","5","308568","0.0-3.0-0.2","A1J19UOHNI0UOC","1641411353855","img/17.png","2","10","59"
"","46165","singlestim-multichoice-slider","6","354736","0.0-3.0-0.3","A1J19UOHNI0UOC","1641411353855","img/09.png","1","10","62"
"","75501","singlestim-multichoice-slider","7","430240","0.0-3.0-0.4","A1J19UOHNI0UOC","1641411353855","img/14.png","3","10","75"
"","43997","singlestim-multichoice-slider","8","474238","0.0-3.0-0.5","A1J19UOHNI0UOC","1641411353855","img/08.png","1","10","53"
"","73997","singlestim-multichoice-slider","9","548237","0.0-3.0-0.6","A1J19UOHNI0UOC","1641411353855","img/06.png","2","10","50"
"","33918","singlestim-multichoice-slider","10","582157","0.0-3.0-0.7","A1J19UOHNI0UOC","1641411353855","img/10.png","2","10","56"
"","71398","singlestim-multichoice-slider","11","653557","0.0-3.0-0.8","A1J19UOHNI0UOC","1641411353855","img/04.png","1","10","37"
"","29373","singlestim-multichoice-slider","12","682932","0.0-3.0-0.9","A1J19UOHNI0UOC","1641411353855","img/02.png","3","10","82"
"","46482","singlestim-multichoice-slider","13","729420","0.0-3.0-0.10","A1J19UOHNI0UOC","1641411353855","img/11.png","3","10","32"
"","65162","singlestim-multichoice-slider","14","794587","0.0-3.0-0.11","A1J19UOHNI0UOC","1641411353855","img/18.png","3","10","49"
"","122556","singlestim-multichoice-slider","15","917146","0.0-3.0-0.12","A1J19UOHNI0UOC","1641411353855","img/15.png","3","10","59"
"","35218","singlestim-multichoice-slider","16","952370","0.0-3.0-0.13","A1J19UOHNI0UOC","1641411353855","img/16.png","3","10","64"
"","48185","singlestim-multichoice-slider","17","1000562","0.0-3.0-0.14","A1J19UOHNI0UOC","1641411353855","img/03.png","1","10","29"
"","41559","singlestim-multichoice-slider","18","1042130","0.0-3.0-0.15","A1J19UOHNI0UOC","1641411353855","img/07.png","1","10","50"
"","26527","singlestim-multichoice-slider","19","1068664","0.0-3.0-0.16","A1J19UOHNI0UOC","1641411353855","img/12.png","3","10","47"
"","21855","singlestim-multichoice-slider","20","1090529","0.0-3.0-0.17","A1J19UOHNI0UOC","1641411353855","img/01.png","2","10","53"
"[{""page_index"":0,""viewing_time"":9199}]","9200","instructions","21","1099730","0.0-4.0","A1J19UOHNI0UOC","1641411353855","","","",""
