"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":5885}]","5886","instructions","0","5887","0.0-0.0","A1WJIRT360P5VB","1641414307633","","","",""
"[{""page_index"":0,""viewing_time"":12649},{""page_index"":1,""viewing_time"":27285}]","39934","instructions","1","45821","0.0-1.0","A1WJIRT360P5VB","1641414307633","","","",""
"[{""page_index"":0,""viewing_time"":56467}]","56467","instructions","2","102289","0.0-2.0","A1WJIRT360P5VB","1641414307633","","","",""
"","97269","singlestim-multichoice-slider","3","199563","0.0-3.0-0.0","A1WJIRT360P5VB","1641414307633","img/03.png","3","10","33"
"","36151","singlestim-multichoice-slider","4","235719","0.0-3.0-0.1","A1WJIRT360P5VB","1641414307633","img/11.png","2","10","33"
"","50337","singlestim-multichoice-slider","5","286059","0.0-3.0-0.2","A1WJIRT360P5VB","1641414307633","img/13.png","3","10","60"
"","23916","singlestim-multichoice-slider","6","309978","0.0-3.0-0.3","A1WJIRT360P5VB","1641414307633","img/09.png","3","10","34"
"","23695","singlestim-multichoice-slider","7","333676","0.0-3.0-0.4","A1WJIRT360P5VB","1641414307633","img/05.png","2","10","34"
"","22551","singlestim-multichoice-slider","8","356230","0.0-3.0-0.5","A1WJIRT360P5VB","1641414307633","img/07.png","1","10","100"
"","9320","singlestim-multichoice-slider","9","365553","0.0-3.0-0.6","A1WJIRT360P5VB","1641414307633","img/08.png","1","10","100"
"","25220","singlestim-multichoice-slider","10","390778","0.0-3.0-0.7","A1WJIRT360P5VB","1641414307633","img/10.png","3","10","34"
"","8513","singlestim-multichoice-slider","11","399294","0.0-3.0-0.8","A1WJIRT360P5VB","1641414307633","img/14.png","2","10","100"
"","17701","singlestim-multichoice-slider","12","416998","0.0-3.0-0.9","A1WJIRT360P5VB","1641414307633","img/12.png","1","10","33"
"","5653","singlestim-multichoice-slider","13","422654","0.0-3.0-0.10","A1WJIRT360P5VB","1641414307633","img/02.png","3","10","100"
"","14442","singlestim-multichoice-slider","14","437098","0.0-3.0-0.11","A1WJIRT360P5VB","1641414307633","img/17.png","2","10","33"
"","11447","singlestim-multichoice-slider","15","448549","0.0-3.0-0.12","A1WJIRT360P5VB","1641414307633","img/01.png","2","10","100"
"","22355","singlestim-multichoice-slider","16","470906","0.0-3.0-0.13","A1WJIRT360P5VB","1641414307633","img/06.png","1","10","41"
"","14482","singlestim-multichoice-slider","17","485391","0.0-3.0-0.14","A1WJIRT360P5VB","1641414307633","img/16.png","1","10","68"
"","19806","singlestim-multichoice-slider","18","505199","0.0-3.0-0.15","A1WJIRT360P5VB","1641414307633","img/18.png","1","10","51"
"","10653","singlestim-multichoice-slider","19","515855","0.0-3.0-0.16","A1WJIRT360P5VB","1641414307633","img/04.png","1","10","72"
"","15581","singlestim-multichoice-slider","20","531438","0.0-3.0-0.17","A1WJIRT360P5VB","1641414307633","img/15.png","2","10","34"
"[{""page_index"":0,""viewing_time"":6148}]","6149","instructions","21","537587","0.0-4.0","A1WJIRT360P5VB","1641414307633","","","",""
