"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3312}]","3313","instructions","0","3314","0.0-0.0","A20LKUNLGTTANZ","1641410484677","","","",""
"[{""page_index"":0,""viewing_time"":49436},{""page_index"":1,""viewing_time"":1752}]","51189","instructions","1","54504","0.0-1.0","A20LKUNLGTTANZ","1641410484677","","","",""
"[{""page_index"":0,""viewing_time"":1364}]","1364","instructions","2","55868","0.0-2.0","A20LKUNLGTTANZ","1641410484677","","","",""
"","4327","singlestim-multichoice-slider","3","60202","0.0-3.0-0.0","A20LKUNLGTTANZ","1641410484677","img/06.png","2","10","58"
"","4617","singlestim-multichoice-slider","4","64824","0.0-3.0-0.1","A20LKUNLGTTANZ","1641410484677","img/05.png","1","10","88"
"","3613","singlestim-multichoice-slider","5","68441","0.0-3.0-0.2","A20LKUNLGTTANZ","1641410484677","img/08.png","2","10","28"
"","3085","singlestim-multichoice-slider","6","71529","0.0-3.0-0.3","A20LKUNLGTTANZ","1641410484677","img/18.png","1","10","82"
"","3181","singlestim-multichoice-slider","7","74714","0.0-3.0-0.4","A20LKUNLGTTANZ","1641410484677","img/13.png","2","10","29"
"","3396","singlestim-multichoice-slider","8","78112","0.0-3.0-0.5","A20LKUNLGTTANZ","1641410484677","img/01.png","1","10","90"
"","2839","singlestim-multichoice-slider","9","80953","0.0-3.0-0.6","A20LKUNLGTTANZ","1641410484677","img/02.png","2","10","31"
"","2747","singlestim-multichoice-slider","10","83704","0.0-3.0-0.7","A20LKUNLGTTANZ","1641410484677","img/16.png","1","10","89"
"","2457","singlestim-multichoice-slider","11","86163","0.0-3.0-0.8","A20LKUNLGTTANZ","1641410484677","img/07.png","3","10","40"
"","4764","singlestim-multichoice-slider","12","90930","0.0-3.0-0.9","A20LKUNLGTTANZ","1641410484677","img/04.png","3","10","73"
"","3228","singlestim-multichoice-slider","13","94161","0.0-3.0-0.10","A20LKUNLGTTANZ","1641410484677","img/03.png","2","10","63"
"","3589","singlestim-multichoice-slider","14","97753","0.0-3.0-0.11","A20LKUNLGTTANZ","1641410484677","img/14.png","1","10","43"
"","2235","singlestim-multichoice-slider","15","99992","0.0-3.0-0.12","A20LKUNLGTTANZ","1641410484677","img/11.png","2","10","69"
"","3481","singlestim-multichoice-slider","16","103478","0.0-3.0-0.13","A20LKUNLGTTANZ","1641410484677","img/15.png","3","10","43"
"","2737","singlestim-multichoice-slider","17","106220","0.0-3.0-0.14","A20LKUNLGTTANZ","1641410484677","img/10.png","2","10","79"
"","2428","singlestim-multichoice-slider","18","108652","0.0-3.0-0.15","A20LKUNLGTTANZ","1641410484677","img/09.png","1","10","37"
"","2287","singlestim-multichoice-slider","19","110942","0.0-3.0-0.16","A20LKUNLGTTANZ","1641410484677","img/12.png","3","10","81"
"","2966","singlestim-multichoice-slider","20","113910","0.0-3.0-0.17","A20LKUNLGTTANZ","1641410484677","img/17.png","2","10","68"
"[{""page_index"":0,""viewing_time"":1369}]","1369","instructions","21","115280","0.0-4.0","A20LKUNLGTTANZ","1641410484677","","","",""
