"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":4669}]","4670","instructions","0","4673","0.0-0.0","A249EWKM1EOARK","1641409934022","","","",""
"[{""page_index"":0,""viewing_time"":4437},{""page_index"":1,""viewing_time"":6799}]","11236","instructions","1","15910","0.0-1.0","A249EWKM1EOARK","1641409934022","","","",""
"[{""page_index"":0,""viewing_time"":27191}]","27192","instructions","2","43101","0.0-2.0","A249EWKM1EOARK","1641409934022","","","",""
"","19176","singlestim-multichoice-slider","3","62291","0.0-3.0-0.0","A249EWKM1EOARK","1641409934022","img/18.png","3","10","100"
"","8724","singlestim-multichoice-slider","4","71017","0.0-3.0-0.1","A249EWKM1EOARK","1641409934022","img/09.png","2","10","100"
"","10531","singlestim-multichoice-slider","5","81551","0.0-3.0-0.2","A249EWKM1EOARK","1641409934022","img/06.png","3","10","100"
"","10647","singlestim-multichoice-slider","6","92202","0.0-3.0-0.3","A249EWKM1EOARK","1641409934022","img/10.png","3","10","95"
"","11795","singlestim-multichoice-slider","7","103999","0.0-3.0-0.4","A249EWKM1EOARK","1641409934022","img/17.png","2","10","100"
"","12487","singlestim-multichoice-slider","8","116488","0.0-3.0-0.5","A249EWKM1EOARK","1641409934022","img/12.png","3","10","99"
"","12245","singlestim-multichoice-slider","9","128735","0.0-3.0-0.6","A249EWKM1EOARK","1641409934022","img/11.png","2","10","100"
"","13113","singlestim-multichoice-slider","10","141854","0.0-3.0-0.7","A249EWKM1EOARK","1641409934022","img/16.png","2","10","97"
"","10079","singlestim-multichoice-slider","11","151921","0.0-3.0-0.8","A249EWKM1EOARK","1641409934022","img/02.png","1","10","100"
"","13821","singlestim-multichoice-slider","12","165745","0.0-3.0-0.9","A249EWKM1EOARK","1641409934022","img/08.png","3","10","98"
"","11948","singlestim-multichoice-slider","13","177696","0.0-3.0-0.10","A249EWKM1EOARK","1641409934022","img/07.png","3","10","100"
"","18247","singlestim-multichoice-slider","14","195948","0.0-3.0-0.11","A249EWKM1EOARK","1641409934022","img/01.png","2","10","100"
"","9861","singlestim-multichoice-slider","15","205816","0.0-3.0-0.12","A249EWKM1EOARK","1641409934022","img/03.png","3","10","100"
"","9235","singlestim-multichoice-slider","16","215072","0.0-3.0-0.13","A249EWKM1EOARK","1641409934022","img/15.png","2","10","100"
"","10421","singlestim-multichoice-slider","17","225494","0.0-3.0-0.14","A249EWKM1EOARK","1641409934022","img/05.png","1","10","100"
"","9616","singlestim-multichoice-slider","18","235113","0.0-3.0-0.15","A249EWKM1EOARK","1641409934022","img/14.png","1","10","99"
"","13469","singlestim-multichoice-slider","19","248584","0.0-3.0-0.16","A249EWKM1EOARK","1641409934022","img/13.png","2","10","100"
"","10769","singlestim-multichoice-slider","20","259357","0.0-3.0-0.17","A249EWKM1EOARK","1641409934022","img/04.png","3","10","100"
"[{""page_index"":0,""viewing_time"":4671}]","4673","instructions","21","264031","0.0-4.0","A249EWKM1EOARK","1641409934022","","","",""
