"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1918}]","1919","instructions","0","1920","0.0-0.0","A259OBKPBBIOAJ","1641409971686","","","",""
"[{""page_index"":0,""viewing_time"":2656},{""page_index"":1,""viewing_time"":1371}]","4027","instructions","1","5948","0.0-1.0","A259OBKPBBIOAJ","1641409971686","","","",""
"[{""page_index"":0,""viewing_time"":1268}]","1268","instructions","2","7217","0.0-2.0","A259OBKPBBIOAJ","1641409971686","","","",""
"","4277","singlestim-multichoice-slider","3","11498","0.0-3.0-0.0","A259OBKPBBIOAJ","1641409971686","img/10.png","1","10","29"
"","4062","singlestim-multichoice-slider","4","15561","0.0-3.0-0.1","A259OBKPBBIOAJ","1641409971686","img/09.png","2","10","38"
"","5212","singlestim-multichoice-slider","5","20775","0.0-3.0-0.2","A259OBKPBBIOAJ","1641409971686","img/01.png","2","10","57"
"","9899","singlestim-multichoice-slider","6","30675","0.0-3.0-0.3","A259OBKPBBIOAJ","1641409971686","img/05.png","2","10","46"
"","2588","singlestim-multichoice-slider","7","33265","0.0-3.0-0.4","A259OBKPBBIOAJ","1641409971686","img/17.png","1","10","60"
"","2931","singlestim-multichoice-slider","8","36197","0.0-3.0-0.5","A259OBKPBBIOAJ","1641409971686","img/03.png","2","10","55"
"","3952","singlestim-multichoice-slider","9","40152","0.0-3.0-0.6","A259OBKPBBIOAJ","1641409971686","img/16.png","1","10","55"
"","3006","singlestim-multichoice-slider","10","43160","0.0-3.0-0.7","A259OBKPBBIOAJ","1641409971686","img/15.png","2","10","62"
"","2825","singlestim-multichoice-slider","11","45988","0.0-3.0-0.8","A259OBKPBBIOAJ","1641409971686","img/04.png","1","10","49"
"","2937","singlestim-multichoice-slider","12","48927","0.0-3.0-0.9","A259OBKPBBIOAJ","1641409971686","img/12.png","2","10","56"
"","11868","singlestim-multichoice-slider","13","60798","0.0-3.0-0.10","A259OBKPBBIOAJ","1641409971686","img/06.png","2","10","63"
"","2982","singlestim-multichoice-slider","14","63782","0.0-3.0-0.11","A259OBKPBBIOAJ","1641409971686","img/08.png","1","10","62"
"","2689","singlestim-multichoice-slider","15","66474","0.0-3.0-0.12","A259OBKPBBIOAJ","1641409971686","img/18.png","2","10","53"
"","3008","singlestim-multichoice-slider","16","69485","0.0-3.0-0.13","A259OBKPBBIOAJ","1641409971686","img/11.png","2","10","56"
"","3393","singlestim-multichoice-slider","17","72881","0.0-3.0-0.14","A259OBKPBBIOAJ","1641409971686","img/13.png","1","10","54"
"","2792","singlestim-multichoice-slider","18","75675","0.0-3.0-0.15","A259OBKPBBIOAJ","1641409971686","img/07.png","2","10","64"
"","3407","singlestim-multichoice-slider","19","79083","0.0-3.0-0.16","A259OBKPBBIOAJ","1641409971686","img/14.png","1","10","60"
"","5025","singlestim-multichoice-slider","20","84108","0.0-3.0-0.17","A259OBKPBBIOAJ","1641409971686","img/02.png","2","10","50"
"[{""page_index"":0,""viewing_time"":1590}]","1591","instructions","21","85700","0.0-4.0","A259OBKPBBIOAJ","1641409971686","","","",""
