"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3450}]","3450","instructions","0","3450","0.0-0.0","A26M997VYVK0E6","1641412974848","","","",""
"[{""page_index"":0,""viewing_time"":2537},{""page_index"":1,""viewing_time"":3269}]","5806","instructions","1","9257","0.0-1.0","A26M997VYVK0E6","1641412974848","","","",""
"[{""page_index"":0,""viewing_time"":3492}]","3492","instructions","2","12749","0.0-2.0","A26M997VYVK0E6","1641412974848","","","",""
"","11821","singlestim-multichoice-slider","3","24574","0.0-3.0-0.0","A26M997VYVK0E6","1641412974848","img/09.png","1","10","37"
"","6532","singlestim-multichoice-slider","4","31108","0.0-3.0-0.1","A26M997VYVK0E6","1641412974848","img/12.png","2","10","68"
"","4538","singlestim-multichoice-slider","5","35648","0.0-3.0-0.2","A26M997VYVK0E6","1641412974848","img/18.png","3","10","47"
"","5291","singlestim-multichoice-slider","6","40939","0.0-3.0-0.3","A26M997VYVK0E6","1641412974848","img/02.png","1","10","57"
"","4373","singlestim-multichoice-slider","7","45313","0.0-3.0-0.4","A26M997VYVK0E6","1641412974848","img/10.png","2","10","70"
"","4545","singlestim-multichoice-slider","8","49861","0.0-3.0-0.5","A26M997VYVK0E6","1641412974848","img/14.png","1","10","59"
"","7600","singlestim-multichoice-slider","9","57463","0.0-3.0-0.6","A26M997VYVK0E6","1641412974848","img/08.png","3","10","63"
"","5677","singlestim-multichoice-slider","10","63141","0.0-3.0-0.7","A26M997VYVK0E6","1641412974848","img/11.png","1","10","35"
"","7572","singlestim-multichoice-slider","11","70715","0.0-3.0-0.8","A26M997VYVK0E6","1641412974848","img/07.png","2","10","64"
"","6661","singlestim-multichoice-slider","12","77377","0.0-3.0-0.9","A26M997VYVK0E6","1641412974848","img/04.png","3","10","24"
"","11537","singlestim-multichoice-slider","13","88915","0.0-3.0-0.10","A26M997VYVK0E6","1641412974848","img/01.png","2","10","31"
"","11825","singlestim-multichoice-slider","14","100742","0.0-3.0-0.11","A26M997VYVK0E6","1641412974848","img/15.png","2","10","49"
"","12891","singlestim-multichoice-slider","15","113634","0.0-3.0-0.12","A26M997VYVK0E6","1641412974848","img/06.png","1","10","41"
"","22753","singlestim-multichoice-slider","16","136388","0.0-3.0-0.13","A26M997VYVK0E6","1641412974848","img/13.png","2","10","63"
"","2982","singlestim-multichoice-slider","17","139372","0.0-3.0-0.14","A26M997VYVK0E6","1641412974848","img/03.png","1","10","65"
"","16207","singlestim-multichoice-slider","18","155580","0.0-3.0-0.15","A26M997VYVK0E6","1641412974848","img/17.png","3","10","35"
"","24171","singlestim-multichoice-slider","19","179753","0.0-3.0-0.16","A26M997VYVK0E6","1641412974848","img/16.png","2","10","41"
"","4958","singlestim-multichoice-slider","20","184713","0.0-3.0-0.17","A26M997VYVK0E6","1641412974848","img/05.png","1","10","39"
"[{""page_index"":0,""viewing_time"":1917}]","1917","instructions","21","186631","0.0-4.0","A26M997VYVK0E6","1641412974848","","","",""
