"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":4224}]","4225","instructions","0","4228","0.0-0.0","A2BBJ85QRHJCQO","1641410718235","","","",""
"[{""page_index"":0,""viewing_time"":2715},{""page_index"":1,""viewing_time"":1480}]","4196","instructions","1","8425","0.0-1.0","A2BBJ85QRHJCQO","1641410718235","","","",""
"[{""page_index"":0,""viewing_time"":1320}]","1321","instructions","2","9746","0.0-2.0","A2BBJ85QRHJCQO","1641410718235","","","",""
"","5029","singlestim-multichoice-slider","3","14786","0.0-3.0-0.0","A2BBJ85QRHJCQO","1641410718235","img/11.png","2","10","59"
"","3828","singlestim-multichoice-slider","4","18619","0.0-3.0-0.1","A2BBJ85QRHJCQO","1641410718235","img/03.png","1","10","57"
"","4226","singlestim-multichoice-slider","5","22850","0.0-3.0-0.2","A2BBJ85QRHJCQO","1641410718235","img/17.png","2","10","70"
"","5252","singlestim-multichoice-slider","6","28107","0.0-3.0-0.3","A2BBJ85QRHJCQO","1641410718235","img/16.png","1","10","72"
"","7436","singlestim-multichoice-slider","7","35549","0.0-3.0-0.4","A2BBJ85QRHJCQO","1641410718235","img/01.png","2","10","57"
"","5499","singlestim-multichoice-slider","8","41051","0.0-3.0-0.5","A2BBJ85QRHJCQO","1641410718235","img/02.png","1","10","100"
"","3900","singlestim-multichoice-slider","9","44955","0.0-3.0-0.6","A2BBJ85QRHJCQO","1641410718235","img/06.png","3","10","95"
"","3635","singlestim-multichoice-slider","10","48595","0.0-3.0-0.7","A2BBJ85QRHJCQO","1641410718235","img/09.png","3","10","74"
"","4475","singlestim-multichoice-slider","11","53085","0.0-3.0-0.8","A2BBJ85QRHJCQO","1641410718235","img/14.png","3","10","74"
"","4295","singlestim-multichoice-slider","12","57385","0.0-3.0-0.9","A2BBJ85QRHJCQO","1641410718235","img/07.png","3","10","78"
"","3672","singlestim-multichoice-slider","13","61062","0.0-3.0-0.10","A2BBJ85QRHJCQO","1641410718235","img/13.png","2","10","70"
"","4656","singlestim-multichoice-slider","14","65722","0.0-3.0-0.11","A2BBJ85QRHJCQO","1641410718235","img/05.png","1","10","90"
"","7933","singlestim-multichoice-slider","15","73663","0.0-3.0-0.12","A2BBJ85QRHJCQO","1641410718235","img/12.png","3","10","79"
"","4404","singlestim-multichoice-slider","16","78072","0.0-3.0-0.13","A2BBJ85QRHJCQO","1641410718235","img/08.png","1","10","66"
"","4658","singlestim-multichoice-slider","17","82740","0.0-3.0-0.14","A2BBJ85QRHJCQO","1641410718235","img/15.png","2","10","79"
"","3621","singlestim-multichoice-slider","18","86373","0.0-3.0-0.15","A2BBJ85QRHJCQO","1641410718235","img/18.png","3","10","74"
"","3261","singlestim-multichoice-slider","19","89648","0.0-3.0-0.16","A2BBJ85QRHJCQO","1641410718235","img/10.png","2","10","100"
"","2638","singlestim-multichoice-slider","20","92290","0.0-3.0-0.17","A2BBJ85QRHJCQO","1641410718235","img/04.png","1","10","88"
"[{""page_index"":0,""viewing_time"":3983}]","3984","instructions","21","96275","0.0-4.0","A2BBJ85QRHJCQO","1641410718235","","","",""
