"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2195}]","2195","instructions","0","2196","0.0-0.0","A2I6ZALE49CVSC","1641410035697","","","",""
"[{""page_index"":0,""viewing_time"":1155},{""page_index"":1,""viewing_time"":4911}]","6066","instructions","1","8262","0.0-1.0","A2I6ZALE49CVSC","1641410035697","","","",""
"[{""page_index"":0,""viewing_time"":1450}]","1451","instructions","2","9714","0.0-2.0","A2I6ZALE49CVSC","1641410035697","","","",""
"","12118","singlestim-multichoice-slider","3","21835","0.0-3.0-0.0","A2I6ZALE49CVSC","1641410035697","img/14.png","2","10","78"
"","5680","singlestim-multichoice-slider","4","27516","0.0-3.0-0.1","A2I6ZALE49CVSC","1641410035697","img/18.png","3","10","62"
"","4562","singlestim-multichoice-slider","5","32079","0.0-3.0-0.2","A2I6ZALE49CVSC","1641410035697","img/05.png","1","10","55"
"","4155","singlestim-multichoice-slider","6","36236","0.0-3.0-0.3","A2I6ZALE49CVSC","1641410035697","img/01.png","3","10","50"
"","6304","singlestim-multichoice-slider","7","42541","0.0-3.0-0.4","A2I6ZALE49CVSC","1641410035697","img/16.png","2","10","81"
"","3576","singlestim-multichoice-slider","8","46118","0.0-3.0-0.5","A2I6ZALE49CVSC","1641410035697","img/03.png","1","10","39"
"","7411","singlestim-multichoice-slider","9","53530","0.0-3.0-0.6","A2I6ZALE49CVSC","1641410035697","img/07.png","2","10","60"
"","7027","singlestim-multichoice-slider","10","60560","0.0-3.0-0.7","A2I6ZALE49CVSC","1641410035697","img/10.png","3","10","82"
"","3683","singlestim-multichoice-slider","11","64244","0.0-3.0-0.8","A2I6ZALE49CVSC","1641410035697","img/02.png","3","10","78"
"","3300","singlestim-multichoice-slider","12","67546","0.0-3.0-0.9","A2I6ZALE49CVSC","1641410035697","img/11.png","1","10","78"
"","5243","singlestim-multichoice-slider","13","72790","0.0-3.0-0.10","A2I6ZALE49CVSC","1641410035697","img/15.png","2","10","72"
"","8815","singlestim-multichoice-slider","14","81606","0.0-3.0-0.11","A2I6ZALE49CVSC","1641410035697","img/09.png","3","10","49"
"","4029","singlestim-multichoice-slider","15","85636","0.0-3.0-0.12","A2I6ZALE49CVSC","1641410035697","img/12.png","1","10","70"
"","3581","singlestim-multichoice-slider","16","89219","0.0-3.0-0.13","A2I6ZALE49CVSC","1641410035697","img/17.png","2","10","75"
"","3383","singlestim-multichoice-slider","17","92605","0.0-3.0-0.14","A2I6ZALE49CVSC","1641410035697","img/04.png","3","10","86"
"","3617","singlestim-multichoice-slider","18","96223","0.0-3.0-0.15","A2I6ZALE49CVSC","1641410035697","img/08.png","1","10","50"
"","4199","singlestim-multichoice-slider","19","100424","0.0-3.0-0.16","A2I6ZALE49CVSC","1641410035697","img/13.png","2","10","53"
"","3005","singlestim-multichoice-slider","20","103431","0.0-3.0-0.17","A2I6ZALE49CVSC","1641410035697","img/06.png","3","10","47"
"[{""page_index"":0,""viewing_time"":1106}]","1107","instructions","21","104538","0.0-4.0","A2I6ZALE49CVSC","1641410035697","","","",""
