"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":4049}]","4051","instructions","0","4053","0.0-0.0","A2YA1ZM1V760Q1","1641410644106","","","",""
"[{""page_index"":0,""viewing_time"":17198},{""page_index"":1,""viewing_time"":31422}]","48621","instructions","1","52672","0.0-1.0","A2YA1ZM1V760Q1","1641410644106","","","",""
"[{""page_index"":0,""viewing_time"":26555}]","26555","instructions","2","79227","0.0-2.0","A2YA1ZM1V760Q1","1641410644106","","","",""
"","41998","singlestim-multichoice-slider","3","121228","0.0-3.0-0.0","A2YA1ZM1V760Q1","1641410644106","img/01.png","2","10","22"
"","17845","singlestim-multichoice-slider","4","139075","0.0-3.0-0.1","A2YA1ZM1V760Q1","1641410644106","img/14.png","2","10","24"
"","32470","singlestim-multichoice-slider","5","171547","0.0-3.0-0.2","A2YA1ZM1V760Q1","1641410644106","img/11.png","1","10","5"
"","27060","singlestim-multichoice-slider","6","198609","0.0-3.0-0.3","A2YA1ZM1V760Q1","1641410644106","img/17.png","2","10","23"
"","31885","singlestim-multichoice-slider","7","230495","0.0-3.0-0.4","A2YA1ZM1V760Q1","1641410644106","img/16.png","1","10","30"
"","12828","singlestim-multichoice-slider","8","243326","0.0-3.0-0.5","A2YA1ZM1V760Q1","1641410644106","img/10.png","2","10","18"
"","11253","singlestim-multichoice-slider","9","254583","0.0-3.0-0.6","A2YA1ZM1V760Q1","1641410644106","img/08.png","1","10","33"
"","11686","singlestim-multichoice-slider","10","266272","0.0-3.0-0.7","A2YA1ZM1V760Q1","1641410644106","img/13.png","2","10","21"
"","21606","singlestim-multichoice-slider","11","287882","0.0-3.0-0.8","A2YA1ZM1V760Q1","1641410644106","img/02.png","3","10","33"
"","5544","singlestim-multichoice-slider","12","293430","0.0-3.0-0.9","A2YA1ZM1V760Q1","1641410644106","img/18.png","1","10","23"
"","7749","singlestim-multichoice-slider","13","301183","0.0-3.0-0.10","A2YA1ZM1V760Q1","1641410644106","img/15.png","3","10","30"
"","6235","singlestim-multichoice-slider","14","307424","0.0-3.0-0.11","A2YA1ZM1V760Q1","1641410644106","img/06.png","1","10","22"
"","47137","singlestim-multichoice-slider","15","354561","0.0-3.0-0.12","A2YA1ZM1V760Q1","1641410644106","img/03.png","3","10","25"
"","10300","singlestim-multichoice-slider","16","364862","0.0-3.0-0.13","A2YA1ZM1V760Q1","1641410644106","img/07.png","1","10","16"
"","4381","singlestim-multichoice-slider","17","369246","0.0-3.0-0.14","A2YA1ZM1V760Q1","1641410644106","img/04.png","1","10","34"
"","11948","singlestim-multichoice-slider","18","381197","0.0-3.0-0.15","A2YA1ZM1V760Q1","1641410644106","img/09.png","2","10","21"
"","6755","singlestim-multichoice-slider","19","387956","0.0-3.0-0.16","A2YA1ZM1V760Q1","1641410644106","img/05.png","1","10","18"
"","6825","singlestim-multichoice-slider","20","394785","0.0-3.0-0.17","A2YA1ZM1V760Q1","1641410644106","img/12.png","2","10","28"
"[{""page_index"":0,""viewing_time"":4975}]","4976","instructions","21","399762","0.0-4.0","A2YA1ZM1V760Q1","1641410644106","","","",""
