"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6020}]","6020","instructions","0","6021","0.0-0.0","A3V2XCDF45VN9X","1641410195507","","","",""
"[{""page_index"":0,""viewing_time"":5062},{""page_index"":1,""viewing_time"":8325}]","13387","instructions","1","19408","0.0-1.0","A3V2XCDF45VN9X","1641410195507","","","",""
"[{""page_index"":0,""viewing_time"":22489}]","22489","instructions","2","41897","0.0-2.0","A3V2XCDF45VN9X","1641410195507","","","",""
"","22757","singlestim-multichoice-slider","3","64657","0.0-3.0-0.0","A3V2XCDF45VN9X","1641410195507","img/14.png","2","10","80"
"","12979","singlestim-multichoice-slider","4","77639","0.0-3.0-0.1","A3V2XCDF45VN9X","1641410195507","img/04.png","1","10","62"
"","13711","singlestim-multichoice-slider","5","91352","0.0-3.0-0.2","A3V2XCDF45VN9X","1641410195507","img/02.png","2","10","67"
"","16906","singlestim-multichoice-slider","6","108262","0.0-3.0-0.3","A3V2XCDF45VN9X","1641410195507","img/17.png","2","10","36"
"","19999","singlestim-multichoice-slider","7","128264","0.0-3.0-0.4","A3V2XCDF45VN9X","1641410195507","img/15.png","1","10","39"
"","8301","singlestim-multichoice-slider","8","136567","0.0-3.0-0.5","A3V2XCDF45VN9X","1641410195507","img/05.png","1","10","58"
"","10394","singlestim-multichoice-slider","9","146962","0.0-3.0-0.6","A3V2XCDF45VN9X","1641410195507","img/10.png","2","10","73"
"","6793","singlestim-multichoice-slider","10","153757","0.0-3.0-0.7","A3V2XCDF45VN9X","1641410195507","img/09.png","2","10","64"
"","9696","singlestim-multichoice-slider","11","163455","0.0-3.0-0.8","A3V2XCDF45VN9X","1641410195507","img/12.png","1","10","63"
"","6523","singlestim-multichoice-slider","12","169981","0.0-3.0-0.9","A3V2XCDF45VN9X","1641410195507","img/08.png","1","10","84"
"","10426","singlestim-multichoice-slider","13","180409","0.0-3.0-0.10","A3V2XCDF45VN9X","1641410195507","img/01.png","2","10","61"
"","4992","singlestim-multichoice-slider","14","185404","0.0-3.0-0.11","A3V2XCDF45VN9X","1641410195507","img/03.png","1","10","62"
"","6117","singlestim-multichoice-slider","15","191524","0.0-3.0-0.12","A3V2XCDF45VN9X","1641410195507","img/06.png","1","10","60"
"","7489","singlestim-multichoice-slider","16","199017","0.0-3.0-0.13","A3V2XCDF45VN9X","1641410195507","img/16.png","1","10","68"
"","6333","singlestim-multichoice-slider","17","205351","0.0-3.0-0.14","A3V2XCDF45VN9X","1641410195507","img/11.png","2","10","80"
"","4082","singlestim-multichoice-slider","18","209435","0.0-3.0-0.15","A3V2XCDF45VN9X","1641410195507","img/07.png","1","10","61"
"","8537","singlestim-multichoice-slider","19","217974","0.0-3.0-0.16","A3V2XCDF45VN9X","1641410195507","img/18.png","2","10","55"
"","8255","singlestim-multichoice-slider","20","226231","0.0-3.0-0.17","A3V2XCDF45VN9X","1641410195507","img/13.png","2","10","69"
"[{""page_index"":0,""viewing_time"":7515}]","7515","instructions","21","233747","0.0-4.0","A3V2XCDF45VN9X","1641410195507","","","",""
