"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":1857}]","1858","instructions","0","1860","0.0-0.0","A5T9IFDZ3W4T6","1641410222873","","","",""
"[{""page_index"":0,""viewing_time"":2313},{""page_index"":1,""viewing_time"":1328}]","3641","instructions","1","5501","0.0-1.0","A5T9IFDZ3W4T6","1641410222873","","","",""
"[{""page_index"":0,""viewing_time"":1906}]","1906","instructions","2","7408","0.0-2.0","A5T9IFDZ3W4T6","1641410222873","","","",""
"","14880","singlestim-multichoice-slider","3","22293","0.0-3.0-0.0","A5T9IFDZ3W4T6","1641410222873","img/01.png","3","10","34"
"","10545","singlestim-multichoice-slider","4","32840","0.0-3.0-0.1","A5T9IFDZ3W4T6","1641410222873","img/10.png","1","10","24"
"","13784","singlestim-multichoice-slider","5","46626","0.0-3.0-0.2","A5T9IFDZ3W4T6","1641410222873","img/07.png","3","10","66"
"","8296","singlestim-multichoice-slider","6","54924","0.0-3.0-0.3","A5T9IFDZ3W4T6","1641410222873","img/08.png","1","10","76"
"","8054","singlestim-multichoice-slider","7","62980","0.0-3.0-0.4","A5T9IFDZ3W4T6","1641410222873","img/03.png","2","10","47"
"","22221","singlestim-multichoice-slider","8","85204","0.0-3.0-0.5","A5T9IFDZ3W4T6","1641410222873","img/18.png","1","10","75"
"","11904","singlestim-multichoice-slider","9","97110","0.0-3.0-0.6","A5T9IFDZ3W4T6","1641410222873","img/16.png","1","10","80"
"","14473","singlestim-multichoice-slider","10","111587","0.0-3.0-0.7","A5T9IFDZ3W4T6","1641410222873","img/05.png","1","10","82"
"","13151","singlestim-multichoice-slider","11","124741","0.0-3.0-0.8","A5T9IFDZ3W4T6","1641410222873","img/09.png","2","10","65"
"","7886","singlestim-multichoice-slider","12","132629","0.0-3.0-0.9","A5T9IFDZ3W4T6","1641410222873","img/12.png","1","10","56"
"","7877","singlestim-multichoice-slider","13","140507","0.0-3.0-0.10","A5T9IFDZ3W4T6","1641410222873","img/06.png","1","10","44"
"","9124","singlestim-multichoice-slider","14","149633","0.0-3.0-0.11","A5T9IFDZ3W4T6","1641410222873","img/02.png","3","10","86"
"","17083","singlestim-multichoice-slider","15","166718","0.0-3.0-0.12","A5T9IFDZ3W4T6","1641410222873","img/14.png","2","10","71"
"","6615","singlestim-multichoice-slider","16","173335","0.0-3.0-0.13","A5T9IFDZ3W4T6","1641410222873","img/04.png","1","10","67"
"","11742","singlestim-multichoice-slider","17","185080","0.0-3.0-0.14","A5T9IFDZ3W4T6","1641410222873","img/17.png","1","10","49"
"","10171","singlestim-multichoice-slider","18","195253","0.0-3.0-0.15","A5T9IFDZ3W4T6","1641410222873","img/11.png","1","10","44"
"","8013","singlestim-multichoice-slider","19","203269","0.0-3.0-0.16","A5T9IFDZ3W4T6","1641410222873","img/15.png","2","10","52"
"","11034","singlestim-multichoice-slider","20","214306","0.0-3.0-0.17","A5T9IFDZ3W4T6","1641410222873","img/13.png","2","10","49"
"[{""page_index"":0,""viewing_time"":3861}]","3862","instructions","21","218168","0.0-4.0","A5T9IFDZ3W4T6","1641410222873","","","",""
