"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":9679}]","9682","instructions","0","9687","0.0-0.0","AO32GL5867YY7","1641411815146","","","",""
"[{""page_index"":0,""viewing_time"":13826},{""page_index"":1,""viewing_time"":27989}]","41816","instructions","1","51505","0.0-1.0","AO32GL5867YY7","1641411815146","","","",""
"[{""page_index"":0,""viewing_time"":3823}]","3824","instructions","2","55331","0.0-2.0","AO32GL5867YY7","1641411815146","","","",""
"","27264","singlestim-multichoice-slider","3","82615","0.0-3.0-0.0","AO32GL5867YY7","1641411815146","img/08.png","1","10","100"
"","20271","singlestim-multichoice-slider","4","102899","0.0-3.0-0.1","AO32GL5867YY7","1641411815146","img/17.png","2","10","59"
"","5834","singlestim-multichoice-slider","5","108740","0.0-3.0-0.2","AO32GL5867YY7","1641411815146","img/13.png","2","10","54"
"","20693","singlestim-multichoice-slider","6","129441","0.0-3.0-0.3","AO32GL5867YY7","1641411815146","img/15.png","1","10","29"
"","19854","singlestim-multichoice-slider","7","149305","0.0-3.0-0.4","AO32GL5867YY7","1641411815146","img/16.png","2","10","67"
"","5751","singlestim-multichoice-slider","8","155067","0.0-3.0-0.5","AO32GL5867YY7","1641411815146","img/04.png","1","10","63"
"","4264","singlestim-multichoice-slider","9","159344","0.0-3.0-0.6","AO32GL5867YY7","1641411815146","img/07.png","3","10","41"
"","7465","singlestim-multichoice-slider","10","166833","0.0-3.0-0.7","AO32GL5867YY7","1641411815146","img/18.png","3","10","45"
"","6257","singlestim-multichoice-slider","11","173096","0.0-3.0-0.8","AO32GL5867YY7","1641411815146","img/06.png","3","10","76"
"","8301","singlestim-multichoice-slider","12","181407","0.0-3.0-0.9","AO32GL5867YY7","1641411815146","img/02.png","3","10","100"
"","60871","singlestim-multichoice-slider","13","242286","0.0-3.0-0.10","AO32GL5867YY7","1641411815146","img/12.png","2","10","40"
"","11168","singlestim-multichoice-slider","14","253469","0.0-3.0-0.11","AO32GL5867YY7","1641411815146","img/05.png","1","10","43"
"","8919","singlestim-multichoice-slider","15","262399","0.0-3.0-0.12","AO32GL5867YY7","1641411815146","img/09.png","3","10","74"
"","3243","singlestim-multichoice-slider","16","265656","0.0-3.0-0.13","AO32GL5867YY7","1641411815146","img/01.png","2","10","78"
"","5240","singlestim-multichoice-slider","17","270909","0.0-3.0-0.14","AO32GL5867YY7","1641411815146","img/10.png","3","10","43"
"","6427","singlestim-multichoice-slider","18","277342","0.0-3.0-0.15","AO32GL5867YY7","1641411815146","img/11.png","2","10","66"
"","7879","singlestim-multichoice-slider","19","285228","0.0-3.0-0.16","AO32GL5867YY7","1641411815146","img/14.png","3","10","38"
"","9550","singlestim-multichoice-slider","20","294785","0.0-3.0-0.17","AO32GL5867YY7","1641411815146","img/03.png","2","10","59"
"[{""page_index"":0,""viewing_time"":5839}]","5840","instructions","21","300627","0.0-4.0","AO32GL5867YY7","1641411815146","","","",""
