"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3995}]","3996","instructions","0","3998","0.0-0.0","ASH7SVFWH0KT1","1641409756597","","","",""
"[{""page_index"":0,""viewing_time"":3842},{""page_index"":1,""viewing_time"":2675}]","6516","instructions","1","10515","0.0-1.0","ASH7SVFWH0KT1","1641409756597","","","",""
"[{""page_index"":0,""viewing_time"":3076}]","3076","instructions","2","13592","0.0-2.0","ASH7SVFWH0KT1","1641409756597","","","",""
"","28657","singlestim-multichoice-slider","3","42253","0.0-3.0-0.0","ASH7SVFWH0KT1","1641409756597","img/03.png","1","10","82"
"","68962","singlestim-multichoice-slider","4","111217","0.0-3.0-0.1","ASH7SVFWH0KT1","1641409756597","img/01.png","2","10","84"
"","5494","singlestim-multichoice-slider","5","116712","0.0-3.0-0.2","ASH7SVFWH0KT1","1641409756597","img/11.png","3","10","78"
"","4791","singlestim-multichoice-slider","6","121505","0.0-3.0-0.3","ASH7SVFWH0KT1","1641409756597","img/16.png","2","10","50"
"","6000","singlestim-multichoice-slider","7","127506","0.0-3.0-0.4","ASH7SVFWH0KT1","1641409756597","img/18.png","1","10","62"
"","32718","singlestim-multichoice-slider","8","160225","0.0-3.0-0.5","ASH7SVFWH0KT1","1641409756597","img/08.png","1","10","100"
"","6652","singlestim-multichoice-slider","9","166879","0.0-3.0-0.6","ASH7SVFWH0KT1","1641409756597","img/07.png","3","10","74"
"","5834","singlestim-multichoice-slider","10","172714","0.0-3.0-0.7","ASH7SVFWH0KT1","1641409756597","img/15.png","1","10","66"
"","3607","singlestim-multichoice-slider","11","176323","0.0-3.0-0.8","ASH7SVFWH0KT1","1641409756597","img/10.png","3","10","76"
"","3511","singlestim-multichoice-slider","12","179836","0.0-3.0-0.9","ASH7SVFWH0KT1","1641409756597","img/12.png","1","10","82"
"","5535","singlestim-multichoice-slider","13","185373","0.0-3.0-0.10","ASH7SVFWH0KT1","1641409756597","img/17.png","2","10","96"
"","3948","singlestim-multichoice-slider","14","189323","0.0-3.0-0.11","ASH7SVFWH0KT1","1641409756597","img/14.png","2","10","33"
"","5271","singlestim-multichoice-slider","15","194596","0.0-3.0-0.12","ASH7SVFWH0KT1","1641409756597","img/09.png","2","10","100"
"","4359","singlestim-multichoice-slider","16","198957","0.0-3.0-0.13","ASH7SVFWH0KT1","1641409756597","img/06.png","3","10","51"
"","4717","singlestim-multichoice-slider","17","203677","0.0-3.0-0.14","ASH7SVFWH0KT1","1641409756597","img/02.png","2","10","51"
"","7686","singlestim-multichoice-slider","18","211365","0.0-3.0-0.15","ASH7SVFWH0KT1","1641409756597","img/05.png","2","10","71"
"","4403","singlestim-multichoice-slider","19","215770","0.0-3.0-0.16","ASH7SVFWH0KT1","1641409756597","img/04.png","2","10","36"
"","3035","singlestim-multichoice-slider","20","218807","0.0-3.0-0.17","ASH7SVFWH0KT1","1641409756597","img/13.png","2","10","64"
"[{""page_index"":0,""viewing_time"":3053}]","3054","instructions","21","221861","0.0-4.0","ASH7SVFWH0KT1","1641409756597","","","",""
