"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6553}]","6554","instructions","0","6556","0.0-0.0","AX517DWAA1ECY","1641410532135","","","",""
"[{""page_index"":0,""viewing_time"":13357},{""page_index"":1,""viewing_time"":1919}]","15275","instructions","1","21832","0.0-1.0","AX517DWAA1ECY","1641410532135","","","",""
"[{""page_index"":0,""viewing_time"":2186}]","2186","instructions","2","24019","0.0-2.0","AX517DWAA1ECY","1641410532135","","","",""
"","14738","singlestim-multichoice-slider","3","38762","0.0-3.0-0.0","AX517DWAA1ECY","1641410532135","img/08.png","1","10","100"
"","7104","singlestim-multichoice-slider","4","45869","0.0-3.0-0.1","AX517DWAA1ECY","1641410532135","img/04.png","1","10","100"
"","13975","singlestim-multichoice-slider","5","59846","0.0-3.0-0.2","AX517DWAA1ECY","1641410532135","img/03.png","3","10","77"
"","8971","singlestim-multichoice-slider","6","68821","0.0-3.0-0.3","AX517DWAA1ECY","1641410532135","img/13.png","2","10","95"
"","5711","singlestim-multichoice-slider","7","74536","0.0-3.0-0.4","AX517DWAA1ECY","1641410532135","img/15.png","3","10","69"
"","5996","singlestim-multichoice-slider","8","80536","0.0-3.0-0.5","AX517DWAA1ECY","1641410532135","img/16.png","1","10","55"
"","3839","singlestim-multichoice-slider","9","84380","0.0-3.0-0.6","AX517DWAA1ECY","1641410532135","img/17.png","3","10","73"
"","78251","singlestim-multichoice-slider","10","162632","0.0-3.0-0.7","AX517DWAA1ECY","1641410532135","img/18.png","3","10","62"
"","5869","singlestim-multichoice-slider","11","168503","0.0-3.0-0.8","AX517DWAA1ECY","1641410532135","img/09.png","2","10","100"
"","3867","singlestim-multichoice-slider","12","172373","0.0-3.0-0.9","AX517DWAA1ECY","1641410532135","img/10.png","1","10","79"
"","8255","singlestim-multichoice-slider","13","180631","0.0-3.0-0.10","AX517DWAA1ECY","1641410532135","img/02.png","2","10","100"
"","7039","singlestim-multichoice-slider","14","187672","0.0-3.0-0.11","AX517DWAA1ECY","1641410532135","img/12.png","3","10","97"
"","72770","singlestim-multichoice-slider","15","260444","0.0-3.0-0.12","AX517DWAA1ECY","1641410532135","img/06.png","2","10","100"
"","4698","singlestim-multichoice-slider","16","265146","0.0-3.0-0.13","AX517DWAA1ECY","1641410532135","img/05.png","1","10","77"
"","91884","singlestim-multichoice-slider","17","357033","0.0-3.0-0.14","AX517DWAA1ECY","1641410532135","img/14.png","2","10","47"
"","72968","singlestim-multichoice-slider","18","430004","0.0-3.0-0.15","AX517DWAA1ECY","1641410532135","img/11.png","1","10","100"
"","3174","singlestim-multichoice-slider","19","433180","0.0-3.0-0.16","AX517DWAA1ECY","1641410532135","img/01.png","2","10","100"
"","2640","singlestim-multichoice-slider","20","435822","0.0-3.0-0.17","AX517DWAA1ECY","1641410532135","img/07.png","3","10","90"
"[{""page_index"":0,""viewing_time"":5023}]","5024","instructions","21","440846","0.0-4.0","AX517DWAA1ECY","1641410532135","","","",""
