"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":7147}]","7148","instructions","0","7149","0.0-0.0","AX8NXTT8QMGHC","1641406059516","","","",""
"[{""page_index"":0,""viewing_time"":2386},{""page_index"":1,""viewing_time"":22256}]","24642","instructions","1","31792","0.0-1.0","AX8NXTT8QMGHC","1641406059516","","","",""
"[{""page_index"":0,""viewing_time"":17608}]","17608","instructions","2","49401","0.0-2.0","AX8NXTT8QMGHC","1641406059516","","","",""
"","15476","singlestim-multichoice-slider","3","64886","0.0-3.0-0.0","AX8NXTT8QMGHC","1641406059516","img/08.png","1","10","100"
"","13792","singlestim-multichoice-slider","4","78683","0.0-3.0-0.1","AX8NXTT8QMGHC","1641406059516","img/15.png","1","10","56"
"","10648","singlestim-multichoice-slider","5","89334","0.0-3.0-0.2","AX8NXTT8QMGHC","1641406059516","img/13.png","2","10","70"
"","10089","singlestim-multichoice-slider","6","99431","0.0-3.0-0.3","AX8NXTT8QMGHC","1641406059516","img/17.png","1","10","70"
"","9006","singlestim-multichoice-slider","7","108445","0.0-3.0-0.4","AX8NXTT8QMGHC","1641406059516","img/03.png","1","10","74"
"","18492","singlestim-multichoice-slider","8","126940","0.0-3.0-0.5","AX8NXTT8QMGHC","1641406059516","img/12.png","2","10","79"
"","4780","singlestim-multichoice-slider","9","131728","0.0-3.0-0.6","AX8NXTT8QMGHC","1641406059516","img/14.png","2","10","100"
"","6669","singlestim-multichoice-slider","10","138405","0.0-3.0-0.7","AX8NXTT8QMGHC","1641406059516","img/02.png","3","10","100"
"","9629","singlestim-multichoice-slider","11","148043","0.0-3.0-0.8","AX8NXTT8QMGHC","1641406059516","img/05.png","1","10","71"
"","7969","singlestim-multichoice-slider","12","156017","0.0-3.0-0.9","AX8NXTT8QMGHC","1641406059516","img/16.png","1","10","92"
"","35166","singlestim-multichoice-slider","13","191184","0.0-3.0-0.10","AX8NXTT8QMGHC","1641406059516","img/04.png","1","10","97"
"","6133","singlestim-multichoice-slider","14","197320","0.0-3.0-0.11","AX8NXTT8QMGHC","1641406059516","img/01.png","1","10","52"
"","8335","singlestim-multichoice-slider","15","205662","0.0-3.0-0.12","AX8NXTT8QMGHC","1641406059516","img/10.png","2","10","78"
"","4258","singlestim-multichoice-slider","16","209928","0.0-3.0-0.13","AX8NXTT8QMGHC","1641406059516","img/18.png","1","10","68"
"","5625","singlestim-multichoice-slider","17","215562","0.0-3.0-0.14","AX8NXTT8QMGHC","1641406059516","img/11.png","1","10","61"
"","7363","singlestim-multichoice-slider","18","222934","0.0-3.0-0.15","AX8NXTT8QMGHC","1641406059516","img/06.png","1","10","81"
"","7527","singlestim-multichoice-slider","19","230463","0.0-3.0-0.16","AX8NXTT8QMGHC","1641406059516","img/09.png","1","10","62"
"","7279","singlestim-multichoice-slider","20","237746","0.0-3.0-0.17","AX8NXTT8QMGHC","1641406059516","img/07.png","1","10","47"
"[{""page_index"":0,""viewing_time"":10821}]","10822","instructions","21","248568","0.0-4.0","AX8NXTT8QMGHC","1641406059516","","","",""
