"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":2161}]","2161","instructions","0","2164","0.0-0.0","AY66B9W9D0E76","1641410847520","","","",""
"[{""page_index"":0,""viewing_time"":1686},{""page_index"":1,""viewing_time"":1311}]","2996","instructions","1","5161","0.0-1.0","AY66B9W9D0E76","1641410847520","","","",""
"[{""page_index"":0,""viewing_time"":1409}]","1410","instructions","2","6571","0.0-2.0","AY66B9W9D0E76","1641410847520","","","",""
"","4239","singlestim-multichoice-slider","3","10816","0.0-3.0-0.0","AY66B9W9D0E76","1641410847520","img/06.png","2","10","100"
"","2648","singlestim-multichoice-slider","4","13466","0.0-3.0-0.1","AY66B9W9D0E76","1641410847520","img/02.png","3","10","61"
"","3101","singlestim-multichoice-slider","5","16569","0.0-3.0-0.2","AY66B9W9D0E76","1641410847520","img/16.png","2","10","64"
"","3493","singlestim-multichoice-slider","6","20065","0.0-3.0-0.3","AY66B9W9D0E76","1641410847520","img/03.png","1","10","92"
"","3513","singlestim-multichoice-slider","7","23580","0.0-3.0-0.4","AY66B9W9D0E76","1641410847520","img/10.png","3","10","84"
"","2759","singlestim-multichoice-slider","8","26342","0.0-3.0-0.5","AY66B9W9D0E76","1641410847520","img/12.png","2","10","87"
"","5322","singlestim-multichoice-slider","9","31666","0.0-3.0-0.6","AY66B9W9D0E76","1641410847520","img/05.png","1","10","60"
"","3632","singlestim-multichoice-slider","10","35300","0.0-3.0-0.7","AY66B9W9D0E76","1641410847520","img/08.png","3","10","82"
"","3551","singlestim-multichoice-slider","11","38855","0.0-3.0-0.8","AY66B9W9D0E76","1641410847520","img/07.png","2","10","65"
"","3147","singlestim-multichoice-slider","12","42005","0.0-3.0-0.9","AY66B9W9D0E76","1641410847520","img/13.png","1","10","93"
"","3767","singlestim-multichoice-slider","13","45774","0.0-3.0-0.10","AY66B9W9D0E76","1641410847520","img/04.png","3","10","69"
"","3423","singlestim-multichoice-slider","14","49200","0.0-3.0-0.11","AY66B9W9D0E76","1641410847520","img/15.png","1","10","79"
"","4093","singlestim-multichoice-slider","15","53296","0.0-3.0-0.12","AY66B9W9D0E76","1641410847520","img/17.png","3","10","77"
"","2977","singlestim-multichoice-slider","16","56275","0.0-3.0-0.13","AY66B9W9D0E76","1641410847520","img/01.png","2","10","87"
"","4942","singlestim-multichoice-slider","17","61220","0.0-3.0-0.14","AY66B9W9D0E76","1641410847520","img/11.png","1","10","63"
"","3477","singlestim-multichoice-slider","18","64701","0.0-3.0-0.15","AY66B9W9D0E76","1641410847520","img/14.png","2","10","80"
"","4361","singlestim-multichoice-slider","19","69066","0.0-3.0-0.16","AY66B9W9D0E76","1641410847520","img/09.png","3","10","99"
"","9565","singlestim-multichoice-slider","20","78634","0.0-3.0-0.17","AY66B9W9D0E76","1641410847520","img/18.png","3","10","87"
"[{""page_index"":0,""viewing_time"":2519}]","2520","instructions","21","81155","0.0-4.0","AY66B9W9D0E76","1641410847520","","","",""
