"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":6613}]","6614","instructions","0","6616","0.0-0.0","A12S9AKSP4U4BD","1641410913840","","","",""
"[{""page_index"":0,""viewing_time"":38027},{""page_index"":1,""viewing_time"":12191}]","50218","instructions","1","56835","0.0-1.0","A12S9AKSP4U4BD","1641410913840","","","",""
"[{""page_index"":0,""viewing_time"":45638}]","45638","instructions","2","102474","0.0-2.0","A12S9AKSP4U4BD","1641410913840","","","",""
"","84520","singlestim-multichoice-slider","3","187000","0.0-3.0-0.0","A12S9AKSP4U4BD","1641410913840","img/08.png","3","10","76"
"","28482","singlestim-multichoice-slider","4","215485","0.0-3.0-0.1","A12S9AKSP4U4BD","1641410913840","img/12.png","2","10","28"
"","31575","singlestim-multichoice-slider","5","247066","0.0-3.0-0.2","A12S9AKSP4U4BD","1641410913840","img/04.png","1","10","30"
"","9585","singlestim-multichoice-slider","6","256656","0.0-3.0-0.3","A12S9AKSP4U4BD","1641410913840","img/07.png","2","10","54"
"","23795","singlestim-multichoice-slider","7","280457","0.0-3.0-0.4","A12S9AKSP4U4BD","1641410913840","img/13.png","1","10","52"
"","6584","singlestim-multichoice-slider","8","287044","0.0-3.0-0.5","A12S9AKSP4U4BD","1641410913840","img/14.png","2","10","51"
"","18696","singlestim-multichoice-slider","9","305743","0.0-3.0-0.6","A12S9AKSP4U4BD","1641410913840","img/16.png","3","10","59"
"","16528","singlestim-multichoice-slider","10","322274","0.0-3.0-0.7","A12S9AKSP4U4BD","1641410913840","img/09.png","2","10","80"
"","7142","singlestim-multichoice-slider","11","329424","0.0-3.0-0.8","A12S9AKSP4U4BD","1641410913840","img/18.png","2","10","72"
"","4329","singlestim-multichoice-slider","12","333757","0.0-3.0-0.9","A12S9AKSP4U4BD","1641410913840","img/05.png","1","10","45"
"","4135","singlestim-multichoice-slider","13","337899","0.0-3.0-0.10","A12S9AKSP4U4BD","1641410913840","img/11.png","2","10","50"
"","7220","singlestim-multichoice-slider","14","345124","0.0-3.0-0.11","A12S9AKSP4U4BD","1641410913840","img/03.png","1","10","67"
"","17985","singlestim-multichoice-slider","15","363113","0.0-3.0-0.12","A12S9AKSP4U4BD","1641410913840","img/17.png","2","10","40"
"","5328","singlestim-multichoice-slider","16","368445","0.0-3.0-0.13","A12S9AKSP4U4BD","1641410913840","img/10.png","2","10","56"
"","3367","singlestim-multichoice-slider","17","371824","0.0-3.0-0.14","A12S9AKSP4U4BD","1641410913840","img/06.png","1","10","67"
"","2987","singlestim-multichoice-slider","18","374814","0.0-3.0-0.15","A12S9AKSP4U4BD","1641410913840","img/15.png","3","10","65"
"","19983","singlestim-multichoice-slider","19","394814","0.0-3.0-0.16","A12S9AKSP4U4BD","1641410913840","img/01.png","2","10","74"
"","8795","singlestim-multichoice-slider","20","403614","0.0-3.0-0.17","A12S9AKSP4U4BD","1641410913840","img/02.png","2","10","75"
"[{""page_index"":0,""viewing_time"":12326}]","12328","instructions","21","415943","0.0-4.0","A12S9AKSP4U4BD","1641410913840","","","",""
