"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3058}]","3058","instructions","0","3060","0.0-0.0","A143XRCI1YXAFE","1641412366764","","","",""
"[{""page_index"":0,""viewing_time"":1691},{""page_index"":1,""viewing_time"":1621}]","3312","instructions","1","6372","0.0-1.0","A143XRCI1YXAFE","1641412366764","","","",""
"[{""page_index"":0,""viewing_time"":3565}]","3565","instructions","2","9937","0.0-2.0","A143XRCI1YXAFE","1641412366764","","","",""
"","8340","singlestim-multichoice-slider","3","18280","0.0-3.0-0.0","A143XRCI1YXAFE","1641412366764","img/18.png","1","10","100"
"","10806","singlestim-multichoice-slider","4","29086","0.0-3.0-0.1","A143XRCI1YXAFE","1641412366764","img/09.png","3","10","100"
"","8805","singlestim-multichoice-slider","5","37892","0.0-3.0-0.2","A143XRCI1YXAFE","1641412366764","img/13.png","2","10","100"
"","6697","singlestim-multichoice-slider","6","44591","0.0-3.0-0.3","A143XRCI1YXAFE","1641412366764","img/10.png","1","10","83"
"","6888","singlestim-multichoice-slider","7","51480","0.0-3.0-0.4","A143XRCI1YXAFE","1641412366764","img/16.png","2","10","38"
"","4764","singlestim-multichoice-slider","8","56245","0.0-3.0-0.5","A143XRCI1YXAFE","1641412366764","img/11.png","2","10","57"
"","8892","singlestim-multichoice-slider","9","65138","0.0-3.0-0.6","A143XRCI1YXAFE","1641412366764","img/14.png","1","10","62"
"","4076","singlestim-multichoice-slider","10","69216","0.0-3.0-0.7","A143XRCI1YXAFE","1641412366764","img/04.png","1","10","80"
"","2589","singlestim-multichoice-slider","11","71806","0.0-3.0-0.8","A143XRCI1YXAFE","1641412366764","img/08.png","1","10","77"
"","2342","singlestim-multichoice-slider","12","74150","0.0-3.0-0.9","A143XRCI1YXAFE","1641412366764","img/06.png","3","10","81"
"","2145","singlestim-multichoice-slider","13","76297","0.0-3.0-0.10","A143XRCI1YXAFE","1641412366764","img/12.png","3","10","76"
"","2388","singlestim-multichoice-slider","14","78688","0.0-3.0-0.11","A143XRCI1YXAFE","1641412366764","img/15.png","1","10","81"
"","3847","singlestim-multichoice-slider","15","82538","0.0-3.0-0.12","A143XRCI1YXAFE","1641412366764","img/01.png","2","10","96"
"","2636","singlestim-multichoice-slider","16","85176","0.0-3.0-0.13","A143XRCI1YXAFE","1641412366764","img/05.png","1","10","83"
"","2499","singlestim-multichoice-slider","17","87676","0.0-3.0-0.14","A143XRCI1YXAFE","1641412366764","img/07.png","1","10","80"
"","1910","singlestim-multichoice-slider","18","89587","0.0-3.0-0.15","A143XRCI1YXAFE","1641412366764","img/03.png","2","10","73"
"","6284","singlestim-multichoice-slider","19","95872","0.0-3.0-0.16","A143XRCI1YXAFE","1641412366764","img/02.png","2","10","66"
"","5256","singlestim-multichoice-slider","20","101129","0.0-3.0-0.17","A143XRCI1YXAFE","1641412366764","img/17.png","3","10","88"
"[{""page_index"":0,""viewing_time"":4557}]","4557","instructions","21","105687","0.0-4.0","A143XRCI1YXAFE","1641412366764","","","",""
