"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":31206}]","31206","instructions","0","31208","0.0-0.0","A1DXGBSF4E3WTI","1641410519905","","","",""
"[{""page_index"":0,""viewing_time"":19255},{""page_index"":1,""viewing_time"":19392}]","38647","instructions","1","69856","0.0-1.0","A1DXGBSF4E3WTI","1641410519905","","","",""
"[{""page_index"":0,""viewing_time"":70960}]","70960","instructions","2","140816","0.0-2.0","A1DXGBSF4E3WTI","1641410519905","","","",""
"","72413","singlestim-multichoice-slider","3","213232","0.0-3.0-0.0","A1DXGBSF4E3WTI","1641410519905","img/06.png","3","10","33"
"","20536","singlestim-multichoice-slider","4","233769","0.0-3.0-0.1","A1DXGBSF4E3WTI","1641410519905","img/02.png","3","10","75"
"","22637","singlestim-multichoice-slider","5","256408","0.0-3.0-0.2","A1DXGBSF4E3WTI","1641410519905","img/04.png","1","10","58"
"","26103","singlestim-multichoice-slider","6","282512","0.0-3.0-0.3","A1DXGBSF4E3WTI","1641410519905","img/08.png","1","10","52"
"","73055","singlestim-multichoice-slider","7","355568","0.0-3.0-0.4","A1DXGBSF4E3WTI","1641410519905","img/18.png","1","10","38"
"","68671","singlestim-multichoice-slider","8","424240","0.0-3.0-0.5","A1DXGBSF4E3WTI","1641410519905","img/11.png","2","10","37"
"","69407","singlestim-multichoice-slider","9","493648","0.0-3.0-0.6","A1DXGBSF4E3WTI","1641410519905","img/01.png","3","10","37"
"","62007","singlestim-multichoice-slider","10","555656","0.0-3.0-0.7","A1DXGBSF4E3WTI","1641410519905","img/12.png","3","10","37"
"","47886","singlestim-multichoice-slider","11","603544","0.0-3.0-0.8","A1DXGBSF4E3WTI","1641410519905","img/09.png","3","10","73"
"","28942","singlestim-multichoice-slider","12","632488","0.0-3.0-0.9","A1DXGBSF4E3WTI","1641410519905","img/14.png","2","10","51"
"","102342","singlestim-multichoice-slider","13","734832","0.0-3.0-0.10","A1DXGBSF4E3WTI","1641410519905","img/15.png","2","10","41"
"","22799","singlestim-multichoice-slider","14","757632","0.0-3.0-0.11","A1DXGBSF4E3WTI","1641410519905","img/07.png","1","10","48"
"","18831","singlestim-multichoice-slider","15","776464","0.0-3.0-0.12","A1DXGBSF4E3WTI","1641410519905","img/03.png","3","10","67"
"","24710","singlestim-multichoice-slider","16","801176","0.0-3.0-0.13","A1DXGBSF4E3WTI","1641410519905","img/17.png","2","10","52"
"","33246","singlestim-multichoice-slider","17","834424","0.0-3.0-0.14","A1DXGBSF4E3WTI","1641410519905","img/16.png","1","10","59"
"","38526","singlestim-multichoice-slider","18","872952","0.0-3.0-0.15","A1DXGBSF4E3WTI","1641410519905","img/10.png","3","10","74"
"","67599","singlestim-multichoice-slider","19","940552","0.0-3.0-0.16","A1DXGBSF4E3WTI","1641410519905","img/05.png","2","10","35"
"","72255","singlestim-multichoice-slider","20","1012808","0.0-3.0-0.17","A1DXGBSF4E3WTI","1641410519905","img/13.png","3","10","37"
"[{""page_index"":0,""viewing_time"":6967}]","6967","instructions","21","1019776","0.0-4.0","A1DXGBSF4E3WTI","1641410519905","","","",""
