"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":703820}]","703821","instructions","0","703823","0.0-0.0","A21ZK49H9LSSRY","1641412928806","","","",""
"[{""page_index"":0,""viewing_time"":5383},{""page_index"":1,""viewing_time"":11895}]","17278","instructions","1","721102","0.0-1.0","A21ZK49H9LSSRY","1641412928806","","","",""
"[{""page_index"":0,""viewing_time"":15487}]","15487","instructions","2","736589","0.0-2.0","A21ZK49H9LSSRY","1641412928806","","","",""
"","87739","singlestim-multichoice-slider","3","824331","0.0-3.0-0.0","A21ZK49H9LSSRY","1641412928806","img/12.png","3","10","53"
"","31235","singlestim-multichoice-slider","4","855570","0.0-3.0-0.1","A21ZK49H9LSSRY","1641412928806","img/09.png","2","10","51"
"","27985","singlestim-multichoice-slider","5","883559","0.0-3.0-0.2","A21ZK49H9LSSRY","1641412928806","img/07.png","1","10","10"
"","31572","singlestim-multichoice-slider","6","915134","0.0-3.0-0.3","A21ZK49H9LSSRY","1641412928806","img/06.png","3","10","13"
"","16191","singlestim-multichoice-slider","7","931328","0.0-3.0-0.4","A21ZK49H9LSSRY","1641412928806","img/05.png","1","10","35"
"","22668","singlestim-multichoice-slider","8","953999","0.0-3.0-0.5","A21ZK49H9LSSRY","1641412928806","img/11.png","1","10","30"
"","15756","singlestim-multichoice-slider","9","969756","0.0-3.0-0.6","A21ZK49H9LSSRY","1641412928806","img/10.png","3","10","50"
"","15148","singlestim-multichoice-slider","10","984906","0.0-3.0-0.7","A21ZK49H9LSSRY","1641412928806","img/16.png","1","10","69"
"","12854","singlestim-multichoice-slider","11","997763","0.0-3.0-0.8","A21ZK49H9LSSRY","1641412928806","img/15.png","1","10","50"
"","18477","singlestim-multichoice-slider","12","1016241","0.0-3.0-0.9","A21ZK49H9LSSRY","1641412928806","img/17.png","1","10","10"
"","7633","singlestim-multichoice-slider","13","1023876","0.0-3.0-0.10","A21ZK49H9LSSRY","1641412928806","img/14.png","2","10","70"
"","21312","singlestim-multichoice-slider","14","1045193","0.0-3.0-0.11","A21ZK49H9LSSRY","1641412928806","img/18.png","1","10","63"
"","9407","singlestim-multichoice-slider","15","1054603","0.0-3.0-0.12","A21ZK49H9LSSRY","1641412928806","img/01.png","2","10","55"
"","5503","singlestim-multichoice-slider","16","1060108","0.0-3.0-0.13","A21ZK49H9LSSRY","1641412928806","img/02.png","3","10","36"
"","8653","singlestim-multichoice-slider","17","1068763","0.0-3.0-0.14","A21ZK49H9LSSRY","1641412928806","img/13.png","2","10","62"
"","17376","singlestim-multichoice-slider","18","1086141","0.0-3.0-0.15","A21ZK49H9LSSRY","1641412928806","img/04.png","1","10","73"
"","10205","singlestim-multichoice-slider","19","1096347","0.0-3.0-0.16","A21ZK49H9LSSRY","1641412928806","img/03.png","1","10","10"
"","6388","singlestim-multichoice-slider","20","1102738","0.0-3.0-0.17","A21ZK49H9LSSRY","1641412928806","img/08.png","1","10","69"
"[{""page_index"":0,""viewing_time"":5362}]","5363","instructions","21","1108101","0.0-4.0","A21ZK49H9LSSRY","1641412928806","","","",""
