"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","turkID","ExpEndTime","stimulus","radio_response","slider_start","slider_response"
"[{""page_index"":0,""viewing_time"":3595}]","3597","instructions","0","3599","0.0-0.0","A23KAJRDVCVGOE","1641409752339","","","",""
"[{""page_index"":0,""viewing_time"":2816},{""page_index"":1,""viewing_time"":1513}]","4330","instructions","1","7931","0.0-1.0","A23KAJRDVCVGOE","1641409752339","","","",""
"[{""page_index"":0,""viewing_time"":1110}]","1110","instructions","2","9043","0.0-2.0","A23KAJRDVCVGOE","1641409752339","","","",""
"","24920","singlestim-multichoice-slider","3","33973","0.0-3.0-0.0","A23KAJRDVCVGOE","1641409752339","img/14.png","3","10","69"
"","9778","singlestim-multichoice-slider","4","43757","0.0-3.0-0.1","A23KAJRDVCVGOE","1641409752339","img/01.png","2","10","32"
"","8426","singlestim-multichoice-slider","5","52192","0.0-3.0-0.2","A23KAJRDVCVGOE","1641409752339","img/03.png","2","10","69"
"","6176","singlestim-multichoice-slider","6","58376","0.0-3.0-0.3","A23KAJRDVCVGOE","1641409752339","img/13.png","1","10","84"
"","13387","singlestim-multichoice-slider","7","71773","0.0-3.0-0.4","A23KAJRDVCVGOE","1641409752339","img/15.png","2","10","39"
"","7440","singlestim-multichoice-slider","8","79225","0.0-3.0-0.5","A23KAJRDVCVGOE","1641409752339","img/09.png","1","10","74"
"","6461","singlestim-multichoice-slider","9","85702","0.0-3.0-0.6","A23KAJRDVCVGOE","1641409752339","img/04.png","1","10","10"
"","4245","singlestim-multichoice-slider","10","89963","0.0-3.0-0.7","A23KAJRDVCVGOE","1641409752339","img/17.png","2","10","27"
"","8329","singlestim-multichoice-slider","11","98299","0.0-3.0-0.8","A23KAJRDVCVGOE","1641409752339","img/11.png","1","10","57"
"","3121","singlestim-multichoice-slider","12","101427","0.0-3.0-0.9","A23KAJRDVCVGOE","1641409752339","img/18.png","2","10","36"
"","2445","singlestim-multichoice-slider","13","103879","0.0-3.0-0.10","A23KAJRDVCVGOE","1641409752339","img/02.png","2","10","70"
"","2294","singlestim-multichoice-slider","14","106180","0.0-3.0-0.11","A23KAJRDVCVGOE","1641409752339","img/05.png","3","10","26"
"","2506","singlestim-multichoice-slider","15","108694","0.0-3.0-0.12","A23KAJRDVCVGOE","1641409752339","img/06.png","2","10","44"
"","7812","singlestim-multichoice-slider","16","116517","0.0-3.0-0.13","A23KAJRDVCVGOE","1641409752339","img/12.png","2","10","58"
"","4043","singlestim-multichoice-slider","17","120570","0.0-3.0-0.14","A23KAJRDVCVGOE","1641409752339","img/16.png","1","10","38"
"","2782","singlestim-multichoice-slider","18","123356","0.0-3.0-0.15","A23KAJRDVCVGOE","1641409752339","img/07.png","2","10","39"
"","2972","singlestim-multichoice-slider","19","126336","0.0-3.0-0.16","A23KAJRDVCVGOE","1641409752339","img/10.png","3","10","33"
"","9548","singlestim-multichoice-slider","20","135901","0.0-3.0-0.17","A23KAJRDVCVGOE","1641409752339","img/08.png","1","10","54"
"[{""page_index"":0,""viewing_time"":3726}]","3727","instructions","21","139630","0.0-4.0","A23KAJRDVCVGOE","1641409752339","","","",""
